date,USDCHF,EURUSD,USDJPY,USDCAD,NZDUSD,CHFJPY,AUDCHF,GBPJPY,GBPAUD,EURCAD,CADJPY,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2016.11.28,-89.00000000000574,-76.99999999999375,-108.99999999999466,-205.99999999999508,87.99999999999919,-70.99999999999795,-289.0000000000059,-242.999999999995,269.00000000000813,-135.9999999999806,15.000000000000568,-243.99999999999977,-171.99999999999704,-175.99999999999838,-14.000000000002899,,-1453.9999999999588
2016.11.28,-133.00000000000534,-102.99999999998644,-63.99999999999295,-228.99999999999034,-5.999999999994898,13.00000000000523,-280.9999999999979,-219.99999999999886,470.9999999999992,-96.99999999999153,39.00000000000148,-162.9999999999967,-30.000000000001137,-129.00000000000134,-113.00000000000753,,-1044.999999999959
2016.11.28,-178.99999999999582,-130.99999999999224,-93.99999999999409,-421.0000000000047,-29.999999999996696,-9.999999999990905,-297.9999999999983,-251.00000000000477,506.0000000000064,-258.99999999998704,115.0000000000091,-168.99999999999693,-24.999999999991473,-243.99999999999977,-134.00000000001188,,-1623.9999999999488
2016.11.28,-46.999999999997044,4.000000000004,145.00000000001023,-255.99999999998957,51.000000000001044,91.00000000000819,-231.0000000000034,-69.99999999999318,581.0000000000093,-268.0000000000016,198.0000000000075,-21.000000000000796,52.00000000000671,-168.0000000000126,-60.99999999999994,,4.885691851086449e-11
2016.11.28,31.000000000003247,97.00000000001374,237.00000000000898,-150.99999999999002,94.00000000000519,82.00000000000784,-209.00000000000364,-21.99999999999136,561.0000000000115,-283.99999999999534,195.0000000000074,0.999999999990564,69.00000000000261,-137.00000000000932,-48.000000000003595,,516.0000000000578
2016.11.28,148.99999999999915,218.00000000000708,477.00000000000387,-109.00000000000354,153.99999999999858,191.0000000000025,-85.99999999999719,346.00000000000364,554.00000000001,-400.00000000000034,347.0000000000084,221.9999999999942,173.00000000000182,-58.000000000002494,89.99999999999008,,2268.000000000016
2016.11.28,188.9999999999947,276.00000000000955,781.0000000000059,-25.00000000000835,126.99999999999933,439.9999999999977,26.999999999999247,689.9999999999977,788.9999999999952,-390.9999999999858,516.0000000000053,534.9999999999966,414.0000000000015,114.99999999999844,167.00000000000603,,4650.000000000014
2016.11.28,263.99999999999756,370.00000000000364,1058.0000000000068,86.0000000000083,263.0000000000021,632.9999999999956,-99.00000000000463,983.0000000000041,448.000000000004,-403.99999999998215,654.0000000000106,540.9999999999968,463.0000000000081,-46.0000000000127,109.99999999998789,,5324.000000000027
2016.11.28,384.00000000000654,624.0000000000023,1213.0000000000082,161.99999999999548,360.0000000000048,662.0000000000061,-156.00000000000057,992.999999999995,344.99999999999534,-659.999999999994,724.0000000000038,494.99999999999034,459.0000000000032,-181.9999999999933,48.99999999998794,,5472.000000000011
2016.11.28,330.0000000000081,543.0000000000045,1135.000000000005,286.00000000000847,479.0000000000072,643.0000000000007,-221.99999999999997,631.0000000000002,611.000000000006,-424.99999999998647,591.9999999999987,411.00000000000136,278.99999999999636,-127.00000000001043,191.99999999999218,,5358.000000000033
