date,USDJPY,USDCAD,AUDUSD,EURCHF,CADCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDCAD,empty,sum
2017.11.27,-102.00000000000387,-42.0000000000087,-12.999999999996348,-168.99999999999693,-8.999999999992347,-114.0000000000141,-106.00000000000608,-168.99999999998272,-69.9999999999923,-28.000000000005798,-19.999999999997797,,-841.999999999997
2017.11.27,-123.00000000000466,-103.00000000000864,-58.99999999999794,-180.0000000000024,12.000000000000899,-185.99999999999727,-243.99999999999977,-239.00000000000432,-273.9999999999965,66.0000000000025,-18.999999999991246,,-1348.999999999999
2017.11.27,-159.00000000000603,-109.00000000000354,-58.000000000002494,-202.9999999999976,50.0000000000056,-268.0000000000016,-316.0000000000052,-250.0,-272.99999999998994,60.99999999999284,-9.999999999998899,,-1535.000000000007
2017.11.27,-174.99999999999716,-143.00000000000423,-44.99999999999504,-194.0000000000053,39.00000000000014,-226.00000000001506,-230.00000000001907,-239.00000000000432,-148.99999999999915,87.99999999999386,13.00000000000745,,-1261.0000000000377
2017.11.27,-146.0000000000008,-141.00000000001333,-61.999999999995396,-201.00000000000674,98.0000000000092,-226.99999999999943,-238.0000000000049,-217.9999999999893,-185.99999999999727,49.99999999999716,15.00000000000945,,-1255.9999999999914
2017.11.27,-144.00000000000546,-164.00000000000858,-78.99999999999574,-121.99999999999989,94.00000000000519,-222.99999999999542,-238.0000000000049,-86.99999999998909,-79.99999999999119,39.99999999999204,5.000000000010552,,-997.9999999999824
2017.11.27,-138.9999999999958,-209.00000000001472,-175.99999999999838,-140.0000000000068,77.00000000000485,-243.99999999999977,-409.0000000000149,-52.99999999999727,-278.00000000000045,-39.00000000000148,-83.9999999999952,,-1694.0000000000198
2017.11.27,-7.000000000005002,-205.00000000001074,-217.99999999999596,-110.00000000001009,51.000000000001044,-231.0000000000034,-506.0000000000064,33.999999999991815,-373.99999999998545,-139.00000000001,-132.99999999999423,,-1838.0000000000286
2017.11.27,81.00000000000307,-213.00000000001873,-209.9999999999991,-124.00000000001299,50.0000000000056,-252.0000000000078,-489.0000000000061,118.99999999999977,-407.99999999998613,-180.99999999999739,-117.99999999999588,,-1745.000000000016
2017.11.27,93.00000000000352,-212.00000000001216,-160.00000000000458,-119.00000000000244,65.00000000000395,-231.0000000000034,-359.0000000000204,194.00000000001683,-263.99999999999756,-183.9999999999975,-48.99999999999905,,-1226.0000000000127
2017.11.27,90.99999999999397,-201.00000000000674,-151.9999999999966,-219.99999999999798,75.9999999999983,-219.00000000001364,-345.0000000000175,75.9999999999934,-336.9999999999873,-176.00000000000193,-66.99999999999484,,-1474.0000000000307
2017.11.27,55.999999999997385,-175.00000000001404,-127.99999999999478,-225.99999999999287,81.00000000000884,-170.00000000000347,-309.0000000000037,55.00000000000682,-296.9999999999917,-120.00000000000455,-58.99999999999794,,-1291.9999999999898
2017.11.27,70.99999999999795,-153.00000000000313,-119.00000000000244,-229.00000000001253,126.99999999999933,-175.00000000001404,-300.00000000001137,57.999999999992724,-286.99999999999284,-118.00000000000921,-51.99999999999649,,-1177.000000000052
2017.11.27,99.99999999999432,-167.00000000000603,-129.00000000000134,-219.99999999999798,100.00000000000009,-170.00000000000347,-325.0000000000197,116.00000000001387,-279.99999999999136,-164.00000000000148,-61.999999999995396,,-1201.0000000000086
2017.11.27,102.99999999999443,-157.00000000000713,-136.00000000000279,-171.00000000001003,97.00000000000264,-185.99999999999727,-341.00000000001353,129.99999999999545,-279.99999999999136,-150.00000000000568,-61.999999999995396,,-1153.0000000000307
2017.11.27,96.00000000000364,-155.00000000001623,-141.99999999999767,-181.9999999999933,94.00000000000519,-168.0000000000126,-341.00000000001353,98.99999999998954,-290.9999999999968,-135.00000000000512,-66.99999999999484,,-1192.0000000000316
2017.11.27,120.00000000000455,-113.00000000000753,-97.00000000000264,-175.99999999999838,73.00000000000084,-209.00000000001472,-287.000000000015,86.00000000001273,-296.9999999999917,-135.00000000000512,-48.99999999999905,,-1084.000000000016
2017.11.27,63.00000000000239,-161.00000000001114,-99.00000000000463,-164.99999999999292,86.0000000000083,-180.0000000000024,-275.000000000003,87.99999999999386,-231.99999999998778,-134.00000000000034,-33.9999999999896,,-1042.9999999999873
2017.11.27,58.9999999999975,-164.00000000000858,-109.00000000000354,-185.99999999999727,101.00000000000664,-177.00000000000495,-213.00000000001873,105.99999999999454,-200.99999999998454,-114.00000000000432,-18.999999999991246,,-917.0000000000144
2017.11.27,96.00000000000364,-154.0000000000097,-66.99999999999484,-147.00000000000824,65.00000000000395,-268.0000000000016,-235.00000000000742,116.99999999999022,-164.99999999999292,-140.00000000000057,4.000000000004,,-894.0000000000135
2017.11.27,146.0000000000008,-111.00000000001664,-36.999999999998145,-171.99999999999437,20.0000000000089,-297.0000000000139,-294.0000000000165,52.99999999999727,-263.99999999999756,-161.00000000000136,5.000000000010552,,-1112.0000000000211
2017.11.27,242.999999999995,2.999999999997449,24.999999999997247,-251.00000000000122,53.999999999998494,-272.00000000000557,-222.00000000001108,52.99999999999727,-285.99999999998624,-156.0000000000059,4.000000000004,,-805.0000000000206
2017.11.27,198.0000000000075,35.999999999991594,70.99999999999883,-231.0000000000034,162.0000000000066,-278.00000000000045,-209.00000000001472,115.0000000000091,-26.999999999999247,-90.00000000000341,58.000000000002494,,-195.00000000000512
2017.11.27,180.00000000000682,43.999999999999595,92.99999999999864,-255.00000000000523,173.00000000000094,-312.00000000000114,-213.00000000001873,144.00000000000546,148.99999999999915,-70.99999999999795,60.99999999999994,,-7.0000000000125056
2017.11.27,222.99999999999898,18.999999999991246,131.99999999999878,-273.0000000000121,211.00000000000563,-398.00000000000944,-159.00000000002024,191.0000000000025,164.00000000000858,-111.0000000000042,110.00000000001009,,108.99999999996979
2017.11.27,257.000000000005,98.99999999998244,178.00000000000037,-422.00000000001125,241.00000000000233,-262.00000000000665,-101.00000000001774,145.00000000001023,184.00000000000637,-81.00000000000307,116.00000000000499,,353.99999999997306
2017.11.27,228.9999999999992,121.99999999999989,219.99999999999798,-418.0000000000073,333.0000000000055,-170.00000000000347,134.99999999999625,102.00000000000387,303.0000000000088,-27.000000000001023,167.00000000000603,,996.0000000000057
