date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,AUDJPY,AUDCAD,empty,sum
2019.09.09,-4.999999999999449,-56.99999999999594,-15.00000000000945,-8.000000000008,-9.00000000000345,-146.00000000000168,-37.00000000002035,-61.00000000000705,0.0,-87.00000000001751,-132.00000000002098,-239.99999999999577,-42.0000000000087,0.0,-17.999999999995797,,-857.0000000000842
2019.09.09,51.000000000001044,-112.99999999998533,-12.999999999996348,18.999999999991246,56.99999999999594,-159.00000000002024,-14.000000000002899,-100.99999999999909,43.999999999999595,-143.00000000000068,-41.000000000002146,-133.00000000000534,-25.00000000000835,49.99999999999716,43.00000000000415,,-478.0000000000313
2019.09.09,56.99999999999594,-97.9999999999981,-15.999999999993797,57.99999999999139,83.9999999999952,-188.00000000001037,-19.00000000001345,-171.99999999999704,79.99999999999119,-263.00000000000523,43.999999999999595,-49.99999999999449,-4.000000000004,88.99999999999864,94.00000000000519,,-304.00000000003934
2019.09.09,107.00000000000153,-144.99999999999514,5.999999999994898,56.99999999999594,100.99999999999554,-242.00000000000887,15.999999999993797,-131.00000000000023,124.00000000000189,-288.0000000000109,91.99999999998099,-12.999999999996348,22.999999999995246,132.000000000005,99.00000000000463,,-62.00000000004209
2019.09.09,117.99999999999588,-169.99999999998127,9.999999999998899,51.000000000001044,100.99999999999554,-294.0000000000165,28.999999999990145,-144.00000000000546,129.9999999999968,-365.0000000000091,121.99999999999989,39.999999999995595,51.000000000001044,135.99999999999568,75.9999999999983,,-109.00000000004354
2019.09.09,124.00000000000189,-164.99999999999292,17.000000000000348,61.999999999995396,109.99999999999899,-290.00000000001245,27.999999999983594,-159.00000000000603,135.99999999999167,-362.0000000000232,65.99999999998829,1.0000000000065512,60.99999999999994,156.99999999999648,82.00000000000429,,-132.0000000000671
2019.09.09,151.9999999999966,-132.99999999998312,14.000000000002899,21.999999999999797,118.99999999999133,-292.00000000000335,35.999999999991594,-155.00000000000114,114.99999999999844,-368.0000000000234,42.999999999993044,36.0000000000138,89.00000000000574,138.00000000000523,33.000000000005244,,-151.00000000000728
2019.09.09,141.99999999999767,-98.99999999998244,25.999999999992696,-17.000000000000348,113.99999999999189,-346.0000000000019,39.999999999995595,-158.00000000000125,107.99999999999699,-347.0000000000084,34.000000000000696,114.99999999999844,65.00000000000395,85.99999999999852,17.000000000000348,,-220.00000000001762
2019.09.09,217.0000000000005,-110.99999999999443,35.00000000000725,-4.000000000004,124.99999999999733,-354.0000000000099,78.00000000000028,-70.00000000000739,149.99999999999457,-318.00000000001205,35.999999999991594,100.99999999999554,116.99999999998934,93.99999999999409,16.0000000000049,,111.99999999994763
2019.09.09,170.99999999999892,-192.99999999999872,-29.999999999996696,13.999999999991797,130.99999999999224,-415.0000000000098,116.99999999998934,-61.99999999999761,118.99999999999133,-356.9999999999993,38.99999999998904,-19.999999999997797,1.0000000000065512,-1.0000000000047748,26.000000000003798,,-460.0000000000416
2019.09.09,197.00000000000273,-173.99999999998528,-12.999999999996348,51.000000000001044,110.99999999999443,-383.0,137.9999999999937,-16.999999999995907,178.00000000000037,-274.0000000000009,90.99999999999665,-133.99999999998968,5.999999999994898,96.9999999999942,80.00000000000229,,-45.99999999998782
2019.09.09,207.99999999999707,-133.99999999998968,-9.999999999998899,92.99999999999864,58.99999999999794,-368.00000000001273,147.99999999999258,-33.00000000000125,234.99999999999633,-292.0000000000016,79.99999999999119,-109.99999999998789,17.000000000000348,171.99999999999704,133.00000000000534,,197.99999999998442
2019.09.09,197.00000000000273,-110.99999999999443,-14.000000000002899,114.99999999999844,95.00000000000064,-337.0000000000095,131.99999999999878,-37.00000000000614,246.00000000000176,-253.00000000001432,18.999999999991246,-187.00000000000384,28.999999999990145,188.99999999999295,158.99999999999804,,241.99999999994364
2019.09.09,219.99999999999798,-68.99999999998573,-18.0000000000069,122.99999999999534,119.99999999999788,-302.0000000000023,159.99999999998238,-19.000000000005457,261.0000000000001,-215.0000000000034,-23.00000000001745,-214.00000000000307,36.999999999998145,195.99999999999795,151.00000000000114,,407.9999999999466
2019.09.09,219.99999999999798,-68.99999999998573,-38.0000000000047,135.99999999999167,118.99999999999133,-299.00000000000483,163.9999999999864,-15.000000000000568,273.9999999999965,-207.00000000002206,-60.99999999999994,-330.9999999999924,48.99999999998794,204.9999999999983,146.00000000000168,,292.99999999994156
2019.09.09,217.0000000000005,-82.99999999998863,-35.999999999991594,161.00000000000003,120.99999999999334,-332.00000000002115,173.99999999998528,-9.000000000000341,295.0000000000008,-221.00000000000364,-34.000000000000696,-319.0000000000026,14.000000000002899,240.99999999999966,192.99999999999872,,381.9999999999726
2019.09.09,219.99999999999798,-63.99999999999739,-29.00000000001235,157.99999999999147,100.99999999999554,-309.0000000000037,176.99999999998272,4.0000000000048885,300.99999999999574,-189.00000000002137,-41.000000000002146,-333.0000000000055,39.999999999995595,230.00000000000398,195.00000000000074,,460.99999999992616
2019.09.09,202.0000000000022,-49.99999999999449,-18.0000000000069,146.99999999999713,90.99999999999665,-287.9999999999994,149.9999999999835,7.000000000005002,274.9999999999919,-178.0000000000257,-139.00000000000023,-509.00000000000387,14.999999999987246,188.99999999999295,187.00000000000384,,80.99999999992994
