date,EURUSD,USDCAD,AUDUSD,EURCHF,CHFJPY,EURJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.09.25,-100.99999999999554,-19.999999999997797,0.0,-150.99999999999002,-100.99999999999909,-96.00000000000364,-11.00000000000989,-48.00000000000182,-180.99999999999784,-13.999999999980695,,-722.9999999999762
2017.09.25,-168.0000000000126,-24.000000000001798,-58.99999999999794,-171.00000000001003,-94.99999999999886,-133.00000000000978,-29.000000000010573,69.00000000000261,95.00000000000064,89.00000000000574,,-426.00000000003257
2017.09.25,-262.00000000000665,58.000000000002494,-87.99999999999919,-239.99999999999577,-43.00000000000637,-397.0000000000198,-138.00000000000523,165.99999999999682,254.99999999999412,118.00000000001809,,-571.0000000000215
2017.09.25,-261.0000000000001,103.99999999999298,-51.99999999999649,-255.00000000000523,161.99999999999193,-481.9999999999993,-187.00000000001182,170.0000000000017,187.9999999999993,-14.999999999987246,,-628.0000000000143
2017.09.25,-265.0000000000041,134.00000000001188,-67.00000000000594,-248.00000000000378,150.99999999999625,-421.0000000000207,-169.00000000001114,16.999999999995907,59.99999999999339,-210.99999999998343,,-1019.0000000000316
2017.09.25,-282.0000000000045,140.0000000000068,-146.00000000000168,-304.9999999999997,194.99999999999318,-617.0000000000186,-362.000000000009,-73.0000000000075,-36.0000000000027,-408.9999999999927,,-1895.0000000000366
2017.09.25,-361.0000000000113,99.00000000000463,-224.000000000002,-418.0000000000073,257.99999999999557,-713.9999999999986,-456.00000000000307,-61.99999999999761,-185.00000000000182,-622.9999999999958,,-2686.0000000000177
2017.09.25,-356.00000000000074,46.999999999997044,-224.000000000002,-390.0000000000015,266.9999999999959,-715.0000000000034,-438.0000000000024,-150.99999999999625,-256.99999999999613,-720.9999999999939,,-2938.0000000000027
2017.09.25,-336.00000000000296,39.00000000001125,-204.99999999999963,-363.0000000000022,177.99999999999727,-653.9999999999964,-417.0000000000016,-135.00000000000512,-263.99999999999756,-636.9999999999986,,-2793.999999999996
2017.09.25,-329.00000000000153,9.999999999998899,-151.00000000000114,-365.99999999999966,161.99999999999193,-584.0000000000032,-325.00000000000284,-204.00000000000773,-297.00000000000284,-647.9999999999819,,-2732.0000000000095
