date,USDCHF,GBPUSD,EURUSD,AUDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,AUDCAD,AUDNZD,empty,sum
2018.01.29,-114.99999999999844,-4.999999999988347,-114.99999999999844,-78.00000000000028,-62.99999999999084,-96.9999999999942,-150.00000000000568,-92.99999999999864,-77.00000000000485,-102.00000000000387,-72.00000000000273,-140.0000000000068,-112.99999999998533,-10.000000000005116,-6.000000000000227,-141.99999999999767,-112.000000000001,,-1489.9999999999825
2018.01.29,-60.00000000000449,-55.99999999998939,-129.00000000000134,-111.99999999998988,-59.000000000009045,-117.999999999995,-101.00000000000664,-73.99999999999629,-113.00000000000753,-85.00000000000796,-168.99999999998272,-211.00000000000563,-198.99999999999363,-100.00000000000853,-22.00000000000557,-254.99999999999412,-121.99999999999989,,-1984.9999999999973
2018.01.29,-99.00000000000463,-139.9999999999846,-103.00000000000864,-93.99999999999409,17.000000000000348,-86.99999999998909,-162.0000000000066,-56.99999999999594,-124.99999999999733,-193.9999999999884,-137.00000000000045,-198.00000000000927,-204.00000000000418,-69.00000000000261,-18.000000000000682,-196.99999999999162,-65.00000000000395,,-1931.9999999999816
2018.01.29,-68.00000000000139,-130.99999999999224,-51.000000000001044,-192.99999999999872,69.9999999999923,-73.99999999999807,-172.00000000000549,-102.99999999999754,-99.00000000000463,-140.99999999999113,-74.99999999998863,-133.00000000000534,-332.9999999999833,-8.000000000009777,52.99999999999727,-223.99999999999088,0.9999999999843467,,-1680.999999999994
2018.01.29,-72.0000000000054,-141.99999999999767,-34.000000000000696,-195.9999999999962,83.00000000001084,-65.99999999998829,-192.00000000000327,-109.99999999999899,-60.99999999999994,-69.99999999999318,-199.99999999998863,-136.00000000000279,-303.9999999999932,-87.0000000000033,-32.00000000001069,-219.99999999999798,-111.00000000001664,,-1949.9999999999857
2018.01.29,-101.00000000000664,-198.99999999999363,-53.00000000001415,-178.00000000000037,95.00000000000064,-62.99999999998818,-202.0000000000022,-131.00000000000333,-138.00000000000477,-221.00000000000364,-103.999999999985,-142.0000000000199,-153.9999999999875,-32.00000000001069,16.999999999995907,-243.99999999999977,-154.0000000000097,,-2004.0000000000332
2018.01.29,-334.9999999999964,-166.99999999998383,-302.0000000000023,-147.99999999999258,83.9999999999952,-30.9999999999917,-241.00000000000233,-127.99999999999478,-158.0000000000026,-222.0000000000084,-150.00000000000568,-109.00000000000354,-79.99999999999119,-35.0000000000108,-21.000000000000796,-216.99999999998943,-274.00000000001864,,-2534.0
2018.01.29,-331.999999999999,-17.999999999984695,-300.00000000001137,-10.999999999994348,139.00000000000023,51.00000000000193,-243.00000000000432,-126.99999999999933,-153.99999999999858,-151.00000000001046,-126.99999999998113,-143.00000000000423,63.99999999999739,-45.000000000001705,-66.0000000000025,-181.9999999999933,-246.99999999999721,,-1891.9999999999827
2018.01.29,-462.0000000000068,62.000000000006494,-407.0000000000018,67.00000000000594,139.00000000000023,30.000000000001137,-295.0000000000008,-141.00000000000225,-167.00000000000603,-211.9999999999891,-150.99999999998204,-91.00000000001884,-44.99999999998394,-25.000000000005684,-41.00000000001103,-119.99999999999788,-175.00000000001404,,-2034.0000000000066
2018.01.29,-428.00000000000614,121.99999999999989,-369.0000000000193,59.000000000009045,214.00000000000307,73.0000000000075,-292.9999999999988,-122.99999999999534,-113.00000000000753,-121.99999999998568,-96.99999999997999,-89.00000000000574,-70.99999999999883,11.999999999986244,-30.000000000001137,-118.99999999999133,-92.00000000000318,,-1465.999999999987
2018.01.29,-365.99999999999966,67.00000000001705,-280.9999999999979,59.000000000009045,221.00000000000452,103.00000000000864,-282.0000000000045,-119.99999999999788,-117.00000000000044,-131.00000000000023,-79.99999999998408,-131.00000000001444,-15.999999999993797,-8.000000000009777,-57.00000000000216,-113.99999999999189,-141.00000000001333,,-1393.9999999999707
2018.01.29,-319.99999999999807,-82.99999999998863,-221.00000000000452,47.00000000000814,164.00000000000858,73.0000000000075,-267.00000000000614,-104.99999999999955,-116.00000000000499,-127.9999999999859,-123.99999999999523,-229.00000000001253,58.000000000002494,-68.00000000001205,-137.00000000000045,-97.9999999999981,-131.00000000001444,,-1684.999999999994
2018.01.29,-250.00000000000577,-71.99999999998319,-119.00000000000244,16.0000000000049,215.99999999999397,87.0000000000033,-231.99999999999886,-77.00000000000485,-109.99999999999899,-121.00000000000932,-74.99999999998863,-200.00000000000017,87.00000000001484,-51.00000000000193,-122.0000000000141,-110.99999999999443,-80.99999999999774,,-1214.9999999999834
2018.01.29,-255.00000000000523,-97.9999999999981,-145.00000000001734,-32.999999999994145,214.00000000000307,92.00000000001296,-238.0000000000049,-97.00000000000264,-111.00000000000554,-115.99999999998545,-73.99999999998386,-208.00000000000819,7.0000000000014495,-46.00000000000648,-66.0000000000025,-146.99999999999713,-79.00000000000685,,-1400.000000000001
2018.01.29,-300.0000000000003,-42.999999999993044,-182.0000000000155,-17.999999999995797,215.99999999999397,75.00000000000284,-243.00000000000432,-105.99999999999498,-109.99999999999899,-152.9999999999916,-51.9999999999925,-208.00000000000819,33.00000000001635,-26.00000000001046,-38.000000000010914,-146.99999999999713,-104.99999999999955,,-1407.0
2018.01.29,-309.0000000000037,-7.999999999985796,-204.00000000000418,18.0000000000069,214.00000000000307,76.00000000000762,-243.99999999999977,-77.00000000000485,-114.00000000000298,-121.99999999998568,-79.99999999998408,-226.99999999999943,60.99999999999994,-40.00000000000625,-85.00000000000796,-113.99999999999189,-95.00000000000064,,-1349.9999999999595
2018.01.29,-297.00000000000284,-48.99999999998794,-160.00000000000458,41.000000000002146,231.0000000000034,-25.99999999999625,-241.99999999999778,-75.9999999999983,-82.99999999999974,-224.99999999999432,16.999999999995907,-338.0000000000161,121.99999999999989,-17.000000000010118,-82.00000000000784,-102.99999999999754,-94.00000000001629,,-1381.000000000028
2018.01.29,-343.9999999999999,17.000000000000348,-212.00000000001216,27.00000000001035,249.00000000001032,46.00000000000648,-280.00000000000244,-136.00000000000279,-79.00000000000685,-175.00000000001137,-6.000000000000227,-229.00000000001253,77.00000000001594,-18.000000000000682,-43.00000000000637,-131.99999999999878,-95.00000000000064,,-1333.0000000000114
