,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,GBPUSD,20,"['AUDNZD', 'NZDCHF', 'NZDCAD']",100.0,0.999125,B
1,1,EURUSD,50,"['EURJPY', 'NZDUSD']",100.0,0.7504225492240727,B
2,2,USDJPY,50,"['AUDCAD', 'USDJPY']",80.0,0.47135477305502343,B
3,3,USDCAD,20,['NZDJPY'],80.0,0.596034905649918,B
4,4,GBPCHF,15,"['NZDCHF', 'NZDCAD', 'NZDUSD', 'EURCHF', 'GBPUSD']",100.0,1.0,B
5,5,EURCHF,50,"['AUDNZD', 'NZDJPY', 'USDJPY']",100.0,0.9999888888888888,B
6,6,CADCHF,20,"['NZDUSD', 'AUDCHF']",100.0,0.3300654560717044,B
7,7,NZDCHF,10,"['AUDNZD', 'NZDJPY', 'GBPUSD']",80.0,0.9933211904761905,B
8,8,EURGBP,30,"['GBPUSD', 'EURCAD']",80.0,-0.6640007059607131,S
9,9,GBPJPY,10,"['NZDCHF', 'NZDCAD', 'AUDJPY', 'EURNZD', 'AUDCHF']",80.0,0.43076047619047386,B
10,10,GBPCAD,30,"['AUDNZD', 'NZDCHF', 'NZDCAD', 'EURCHF']",100.0,0.6686310619935658,B
11,11,GBPAUD,10,['GBPCHF'],80.0,-0.957740000000001,S
12,12,EURJPY,30,['CHFJPY'],80.0,1.0,B
13,13,EURAUD,10,['GBPCHF'],80.0,-0.9507600000000044,S
14,14,CADJPY,15,['NZDUSD'],100.0,0.9999466666666668,B
15,15,NZDJPY,10,"['USDCHF', 'AUDNZD', 'USDJPY']",100.0,0.5047,B
