date,GBPUSD,USDCAD,AUDUSD,GBPCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,EURJPY,CADJPY,AUDJPY,empty,sum
2021.06.28,-253.99999999999866,-48.99999999998794,-151.00000000000114,-25.00000000000835,-195.99999999999795,-129.9999999999968,0.0,-110.99999999999,-144.9999999999818,-200.00000000000284,-280.00000000000114,,-1540.9999999999666
2021.06.28,-216.00000000001617,49.00000000001015,-273.9999999999965,-25.00000000000835,-267.0000000000101,-93.99999999999409,126.0000000000039,-86.00000000001273,-149.0000000000009,-209.00000000000318,-385.9999999999957,,-1531.0000000000236
2021.06.28,-192.99999999999872,49.00000000001015,-271.9999999999945,76.99999999999375,-326.0000000000076,24.000000000001798,173.00000000000094,-86.00000000001273,-206.99999999999363,-257.99999999999557,-359.99999999999943,,-1378.9999999999955
2021.06.28,-204.00000000000418,92.00000000000318,-195.9999999999962,137.9999999999937,-332.9999999999984,31.000000000003247,223.00000000000654,-99.99999999999432,-186.9999999999834,-207.9999999999984,-331.00000000000307,,-1074.9999999999714
2021.06.28,-268.0000000000016,63.99999999999739,-178.99999999999582,95.00000000000064,-334.0000000000032,43.00000000000415,200.00000000000017,-164.99999999999204,-191.99999999997885,-233.99999999999466,-308.9999999999975,,-1278.9999999999613
2021.06.28,-268.0000000000016,32.0000000000098,-236.99999999999832,102.00000000000209,-385.0000000000051,70.0000000000034,209.00000000000364,-217.00000000001296,-247.99999999999045,-275.99999999999625,-384.00000000000034,,-1601.9999999999864
2021.06.28,-266.0000000000107,46.999999999997044,-229.00000000000142,78.00000000000028,-365.0000000000091,68.00000000000139,204.00000000000418,-194.99999999999318,-230.99999999999454,-269.00000000000546,-379.99999999999545,,-1538.0000000000068
2021.06.28,-273.0000000000121,19.00000000001345,-224.9999999999974,1.0000000000065512,-234.99999999999943,143.00000000000423,162.0000000000066,-63.99999999999295,-105.99999999999454,-197.9999999999933,-295.99999999999227,,-1071.9999999999513
2021.06.28,-240.00000000001796,49.99999999999449,-236.99999999999832,-14.000000000002899,-164.00000000000148,175.00000000000293,165.9999999999995,-9.000000000014552,-42.999999999977945,-165.00000000000625,-289.99999999999204,,-771.0000000000146
2021.06.28,-170.00000000000347,170.00000000000347,-146.00000000000168,-48.99999999998794,-84.00000000000318,152.00000000000767,167.00000000000603,93.99999999999409,49.000000000006594,-96.9999999999942,-213.99999999999864,,-127.9999999999713
2021.06.28,-131.99999999999878,204.00000000000418,-120.99999999999334,-52.99999999999194,15.000000000000568,179.00000000000693,165.00000000000404,126.00000000000477,93.00000000001774,-43.00000000000637,-164.00000000000148,,269.0000000000463
