date,USDCAD,AUDUSD,NZDUSD,GBPJPY,EURJPY,CADJPY,NZDJPY,AUDCAD,empty,sum
2019.01.14,-107.00000000001265,-21.999999999999797,-29.000000000001247,-37.99999999998249,-88.00000000000807,0.0,-4.9999999999954525,-18.999999999991246,,-307.99999999999096
2019.01.14,-107.00000000001265,-10.999999999994348,-24.000000000001798,16.000000000019554,39.99999999999204,39.00000000000148,-1.9999999999953388,3.0000000000085514,,-45.99999999998249
2019.01.14,-161.00000000001114,-80.99999999999774,-29.999999999996696,-13.00000000000523,-61.00000000000705,-49.99999999999716,-61.99999999999761,-39.999999999995595,,-498.0000000000082
2019.01.14,-172.0000000000166,-81.9999999999932,-54.999999999993946,-85.99999999998431,-61.00000000000705,-46.999999999997044,-67.00000000000728,-25.999999999992696,,-595.9999999999922
2019.01.14,-170.00000000000347,-94.99999999998954,-58.000000000002494,-92.99999999998931,-37.00000000000614,-30.000000000001137,-67.00000000000728,-50.99999999998994,,-600.9999999999893
2019.01.14,-142.0000000000199,-42.999999999993044,-20.999999999993246,-84.00000000000318,-32.00000000001069,-21.99999999999136,-34.99999999999659,6.0000000000060005,,-373.00000000000193
2019.01.14,-141.00000000001333,1.0000000000065512,13.00000000000745,-132.000000000005,-34.000000000006025,-24.999999999991473,-4.9999999999954525,60.00000000000449,,-262.9999999999928
2019.01.14,-81.00000000001995,1.0000000000065512,7.0000000000014495,-334.0000000000032,-181.0000000000116,-179.9999999999926,-180.00000000000682,13.00000000000745,,-935.0000000000186
2019.01.14,-98.0000000000203,-32.999999999994145,2.000000000002,-329.9999999999841,-156.0000000000059,-176.9999999999925,-168.99999999999693,-10.999999999994348,,-971.9999999999862
2019.01.14,-206.00000000001728,-171.99999999999437,-100.99999999999554,-421.99999999999704,-224.00000000000375,-219.99999999999886,-269.999999999996,-114.99999999999844,,-1730.0000000000011
2019.01.14,-328.00000000001717,-299.99999999998914,-183.99999999999528,-620.0000000000045,-365.0000000000091,-411.00000000000136,-454.9999999999983,-201.99999999999108,,-2865.0000000000055
2019.01.14,-326.0000000000041,-279.99999999999136,-190.99999999999673,-609.9999999999852,-366.00000000001387,-391.9999999999959,-447.9999999999933,-172.99999999998983,,-2785.9999999999704
2019.01.14,-285.00000000000193,-255.99999999998957,-217.99999999999596,-545.9999999999923,-322.00000000000273,-358.99999999999466,-477.00000000000387,-172.99999999998983,,-2635.999999999971
2019.01.14,-275.000000000003,-253.99999999999866,-217.0000000000005,-590.0000000000034,-294.00000000001114,-337.99999999999386,-454.9999999999983,-184.99999999999073,,-2608.0
2019.01.14,-273.0000000000121,-275.99999999999847,-203.99999999999307,-603.999999999985,-285.0000000000108,-364.9999999999949,-472.999999999999,-209.9999999999991,,-2689.9999999999927
2019.01.14,-253.99999999999866,-255.99999999998957,-204.99999999999963,-570.999999999998,-259.00000000000034,-344.99999999999886,-468.0000000000035,-202.9999999999976,,-2560.9999999999864
2019.01.14,-359.0000000000204,-307.99999999999716,-247.99999999999267,-675.9999999999877,-360.00000000001364,-427.99999999999727,-531.9999999999965,-196.99999999999162,,-3107.9999999999973
2019.01.14,-397.0000000000029,-339.99999999999585,-276.9999999999939,-633.9999999999861,-310.0000000000023,-435.0000000000023,-543.0000000000064,-210.99999999999451,,-3146.9999999999845
2019.01.14,-459.0000000000094,-328.9999999999904,-268.0000000000016,-771.9999999999914,-442.0000000000073,-432.9999999999927,-501.99999999999534,-178.99999999999582,,-3383.999999999984
2019.01.14,-419.0000000000138,-270.99999999999903,-256.0000000000007,-819.9999999999932,-375.0,-432.9999999999927,-536.0000000000014,-131.99999999999878,,-3241.9999999999995
2019.01.14,-334.00000000001205,-244.99999999999523,-236.00000000000287,-766.9999999999959,-354.0000000000134,-399.0000000000009,-498.9999999999952,-149.99999999999457,,-2984.00000000001
2019.01.14,-260.0000000000158,-192.99999999999872,-219.99999999999798,-743.9999999999998,-298.0000000000018,-307.00000000000216,-447.00000000000273,-162.99999999999093,,-2632.00000000001
2019.01.14,-226.99999999999943,-172.99999999998983,-212.99999999999653,-751.0000000000048,-309.0000000000117,-293.99999999999693,-435.0000000000023,-141.99999999999767,,-2543.999999999999
2019.01.14,-208.00000000000819,-231.99999999999886,-185.99999999999727,-736.9999999999948,-376.0000000000048,-289.0000000000015,-411.00000000000136,-230.99999999999233,,-2669.999999999999
2019.01.14,-277.00000000001614,-278.9999999999959,-195.9999999999962,-764.9999999999864,-551.0000000000019,-368.9999999999998,-459.99999999999375,-263.99999999999756,,-3160.9999999999877
2019.01.14,-272.00000000000557,-261.99999999999557,-156.99999999999602,-628.9999999999907,-489.0000000000043,-352.99999999999443,-409.000000000006,-193.99999999999417,,-2764.9999999999864
2019.01.14,-341.00000000001353,-210.99999999999451,-114.99999999999844,-697.9999999999791,-520.0000000000102,-472.999999999999,-411.00000000000136,-96.99999999999153,,-2865.9999999999873
2019.01.14,-307.00000000001285,-181.9999999999933,-85.99999999999719,-641.9999999999959,-530.0000000000011,-442.99999999999784,-384.00000000000034,-88.99999999999464,,-2662.999999999993
2019.01.14,-320.00000000000915,-183.99999999999528,-117.99999999999588,-493.9999999999998,-455.0000000000125,-409.9999999999966,-391.00000000000534,-100.00000000000009,,-2472.0000000000146
2019.01.14,-312.00000000000114,-173.9999999999964,-105.99999999999498,-507.000000000005,-474.00000000000375,-365.99999999999966,-358.0000000000041,-89.99999999999008,,-2386.999999999995
