date,AUDUSD,CHFJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,AUDCAD,empty,sum
2020.08.03,-54.999999999993946,-66.99999999999307,-59.99999999999339,-76.99999999999375,-60.99999999999994,-29.999999999996696,-76.99999999999375,,-426.99999999996453
2020.08.03,-69.9999999999923,-153.99999999999636,-89.99999999999008,-99.99999999998899,17.999999999984695,-42.999999999993044,-92.99999999999864,,-531.9999999999748
2020.08.03,-130.99999999999224,-200.00000000000284,-219.99999999999798,-143.99999999998857,7.0000000000014495,-58.000000000002494,-149.99999999999457,,-895.9999999999771
2020.08.03,-203.99999999999307,-215.0000000000034,-287.9999999999994,-93.99999999999409,143.99999999998857,-53.999999999998494,-223.99999999999088,,-934.9999999999908
2020.08.03,-212.99999999999653,-237.99999999999955,-312.00000000000114,-120.99999999999334,156.00000000000057,-65.99999999998829,-229.99999999999687,,-1023.9999999999752
2020.08.03,-181.9999999999933,-228.9999999999992,-293.0000000000099,-147.00000000000824,79.99999999999119,-170.00000000000347,-203.99999999999307,,-1145.000000000016
2020.08.03,-211.99999999998997,-335.9999999999985,-374.999999999992,-187.99999999998818,-246.00000000001288,-317.9999999999961,-248.99999999999923,,-1923.999999999977
2020.08.03,-52.99999999999194,-462.99999999999386,-133.99999999998968,-161.99999999999548,-173.00000000000094,-218.00000000000708,-110.99999999999443,,-1313.9999999999732
2020.08.03,-120.99999999999334,-302.99999999999727,-116.00000000000499,-153.00000000000313,-240.00000000001796,-292.00000000000335,-125.99999999999278,,-1351.0000000000127
2020.08.03,-92.99999999999864,-233.0000000000041,-195.9999999999962,-421.0000000000047,-257.0000000000183,-329.99999999998585,-95.00000000000064,,-1625.0000000000084
2020.08.03,-88.99999999999464,-114.00000000000432,-156.00000000000057,-224.000000000002,-97.00000000001374,-126.99999999998823,-73.00000000000084,,-880.0000000000044
2020.08.03,-78.99999999999574,-131.00000000000023,-113.99999999999189,-167.9999999999904,-51.000000000001044,-90.99999999999665,-83.9999999999952,,-717.9999999999711
2020.08.03,-117.99999999999588,-117.00000000000443,-197.00000000000273,-136.00000000000279,-16.000000000016,-147.99999999999258,-149.99999999999457,,-882.0000000000091
2020.08.03,-83.9999999999952,-141.9999999999959,-316.99999999998954,-232.99999999999432,25.999999999992696,-68.00000000000139,-142.99999999999312,,-960.9999999999768
2020.08.03,-120.99999999999334,-51.00000000000193,-317.9999999999961,-182.99999999999983,56.99999999999594,-86.99999999999264,-190.99999999999673,,-893.9999999999845
2020.08.03,-149.99999999999457,-61.99999999999761,-296.9999999999917,-106.00000000000608,95.999999999985,-119.99999999998678,-209.9999999999991,,-848.9999999999909
2020.08.03,-159.9999999999935,43.00000000000637,-238.99999999998923,-70.99999999999883,-21.00000000000435,-248.00000000000378,-202.9999999999976,,-898.9999999999809
2020.08.03,-179.99999999999127,57.00000000000216,-229.99999999999687,4.000000000004,-14.000000000002899,-266.999999999995,-229.00000000000142,,-858.9999999999814
2020.08.03,-170.99999999999892,61.99999999999761,-249.00000000001032,-279.99999999999136,-64.0000000000196,-266.999999999995,-225.99999999999287,,-1195.0000000000105
2020.08.03,32.0000000000098,91.00000000000819,-174.00000000000747,-279.00000000000705,-65.00000000000395,-89.99999999999008,-75.9999999999983,,-560.9999999999889
2020.08.03,71.00000000000995,121.99999999999989,-344.99999999999534,-520.9999999999936,-34.000000000000696,55.000000000005045,-14.999999999998348,,-666.999999999973
2020.08.03,96.00000000000719,260.0000000000051,-292.00000000000335,-673.9999999999968,-32.0000000000098,225.00000000000853,16.0000000000049,,-400.9999999999843
2020.08.03,26.000000000003798,278.0000000000058,-499.9999999999893,-639.9999999999961,55.99999999998939,92.00000000000318,-53.999999999998494,,-741.9999999999818
2020.08.03,-9.999999999998899,388.00000000000523,-658.0000000000031,-747.0000000000088,213.99999999998087,228.00000000000597,-95.00000000000064,,-680.0000000000193
2020.08.03,29.000000000001247,271.0000000000008,-523.9999999999911,-675.9999999999877,8.999999999992347,224.000000000002,-53.999999999998494,,-720.999999999981
2020.08.03,153.00000000000313,272.00000000000557,-225.99999999999287,-556.0000000000009,-13.000000000018552,195.00000000001182,57.00000000000705,,-117.99999999998477
2020.08.03,170.00000000000347,388.00000000000523,8.999999999992347,-249.99999999999466,-300.00000000001137,-38.99999999998904,17.000000000000348,,-4.9999999999936975
2020.08.03,205.00000000001074,52.00000000000671,158.99999999999804,-232.99999999999432,-309.0000000000037,-53.999999999998494,31.999999999998696,,-147.99999999998235
2020.08.03,173.00000000000094,78.00000000000296,224.000000000002,-32.999999999994145,-228.00000000000597,-39.999999999995595,21.00000000000435,,195.00000000001455
2020.08.03,205.00000000001074,167.0000000000016,278.00000000000045,-103.99999999999298,-331.0000000000146,-2.999999999997449,119.00000000000244,,331.0000000000102
2020.08.03,178.00000000000037,174.0000000000066,130.99999999999224,-201.00000000000674,-345.0000000000175,-62.000000000006494,70.0000000000034,,-55.00000000002811
2020.08.03,253.0000000000032,236.0000000000042,-137.00000000000932,-550.9999999999903,-514.0000000000144,49.00000000001015,69.00000000000794,,-594.9999999999886
2020.08.03,319.0000000000026,343.9999999999941,211.99999999998997,-448.9999999999883,-675.0000000000034,-112.000000000001,209.00000000000364,,-152.0000000000024
2020.08.03,421.0000000000047,237.99999999999955,228.00000000000597,-531.9999999999991,-571.0000000000103,211.00000000000563,282.99999999999994,,278.00000000000637
2020.08.03,307.0000000000017,230.00000000000398,163.00000000000205,-533.0000000000057,-415.0000000000098,324.9999999999975,265.99999999999955,,342.9999999999893
2020.08.03,239.0000000000003,376.0000000000048,258.0000000000027,-289.9999999999903,-409.99999999999926,140.0000000000068,182.99999999999983,,496.00000000002484
2020.08.03,199.00000000000472,343.0000000000035,309.0000000000037,-351.99999999999676,-375.9999999999986,136.00000000000279,201.00000000000674,,460.00000000002603
2020.08.03,209.00000000000364,230.99999999999454,157.00000000000713,-455.0000000000054,-403.00000000002,161.00000000001114,245.0000000000063,,144.99999999999739
