date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,EURJPY,empty,sum
2015.07.06,-75.9999999999983,-51.99999999998539,-308.9999999999975,-39.00000000001125,-43.999999999999595,-19.99999999998181,,-539.9999999999739
2015.07.06,-148.0000000000037,-105.99999999998388,-222.99999999999898,-83.00000000001084,-75.00000000000284,-68.9999999999884,,-703.9999999999886
2015.07.06,-158.99999999999804,-5.999999999994898,-454.9999999999983,-114.0000000000141,-146.00000000000168,-91.99999999998454,,-971.9999999999916
2015.07.06,-55.000000000005045,326.0000000000041,-403.0000000000058,-26.0000000000149,104.00000000000409,787.0000000000061,,732.9999999999886
2015.07.06,22.999999999995246,400.00000000000034,-385.0000000000051,7.999999999985796,121.00000000000443,849.000000000018,,1015.9999999999986
2015.07.06,-129.9999999999968,114.0000000000141,-438.0000000000024,-168.99999999999693,55.000000000005045,604.0000000000134,,36.00000000003638
2015.07.06,-143.9999999999997,137.00000000000932,-605.9999999999945,-150.00000000000568,85.00000000000173,618.9999999999998,,-58.999999999989086
2015.07.06,-46.999999999997044,350.00000000000585,-605.9999999999945,-70.99999999999883,285.9999999999974,1026.0000000000105,,938.0000000000233
2015.07.06,-19.999999999997797,400.00000000000034,-712.0000000000033,-109.00000000000354,246.99999999999721,1021.000000000015,,827.000000000008
2015.07.06,-39.00000000000014,608.0000000000085,-721.0000000000036,-121.00000000001555,271.9999999999945,1431.0000000000116,,1429.9999999999952
2015.07.06,-56.0000000000005,563.0000000000024,-706.0000000000031,-148.99999999999915,80.00000000000229,1386.000000000024,,1118.000000000026
2015.07.06,-92.00000000000318,604.0000000000045,-671.0000000000065,-173.00000000000094,100.00000000000009,1360.0000000000136,,1128.0000000000077
2015.07.06,-153.99999999999858,513.0000000000078,-611.9999999999948,-165.00000000001512,26.000000000003798,1249.0000000000236,,857.0000000000268
2015.07.06,-155.00000000000514,509.00000000000387,-620.0000000000045,-165.00000000001512,29.999999999996696,1165.0000000000205,,763.9999999999962
2015.07.06,-141.99999999999767,548.0000000000151,-513.9999999999958,-161.00000000001114,-39.00000000000014,1139.00000000001,,831.0000000000203
2015.07.06,-153.00000000000313,446.0000000000131,-399.0000000000009,-154.0000000000097,-85.00000000000173,896.000000000015,,551.0000000000126
2015.07.06,-151.00000000000114,307.00000000001285,-352.00000000000387,-182.99999999999983,-126.0000000000039,600.9999999999991,,96.00000000000318
2015.07.06,-146.99999999999713,458.00000000000284,-493.9999999999998,-181.00000000000892,-78.99999999999574,806.0000000000116,,363.00000000001285
2015.07.06,-28.000000000005798,663.999999999998,-576.0000000000076,-85.00000000000173,104.99999999999955,1378.0000000000143,,1457.9999999999966
2015.07.06,-178.00000000000037,629.0000000000128,-667.0000000000016,-9.999999999998899,168.99999999999693,1468.0000000000177,,1411.0000000000266
2015.07.06,-73.00000000000084,648.0000000000041,-679.000000000002,60.99999999999994,246.00000000000176,1475.0000000000227,,1678.0000000000257
2015.07.06,-56.99999999999594,756.0000000000011,-710.9999999999985,102.00000000000209,216.0000000000051,1499.0000000000236,,1805.0000000000375
2015.07.06,-55.000000000005045,910.0000000000108,-653.0000000000058,148.99999999999915,287.9999999999994,1723.0000000000132,,2362.000000000012
2015.07.06,-134.99999999999625,788.0000000000109,-617.0000000000044,24.000000000001798,232.99999999999432,1567.0000000000073,,1860.0000000000136
2015.07.06,-177.00000000000495,689.0000000000063,-706.0000000000031,-85.00000000000173,151.00000000000114,1578.000000000003,,1450.0000000000007
2015.07.06,-209.9999999999991,643.0000000000158,-706.0000000000031,-76.0000000000094,173.00000000000094,1491.0000000000139,,1315.000000000019
2015.07.06,-314.0000000000032,429.00000000001273,-737.9999999999995,-232.00000000000998,195.00000000000074,1275.0000000000057,,615.0000000000064
2015.07.06,-290.9999999999968,426.9999999999996,-828.000000000003,-348.9999999999993,75.00000000000284,1295.000000000016,,329.0000000000192
2015.07.06,-351.0000000000013,421.0000000000047,-941.0000000000025,-374.0000000000077,68.99999999999685,1432.0000000000164,,256.00000000000637
2015.07.06,-312.9999999999966,283.000000000011,-825.0000000000028,-387.000000000004,112.99999999999643,1181.0000000000116,,52.00000000001569
2015.07.06,-372.0000000000057,217.0000000000005,-781.9999999999965,-455.0000000000054,126.0000000000039,1054.000000000002,,-212.00000000000114
2015.07.06,-370.9999999999991,330.0000000000081,-734.9999999999994,-487.0000000000152,192.00000000000327,1169.0000000000111,,98.00000000000864
2015.07.06,-412.9999999999967,446.0000000000131,-706.9999999999936,-565.0000000000155,256.0000000000007,1212.0000000000175,,229.00000000002547
2015.07.06,-385.99999999999744,424.00000000000216,-709.9999999999937,-618.0000000000074,283.99999999999534,1240.000000000009,,234.00000000000807
2015.07.06,-295.0000000000008,540.0000000000072,-796.999999999997,-577.0000000000052,322.00000000000006,1379.000000000019,,572.0000000000232
2015.07.06,-202.0000000000022,608.0000000000085,-912.9999999999967,-636.9999999999986,285.00000000000193,1682.0000000000164,,823.0000000000292
2015.07.06,-209.9999999999991,797.0000000000033,-701.0000000000076,-395.99999999999636,371.99999999999454,1641.0000000000196,,1503.0000000000143
2015.07.06,-163.00000000000205,787.0000000000043,-652.000000000001,-378.00000000001165,365.99999999999966,1659.0000000000202,,1619.0000000000095
2015.07.06,-60.99999999999994,900.0000000000119,-596.0000000000036,-282.0000000000045,412.00000000000125,1670.000000000016,,2043.0000000000211
2015.07.06,58.99999999999794,922.0000000000006,-584.0000000000032,-397.0000000000029,361.9999999999957,1731.000000000023,,2093.000000000011
