date,GBPCHF,empty,sum
2019.05.13,167.00000000000603,,167.00000000000603
2019.05.13,69.00000000000794,,69.00000000000794
2019.05.13,188.9999999999947,,188.9999999999947
2019.05.13,130.99999999999224,,130.99999999999224
2019.05.13,133.00000000000534,,133.00000000000534
2019.05.13,82.00000000000429,,82.00000000000429
2019.05.13,130.0000000000079,,130.0000000000079
2019.05.13,136.00000000000279,,136.00000000000279
2019.05.13,100.99999999999554,,100.99999999999554
2019.05.13,141.99999999999767,,141.99999999999767
2019.05.13,153.00000000000313,,153.00000000000313
2019.05.13,181.9999999999933,,181.9999999999933
2019.05.13,168.99999999999693,,168.99999999999693
2019.05.13,168.0000000000126,,168.0000000000126
2019.05.13,154.99999999999403,,154.99999999999403
2019.05.13,171.00000000001003,,171.00000000001003
2019.05.13,164.00000000000858,,164.00000000000858
2019.05.13,195.00000000001182,,195.00000000001182
2019.05.13,120.99999999999334,,120.99999999999334
2019.05.13,90.00000000001229,,90.00000000001229
2019.05.13,-31.000000000003247,,-31.000000000003247
2019.05.13,52.99999999999194,,52.99999999999194
2019.05.13,-42.0000000000087,,-42.0000000000087
2019.05.13,-17.000000000000348,,-17.000000000000348
2019.05.13,-41.000000000002146,,-41.000000000002146
2019.05.13,-59.99999999999339,,-59.99999999999339
2019.05.13,-53.999999999998494,,-53.999999999998494
2019.05.13,-79.00000000000685,,-79.00000000000685
2019.05.13,-113.00000000000753,,-113.00000000000753
2019.05.13,-219.99999999999798,,-219.99999999999798
2019.05.13,-350.00000000000585,,-350.00000000000585
2019.05.13,-175.99999999999838,,-175.99999999999838
2019.05.13,-259.9999999999936,,-259.9999999999936
2019.05.13,-384.00000000000654,,-384.00000000000654
2019.05.13,-570.9999999999882,,-570.9999999999882
2019.05.13,-719.000000000003,,-719.000000000003
2019.05.13,-958.9999999999987,,-958.9999999999987
2019.05.13,-909.9999999999886,,-909.9999999999886
2019.05.13,-1093.999999999995,,-1093.999999999995
2019.05.13,-1141.9999999999986,,-1141.9999999999986
2019.05.13,-1130.0000000000089,,-1130.0000000000089
2019.05.13,-973.0000000000016,,-973.0000000000016
2019.05.13,-878.000000000001,,-878.000000000001
2019.05.13,-869.999999999993,,-869.999999999993
2019.05.13,-889.9999999999908,,-889.9999999999908
2019.05.13,-936.0000000000035,,-936.0000000000035
2019.05.13,-936.0000000000035,,-936.0000000000035
2019.05.13,-994.000000000006,,-994.000000000006
2019.05.14,-1041.000000000003,,-1041.000000000003
2019.05.14,-1022.9999999999961,,-1022.9999999999961
2019.05.14,-1015.9999999999947,,-1015.9999999999947
2019.05.14,-1175.9999999999993,,-1175.9999999999993
2019.05.14,-1130.9999999999932,,-1130.9999999999932
2019.05.14,-1024.999999999987,,-1024.999999999987
2019.05.14,-947.000000000009,,-947.000000000009
2019.05.14,-900.9999999999962,,-900.9999999999962
2019.05.14,-900.9999999999962,,-900.9999999999962
2019.05.14,-950.0000000000064,,-950.0000000000064
2019.05.14,-887.9999999999999,,-887.9999999999999
2019.05.14,-883.9999999999959,,-883.9999999999959
2019.05.14,-876.9999999999944,,-876.9999999999944
2019.05.14,-883.9999999999959,,-883.9999999999959
2019.05.14,-947.9999999999933,,-947.9999999999933
2019.05.14,-926.999999999989,,-926.999999999989
2019.05.14,-931.9999999999995,,-931.9999999999995
2019.05.14,-927.9999999999955,,-927.9999999999955
2019.05.14,-1038.99999999999,,-1038.99999999999
2019.05.14,-1056.9999999999968,,-1056.9999999999968
2019.05.14,-1079.0000000000077,,-1079.0000000000077
2019.05.14,-1027.0000000000002,,-1027.0000000000002
2019.05.14,-995.9999999999969,,-995.9999999999969
2019.05.14,-916.0000000000057,,-916.0000000000057
2019.05.14,-879.0000000000075,,-879.0000000000075
2019.05.14,-905.0000000000002,,-905.0000000000002
2019.05.14,-801.0000000000073,,-801.0000000000073
2019.05.14,-818.0000000000076,,-818.0000000000076
2019.05.14,-876.9999999999944,,-876.9999999999944
2019.05.14,-900.9999999999962,,-900.9999999999962
2019.05.14,-1029.9999999999975,,-1029.9999999999975
2019.05.14,-1048.9999999999889,,-1048.9999999999889
2019.05.14,-1219.9999999999989,,-1219.9999999999989
2019.05.14,-1144.999999999996,,-1144.999999999996
2019.05.14,-1061.000000000001,,-1061.000000000001
2019.05.14,-1059.9999999999943,,-1059.9999999999943
2019.05.14,-1095.0000000000016,,-1095.0000000000016
2019.05.14,-1024.999999999987,,-1024.999999999987
2019.05.14,-997.9999999999878,,-997.9999999999878
2019.05.14,-1014.9999999999882,,-1014.9999999999882
2019.05.14,-1019.9999999999986,,-1019.9999999999986
2019.05.14,-1076.9999999999945,,-1076.9999999999945
2019.05.14,-1089.0000000000066,,-1089.0000000000066
2019.05.14,-1102.9999999999873,,-1102.9999999999873
2019.05.14,-1058.9999999999877,,-1058.9999999999877
2019.05.14,-1153.000000000004,,-1153.000000000004
2019.05.14,-1109.0000000000043,,-1109.0000000000043
2019.05.14,-1194.0000000000061,,-1194.0000000000061
2019.05.15,-1235.0000000000084,,-1235.0000000000084
2019.05.15,-1217.0000000000014,,-1217.0000000000014
2019.05.15,-1190.0000000000023,,-1190.0000000000023
2019.05.15,-1168.9999999999977,,-1168.9999999999977
2019.05.15,-1171.9999999999952,,-1171.9999999999952
2019.05.15,-1166.0000000000005,,-1166.0000000000005
2019.05.15,-1229.9999999999977,,-1229.9999999999977
2019.05.15,-1214.9999999999884,,-1214.9999999999884
2019.05.15,-1211.0000000000066,,-1211.0000000000066
2019.05.15,-1170.9999999999886,,-1170.9999999999886
