date,GBPUSD,USDJPY,NZDUSD,NZDCHF,GBPAUD,EURJPY,EURAUD,EURNZD,AUDJPY,AUDNZD,empty,sum
2016.09.05,62.000000000006494,36.000000000001364,-51.000000000001044,-68.00000000000139,3.999999999981796,9.000000000000341,-71.99999999998319,-205.00000000001074,44.00000000001114,-93.99999999999409,,-334.9999999999893
2016.09.05,58.000000000002494,-19.99999999999602,-78.00000000000028,-122.99999999999534,-63.000000000013046,-40.99999999999682,-148.99999999999915,-242.00000000000887,20.000000000010232,-79.99999999999119,,-717.999999999988
2016.09.05,-5.000000000010552,-3.9999999999906777,-76.0000000000094,-102.00000000000209,-68.00000000000139,3.0000000000001137,-45.99999999999049,-161.99999999999548,24.00000000000091,-56.99999999999594,,-492.99999999999505
2016.09.05,0.0,-13.999999999995794,-161.00000000000003,-190.99999999999673,-71.00000000002105,15.000000000000568,-31.000000000003247,-329.00000000000153,20.000000000010232,-180.0000000000024,,-942.0000000000099
2016.09.05,1.0000000000065512,-63.00000000000239,-121.00000000000443,-149.99999999999457,96.99999999999153,-30.000000000001137,124.99999999999733,-222.99999999999542,-84.99999999999375,-212.99999999999653,,-661.999999999993
2016.09.05,11.00000000000545,-134.9999999999909,-123.00000000000644,-148.0000000000037,121.99999999999989,-106.00000000000875,134.99999999999625,-212.99999999999653,-143.99999999999125,-215.99999999999397,,-816.9999999999899
2016.09.05,120.99999999999334,-302.99999999999727,-264.0000000000087,-231.99999999999886,-61.00000000002215,-224.00000000000375,-51.000000000001044,-414.00000000000324,-126.99999999999534,-222.99999999999542,,-1778.0000000000323
2016.09.05,52.000000000007596,-167.99999999999216,-212.00000000000108,-217.0000000000005,-42.0000000000087,-147.99999999999613,-53.999999999998494,-412.9999999999967,-71.99999999998852,-215.00000000000963,,-1488.999999999984
2016.09.05,69.9999999999923,-191.0000000000025,-251.00000000000122,-258.0000000000027,-136.00000000000279,-150.99999999999625,-126.99999999998823,-473.0000000000123,-43.99999999999693,-218.99999999999142,,-1780.0000000000018
2016.09.05,87.99999999999919,-96.00000000000364,-276.00000000000955,-312.00000000000114,-153.00000000000313,-63.00000000000239,-180.99999999998673,-539.0000000000006,53.00000000001148,-215.99999999999397,,-1694.9999999999905
2016.09.05,100.99999999999554,-102.99999999999443,-353.99999999999875,-375.0000000000031,-270.00000000001467,-43.99999999999693,-264.9999999999819,-669.0000000000085,111.0000000000042,-241.00000000000233,,-2109.000000000001
2016.09.05,181.00000000000892,-350.9999999999991,-445.0000000000065,-417.99999999999613,-339.0000000000004,-277.000000000001,-350.9999999999902,-801.9999999999916,-0.999999999990564,-269.00000000000813,,-3071.9999999999745
2016.09.05,201.00000000000674,-417.0000000000016,-434.000000000001,-392.9999999999989,-319.0000000000026,-335.9999999999985,-337.99999999999386,-757.0000000000076,-48.00000000000182,-248.00000000000378,,-3089.0000000000027
2016.09.05,200.00000000000017,-402.9999999999916,-443.0000000000045,-398.9999999999938,-320.00000000000915,-319.0000000000026,-334.9999999999964,-774.9999999999924,-39.00000000000148,-262.00000000000665,,-3094.999999999998
2016.09.05,248.00000000000378,-378.0000000000001,-508.00000000000847,-468.9999999999972,-279.00000000000705,-296.0000000000065,-363.9999999999866,-917.9999999999966,-9.000000000000341,-337.0000000000095,,-3310.0000000000086
2016.09.05,330.0000000000081,-489.9999999999949,-559.0000000000094,-478.0000000000006,-321.0000000000157,-334.0000000000032,-367.99999999999056,-902.0000000000028,-27.999999999991587,-322.00000000000006,,-3472.000000000001
2016.09.05,276.9999999999939,-608.0000000000041,-584.0000000000067,-492.0000000000035,-399.00000000001603,-463.0000000000081,-384.9999999999909,-956.0000000000013,-109.99999999999943,-350.9999999999902,,-4071.0000000000264
2016.09.05,242.00000000000887,-712.9999999999939,-570.9999999999993,-475.99999999999864,-408.00000000000836,-551.0000000000019,-305.9999999999841,-883.9999999999959,-209.99999999999375,-358.9999999999982,,-4235.999999999965
2016.09.05,242.99999999999324,-605.000000000004,-544.0,-448.9999999999994,-426.00000000001523,-441.0000000000025,-339.99999999998477,-842.0000000000094,-116.99999999999022,-306.00000000000625,,-3827.000000000019
2016.09.05,154.99999999999403,-590.999999999994,-483.0000000000001,-356.9999999999962,-490.0000000000126,-430.0000000000068,-297.9999999999983,-722.0000000000005,-129.99999999999545,-249.99999999999466,,-3596.000000000004
2016.09.05,96.99999999999153,-637.0000000000005,-455.0000000000054,-373.00000000000114,-548.0000000000151,-521.0000000000008,-336.00000000000296,-717.000000000012,-173.99999999999238,-221.00000000000452,,-3885.000000000043
2016.09.05,106.00000000000608,-706.0000000000031,-504.9999999999999,-353.0000000000033,-592.0000000000148,-555.9999999999974,-329.00000000000153,-775.9999999999989,-202.99999999998875,-262.00000000000665,,-4176.000000000007
2016.09.05,323.0000000000066,-694.9999999999932,-518.0000000000074,-346.9999999999973,-373.00000000000114,-486.0000000000042,-296.9999999999917,-730.9999999999927,-173.00000000000182,-256.99999999999613,,-3553.999999999979
2016.09.05,733.9999999999902,-692.9999999999978,-479.0000000000072,-385.000000000002,258.99999999998704,-630.0000000000097,-417.0000000000007,-832.9999999999949,-200.9999999999934,-239.99999999999577,,-2885.000000000024
2016.09.05,575.9999999999987,-757.9999999999956,-476.0000000000098,-381.99999999999346,54.99999999998284,-710.000000000008,-420.9999999999825,-824.0000000000025,-253.99999999999068,-232.99999999999432,,-3426.9999999999955
2016.09.05,320.9999999999935,-891.9999999999959,-452.00000000000796,-356.9999999999962,-205.00000000001074,-874.0000000000094,-383.0,-795.9999999999967,-387.00000000000045,-242.99999999999324,,-4268.000000000017
2016.09.05,299.99999999998914,-852.9999999999944,-365.99999999999966,-300.0000000000003,-2.0000000000131024,-861.0000000000042,-229.99999999999687,-662.9999999999914,-460.9999999999985,-259.0000000000092,,-3695.0000000000186
2016.09.05,375.9999999999986,-756.9999999999908,-381.0000000000091,-319.0000000000026,48.99999999998794,-740.0000000000091,-255.99999999998957,-678.0000000000008,-366.9999999999902,-252.99999999999213,,-3325.9999999999977
2016.09.05,292.00000000000335,-804.000000000002,-334.00000000000097,-263.99999999999756,-72.0000000000054,-814.0000000000072,-288.99999999998374,-605.0000000000111,-399.0000000000009,-178.99999999999582,,-3468.0000000000014
2016.09.05,282.0000000000045,-867.0000000000044,-334.00000000000097,-258.9999999999981,-87.00000000001484,-883.0000000000098,-289.9999999999903,-605.9999999999955,-442.99999999999784,-177.00000000000495,,-3664.0000000000123
