date,USDCHF,GBPUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,GBPJPY,GBPCAD,EURCAD,AUDJPY,AUDCAD,empty,sum
2019.09.09,-139.00000000000023,-28.000000000005798,-97.9999999999981,-146.00000000000168,-79.99999999999119,0.0,-143.9999999999997,-87.00000000001751,-70.99999999999883,-82.00000000000429,-108.00000000000409,-131.99999999999878,,-1115.0000000000202
2019.09.09,-114.99999999999844,-23.00000000001745,-92.99999999999864,-159.00000000002024,-37.99999999998249,6.000000000000227,-113.99999999999189,-143.00000000000068,-120.99999999999334,-21.00000000000435,-99.00000000000375,-121.00000000000443,,-1041.0000000000155
2019.09.09,-119.00000000000244,53.999999999998494,-115.99999999999389,-188.00000000001037,-35.999999999991594,69.00000000000261,-141.99999999999767,-263.00000000000523,-119.99999999998678,-53.999999999998494,-170.99999999999227,-140.0000000000068,,-1225.9999999999845
2019.09.09,-129.9999999999968,83.9999999999952,-139.00000000000023,-242.00000000000887,-43.999999999999595,114.00000000000432,-171.99999999999437,-288.0000000000109,-171.99999999999437,-52.99999999999194,-182.00000000000216,-153.99999999999858,,-1377.9999999999986
2019.09.09,-159.9999999999935,117.99999999999588,-125.99999999999278,-294.0000000000165,-60.99999999999994,91.00000000000819,-168.00000000000148,-365.0000000000091,-188.9999999999947,-90.99999999999665,-170.0000000000017,-133.00000000000534,,-1548.0000000000077
2019.09.09,-173.00000000000094,100.99999999999554,-151.9999999999966,-290.00000000001245,-74.99999999998064,111.99999999999477,-201.99999999999108,-362.0000000000232,-177.99999999998929,-133.00000000000534,-227.00000000000387,-134.0000000000008,,-1713.0000000000136
2019.09.09,-197.00000000000273,66.99999999999484,-178.99999999999582,-292.00000000000335,-88.99999999998354,66.0000000000025,-195.00000000000074,-368.0000000000234,-119.99999999998678,-133.99999999998968,-215.0000000000034,-95.00000000000064,,-1750.999999999993
2019.09.09,-265.99999999999955,42.999999999993044,-156.00000000000057,-346.0000000000019,-113.99999999999189,13.999999999995794,-166.99999999999494,-347.0000000000084,-137.9999999999937,-130.0000000000079,-176.00000000000193,-53.00000000000304,,-1836.0000000000148
2019.09.09,-261.99999999999557,58.99999999998684,-225.99999999999287,-354.0000000000099,-136.99999999998712,10.000000000005116,-207.00000000000162,-318.00000000001205,-113.99999999999189,-141.99999999999767,-168.99999999999693,-57.00000000000705,,-1917.0000000000007
2019.09.09,-253.99999999999866,96.99999999999153,-237.99999999999378,-415.0000000000098,-174.99999999999181,-90.00000000000341,-271.9999999999945,-356.9999999999993,-218.99999999999142,-143.99999999998857,-236.99999999999477,-134.0000000000008,,-2437.9999999999754
