date,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.10.02,70.99999999999883,-6.999999999990791,182.0000000000155,7.0000000000014495,20.999999999993246,-128.000000000017,-82.99999999999974,-93.00000000000975,-7.0000000000014495,-81.99999999999363,-120.99999999999334,-100.0000000000112,-100.99999999999554,243.00000000001543,-34.000000000006025,2.0000000000095497,-42.00000000000159,-195.00000000000074,-60.99999999999994,,-527.9999999999867
2017.10.02,39.00000000000014,-10.99999999999568,97.9999999999981,12.999999999996348,2.000000000002,-87.00000000001484,-121.00000000000443,-68.00000000000139,33.000000000005244,-97.99999999998477,-42.0000000000087,5.999999999994898,-133.99999999998968,189.00000000001694,-87.0000000000033,0.0,-57.00000000000216,-107.99999999999699,-44.99999999998394,,-477.99999999997215
2017.10.02,24.999999999997247,112.99999999999955,123.00000000000644,121.99999999999989,-119.00000000000244,-283.000000000011,-146.00000000000168,-152.00000000000767,-76.99999999999375,-514.9999999999864,235.00000000000742,88.99999999998354,-95.999999999985,204.00000000000418,-240.0000000000091,-212.99999999999386,192.99999999999784,24.999999999997247,-59.99999999999339,,-771.9999999999909
2017.10.02,42.999999999993044,123.00000000000466,146.00000000000168,122.99999999999534,-136.00000000000279,-275.000000000003,-177.00000000000495,-166.00000000001057,-125.99999999999278,-477.00000000000387,156.00000000000057,18.999999999991246,-44.99999999998394,121.99999999999989,-260.0000000000051,-220.99999999998943,225.00000000000853,41.9999999999976,-40.99999999997994,,-924.9999999999839
2017.10.02,29.000000000001247,124.00000000000944,147.00000000000824,109.00000000000354,-148.99999999999915,-276.00000000000955,-177.00000000000495,-147.00000000000824,-134.99999999999625,-483.0000000000041,157.00000000000713,-31.000000000003247,-27.999999999983594,38.0000000000047,-268.0000000000007,-209.99999999999375,242.00000000000443,58.99999999999794,-3.999999999981796,,-1002.9999999999484
2017.10.02,32.999999999994145,151.00000000001046,117.99999999999588,90.0000000000012,-77.00000000000485,-231.0000000000034,-158.0000000000026,-128.00000000000588,-61.999999999995396,-474.9999999999943,144.0000000000108,15.999999999993797,-79.99999999999119,218.00000000000708,-271.0000000000008,-206.99999999999363,178.00000000001148,-12.999999999996348,-85.00000000000173,,-838.9999999999653
2017.10.02,66.99999999999484,155.00000000000114,43.999999999999595,94.00000000000519,-24.999999999997247,-245.0000000000063,-141.99999999999767,-159.00000000000912,-37.99999999999359,-435.0000000000023,192.99999999999872,-19.00000000001345,45.000000000006146,209.00000000001472,-219.99999999999886,-213.99999999999864,121.99999999999989,-24.999999999997247,-168.99999999999693,,-761.9999999999911
2017.10.02,122.99999999999534,310.0000000000023,-2.999999999997449,70.0000000000034,34.99999999999615,-182.0000000000155,-157.00000000000713,-181.00000000000892,-14.999999999998348,-483.99999999998045,89.00000000000574,-73.99999999999629,121.99999999999989,219.00000000001364,-308.9999999999975,-307.9999999999927,161.00000000000136,-65.99999999999939,-232.99999999999432,,-882.9999999999701
2017.10.02,221.99999999999997,362.000000000009,-24.000000000001798,2.000000000002,73.00000000000084,-249.00000000001032,-225.00000000000853,-193.00000000000983,-51.99999999999649,-472.99999999998477,22.0000000000109,-124.00000000001299,56.000000000011596,223.00000000001762,-337.0000000000033,-272.99999999999613,158.00000000000125,-97.9999999999981,-191.99999999999218,,-1121.9999999999613
2017.10.02,256.0000000000007,364.0000000000043,-72.99999999998974,-75.9999999999983,173.00000000000094,-237.00000000002052,-219.99999999999798,-140.0000000000068,18.0000000000069,-414.99999999999204,22.999999999995246,-181.00000000000892,30.0000000000189,311.0000000000168,-304.00000000000205,-187.99999999998818,51.00000000000193,-183.99999999999528,-228.99999999999034,,-1020.9999999999444
