date,GBPUSD,USDCAD,GBPCHF,EURCHF,NZDCHF,EURGBP,GBPJPY,EURNZD,AUDJPY,empty,sum
2016.05.09,-36.0000000000138,-49.00000000001015,-260.0000000000158,-102.00000000000209,-39.00000000000014,-49.99999999999449,-222.0000000000084,-119.00000000000244,-41.00000000001103,,-918.0000000000583
2016.05.09,40.99999999997994,89.00000000000574,-213.00000000001873,4.999999999988347,-81.9999999999932,-42.999999999993044,-344.99999999999886,119.99999999998678,-41.00000000001103,,-469.000000000054
2016.05.09,11.999999999989797,143.00000000000423,-236.00000000001398,12.999999999996348,-161.00000000000003,-29.000000000001247,-296.99999999999704,-120.99999999999334,114.99999999999488,,-561.0000000000203
2016.05.09,97.9999999999981,174.99999999999181,-296.0000000000074,8.999999999992347,-220.99999999999343,-60.99999999999994,-471.00000000000364,-265.0000000000041,259.00000000000034,,-773.000000000026
2016.05.09,140.99999999999113,167.9999999999904,-329.00000000000153,24.000000000001798,-228.99999999999034,-83.9999999999952,-622.9999999999905,-283.000000000011,286.9999999999919,,-928.0000000000133
2016.05.09,123.99999999999079,73.99999999999629,-363.0000000000022,-29.999999999996696,-221.99999999999997,-134.0000000000008,-611.9999999999948,-303.0000000000088,314.9999999999977,,-1151.0000000000184
2016.05.09,12.999999999996348,38.0000000000047,-335.00000000001864,-32.999999999994145,-247.99999999999267,-117.99999999999588,-802.9999999999973,-340.00000000000693,285.99999999998715,,-1540.0000000000173
2016.05.09,-66.00000000001049,-32.999999999994145,-319.0000000000026,-38.0000000000047,-236.99999999999832,-80.99999999999774,-788.0000000000109,-323.0000000000066,338.99999999999864,,-1546.000000000027
2016.05.09,26.999999999999247,9.999999999998899,-301.0000000000179,-15.00000000000945,-202.9999999999976,-73.99999999999629,-769.0000000000055,-202.9999999999976,378.9999999999907,,-1149.0000000000357
2016.05.09,54.99999999998284,82.99999999998863,-230.00000000001907,18.999999999991246,-220.99999999999343,-20.999999999993246,-596.0000000000036,-246.00000000001288,341.99999999999875,,-815.0000000000608
