date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,GBPJPY,GBPCAD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2019.07.15,151.9999999999966,-269.9999999999925,-54.99999999998284,43.99999999999693,65.00000000000395,-31.999999999998696,-32.999999999994145,-333.9999999999899,-96.00000000000719,-81.00000000000307,-82.00000000000429,148.99999999999915,-221.00000000000364,-297.9999999999983,-88.00000000000807,-76.99999999999375,-104.99999999999955,-72.99999999999329,-34.99999999999659,-89.00000000000574,12.000000000012001,,-1546.9999999999625
2019.07.15,166.99999999999494,-320.00000000000915,-38.99999999998904,39.99999999999204,28.000000000005798,-65.00000000000395,-85.99999999999719,-375.9999999999986,-145.00000000001734,-60.99999999999284,-126.99999999999933,168.00000000000148,-305.0000000000068,-412.9999999999967,-43.99999999999693,-24.000000000001798,29.00000000001235,-85.99999999999852,-90.00000000000341,-111.00000000000554,-10.999999999983245,,-1870.9999999999939
2019.07.15,139.00000000000023,-354.9999999999942,-82.99999999998863,-3.0000000000001137,-8.999999999992347,-97.00000000000264,-137.9999999999937,-402.9999999999978,-144.0000000000108,-93.99999999999409,-141.00000000000225,217.0000000000005,-341.0000000000082,-425.0000000000087,-36.000000000001364,-56.99999999999594,39.999999999995595,-97.99999999999898,-122.99999999999045,-153.00000000000313,-26.999999999999247,,-2330.999999999986
2019.07.15,148.99999999999915,-334.00000000001205,-63.99999999999739,31.999999999996476,25.00000000000835,-80.99999999999774,-115.99999999999389,-387.99999999998835,-134.00000000001188,-125.0,-141.00000000000225,204.00000000000418,-358.0000000000041,-435.0000000000076,-58.9999999999975,-66.99999999999484,5.999999999994898,-105.99999999999454,-121.99999999999989,-146.00000000000168,-15.999999999993797,,-2275.9999999999945
2019.07.15,175.00000000000293,-303.9999999999932,-52.99999999999194,48.00000000000182,59.000000000009045,-60.99999999999994,-103.99999999999298,-395.99999999999636,-154.0000000000097,-110.99999999999,-141.00000000000225,211.00000000000563,-348.0000000000132,-442.00000000000904,-64.00000000000716,-90.99999999999665,-7.999999999985796,-97.99999999999898,-119.99999999999034,-155.00000000000514,-24.999999999986144,,-2181.9999999999495
2019.07.15,143.00000000000423,-303.0000000000088,-54.99999999998284,-17.000000000010118,76.0000000000094,-43.00000000000415,-102.99999999999754,-354.9999999999942,-120.00000000000898,-84.00000000000318,-98.99999999999353,187.9999999999993,-266.00000000001955,-459.99999999999375,6.999999999990791,-114.99999999999844,-17.999999999984695,-37.9999999999967,-73.99999999999807,-165.00000000000404,-51.000000000001044,,-1951.9999999999961
2019.07.15,136.00000000000279,-273.0000000000121,-48.99999999998794,12.000000000000455,73.00000000001194,-75.00000000000284,-162.99999999999093,-312.00000000000114,-106.00000000000608,-118.99999999999977,-122.99999999999534,241.99999999999778,-265.0000000000148,-421.0000000000047,-16.000000000005343,-106.00000000000608,141.00000000001333,-57.999999999992724,-155.00000000000114,-241.00000000000233,-97.9999999999981,,-1975.9999999999952
2019.07.15,124.99999999999733,-283.000000000011,-84.99999999997954,-26.00000000001046,62.000000000006494,-65.99999999999939,-202.9999999999976,-312.00000000000114,-130.0000000000079,-93.00000000000352,-109.99999999999899,273.9999999999965,-234.00000000000887,-419.9999999999982,-14.000000000010004,-134.99999999999625,187.00000000000384,-39.99999999999204,-174.99999999999716,-282.99999999999994,-171.99999999999437,,-2133.0000000000027
2019.07.15,126.0000000000039,-263.00000000001324,-75.99999999998718,0.999999999990564,111.00000000001664,-46.999999999997044,-240.99999999999122,-292.9999999999877,-120.00000000000898,-118.99999999999977,-92.00000000000318,311.00000000000574,-245.00000000000455,-456.9999999999963,-34.99999999999659,-181.00000000000892,300.00000000001137,-26.999999999986812,-233.99999999999466,-365.0000000000042,-261.0000000000001,,-2206.9999999999523
2019.07.15,163.00000000000205,-232.00000000000998,-39.999999999995595,30.000000000001137,124.99999999999733,-72.0000000000054,-266.999999999995,-309.0000000000037,-126.0000000000039,-110.99999999999,-143.00000000000423,367.0000000000062,-253.00000000001432,-438.00000000000506,-31.00000000000591,-147.00000000000824,431.0000000000036,-41.99999999998738,-284.9999999999966,-417.0000000000007,-268.0000000000016,,-2065.0000000000173
