date,EURCHF,GBPCAD,NZDJPY,empty,sum
2016.03.21,63.99999999999739,-22.999999999995246,61.99999999999761,,102.99999999999976
2016.03.21,66.99999999999484,146.99999999998602,31.999999999996476,,245.99999999997732
2016.03.21,59.99999999999339,347.9999999999928,128.99999999999068,,536.9999999999768
2016.03.21,80.99999999999774,350.00000000000585,243.99999999999977,,675.0000000000034
2016.03.21,55.99999999998939,408.9999999999927,389.99999999998636,,854.9999999999684
2016.03.21,51.000000000001044,336.9999999999873,283.9999999999918,,671.9999999999802
2016.03.21,60.99999999999994,388.9999999999949,440.9999999999883,,890.9999999999832
2016.03.21,100.99999999999554,384.00000000000654,425.9999999999877,,910.9999999999898
2016.03.21,82.99999999998863,299.00000000000483,337.99999999999386,,719.9999999999873
2016.03.21,46.999999999997044,209.9999999999991,299.99999999999716,,556.9999999999933
2016.03.21,21.999999999988695,276.9999999999939,365.99999999999966,,664.9999999999823
2016.03.21,32.999999999994145,239.99999999999577,386.99999999998624,,659.9999999999761
2016.03.21,14.999999999987246,245.99999999999068,278.99999999999636,,539.9999999999743
2016.03.21,18.999999999991246,300.99999999999574,326.9999999999982,,646.9999999999852
2016.03.21,24.000000000001798,201.00000000000674,254.99999999999545,,480.000000000004
2016.03.21,42.999999999993044,170.99999999998784,337.99999999999386,,551.9999999999748
2016.03.21,4.999999999988347,1.0000000000065512,325.9999999999934,,331.9999999999883
2016.03.21,25.999999999992696,-90.99999999999665,366.9999999999902,,301.99999999998624
2016.03.21,-40.0000000000178,-35.00000000000725,394.999999999996,,319.999999999971
2016.03.21,1.999999999990898,-249.00000000001032,363.9999999999901,,116.9999999999707
2016.03.21,22.999999999995246,-286.00000000000847,252.9999999999859,,-10.000000000027342
2016.03.21,58.99999999998684,-411.0000000000058,151.9999999999868,,-200.00000000003217
2016.03.21,-74.0000000000185,-405.0000000000109,97.99999999999898,,-381.00000000003047
2016.03.21,0.9999999999843467,-449.9999999999948,33.999999999991815,,-415.00000000001864
2016.03.21,-30.0000000000189,-653.0000000000147,71.99999999998852,,-611.000000000045
2016.03.21,41.99999999998649,-445.0000000000065,39.99999999999204,,-363.00000000002797
2016.03.21,-5.000000000010552,-402.9999999999978,74.99999999998863,,-333.0000000000197
