date,USDJPY,EURJPY,AUDJPY,empty,sum
2016.07.04,-48.99999999999238,-137.00000000000045,-194.00000000000261,,-379.99999999999545
2016.07.04,-39.00000000000148,-66.0000000000025,-201.99999999999818,,-307.00000000000216
2016.07.04,-52.99999999999727,-147.99999999999613,-302.99999999999727,,-503.9999999999907
2016.07.04,-39.00000000000148,-115.99999999999966,-314.9999999999977,,-469.99999999999886
2016.07.04,1.0000000000047748,-84.00000000000318,-268.0000000000007,,-350.9999999999991
2016.07.04,49.000000000006594,-60.000000000002274,-243.99999999999977,,-254.99999999999545
2016.07.04,43.00000000000637,-19.99999999999602,-250.0,,-226.99999999998965
2016.07.04,-4.9999999999954525,-34.99999999999659,-361.99999999999477,,-401.9999999999868
2016.07.04,-54.000000000002046,-87.99999999999386,-426.00000000000193,,-567.9999999999978
2016.07.04,-31.999999999996476,-150.99999999999625,-626.0000000000048,,-808.9999999999975
2016.07.04,-48.00000000000182,-228.9999999999992,-670.0000000000017,,-947.0000000000027
2016.07.04,-123.99999999999523,-262.00000000000045,-659.9999999999966,,-1045.9999999999923
2016.07.04,-155.9999999999917,-310.99999999999284,-680.9999999999974,,-1147.9999999999818
2016.07.04,-183.9999999999975,-340.0000000000034,-692.9999999999978,,-1216.9999999999986
2016.07.04,-171.99999999999704,-319.0000000000026,-634.0000000000003,,-1125.0
2016.07.04,-129.99999999999545,-250.0,-591.0000000000082,,-971.0000000000036
2016.07.04,-129.99999999999545,-290.9999999999968,-673.0000000000018,,-1093.999999999994
2016.07.04,-115.99999999999966,-299.99999999999716,-778.0000000000058,,-1194.0000000000027
2016.07.04,-138.9999999999958,-250.0,-838.0000000000081,,-1227.0000000000039
2016.07.04,-109.99999999999943,-269.00000000000546,-852.9999999999944,,-1231.9999999999993
2016.07.04,-125.0,-213.99999999999864,-882.000000000005,,-1221.0000000000036
2016.07.04,-116.99999999999022,-197.00000000000273,-867.0000000000044,,-1180.9999999999973
2016.07.04,-95.99999999998943,-111.99999999999477,-858.0000000000041,,-1065.9999999999882
2016.07.04,-100.99999999999909,85.99999999999852,-825.0000000000028,,-840.0000000000034
2016.07.04,-63.99999999999295,55.00000000000682,-790.0000000000063,,-798.9999999999924
2016.07.04,-39.99999999999204,-81.00000000000307,-936.9999999999976,,-1057.9999999999927
2016.07.04,15.000000000000568,-36.99999999999193,-926.0000000000019,,-947.9999999999933
2016.07.04,-18.000000000000682,-54.000000000002046,-912.9999999999967,,-984.9999999999994
2016.07.04,-15.000000000000568,-1.9999999999953388,-924.9999999999972,,-941.9999999999931
2016.07.04,27.000000000001023,-87.99999999999386,-942.9999999999978,,-1003.9999999999907
2016.07.04,-19.99999999999602,-201.99999999999818,-941.0000000000025,,-1162.9999999999968
2016.07.04,9.000000000000341,-170.99999999999227,-936.9999999999976,,-1098.9999999999895
2016.07.04,-28.999999999996362,-159.9999999999966,-932.0000000000022,,-1120.999999999995
2016.07.04,-21.99999999999136,-164.00000000000148,-944.0000000000026,,-1129.9999999999955
2016.07.04,-6.999999999990791,-135.00000000000512,-1021.0000000000008,,-1162.9999999999968
2016.07.04,11.00000000000989,-156.99999999999648,-1049.0000000000066,,-1194.9999999999932
2016.07.04,67.00000000000728,-121.99999999999989,-992.999999999995,,-1047.9999999999877
2016.07.04,79.9999999999983,-111.0000000000042,-984.9999999999994,,-1016.0000000000053
2016.07.04,100.00000000000853,-108.00000000000409,-945.999999999998,,-953.9999999999935
2016.07.04,105.00000000000398,-96.00000000000364,-950.0000000000028,,-941.0000000000025
2016.07.04,99.00000000000375,-150.99999999999625,-945.999999999998,,-997.9999999999905
2016.07.04,78.00000000000296,-221.00000000000364,-963.9999999999986,,-1106.9999999999993
2016.07.04,76.99999999999818,-218.9999999999941,-978.9999999999992,,-1120.999999999995
2016.07.04,70.00000000000739,-259.00000000000034,-974.9999999999943,,-1163.9999999999873
2016.07.04,50.00000000001137,-272.99999999999613,-995.0000000000045,,-1217.9999999999893
2016.07.04,64.99999999999773,-263.9999999999958,-984.9999999999994,,-1183.9999999999975
2016.07.04,88.00000000000807,-233.99999999999466,-951.9999999999982,,-1097.9999999999848
2016.07.04,52.00000000000671,-248.99999999999523,-981.9999999999993,,-1178.9999999999877
2016.07.05,90.00000000000341,-191.99999999999307,-929.000000000002,,-1030.9999999999918
2016.07.05,82.99999999999841,-159.9999999999966,-909.000000000006,,-986.0000000000042
2016.07.05,73.99999999999807,-153.99999999999636,-903.0000000000058,,-983.0000000000041
2016.07.05,32.00000000001069,-179.9999999999926,-945.0000000000074,,-1092.9999999999893
2016.07.05,37.00000000000614,-168.99999999999693,-932.0000000000022,,-1063.999999999993
2016.07.05,41.00000000001103,-135.99999999999568,-890.0000000000006,,-984.9999999999852
2016.07.05,94.0000000000083,-87.0000000000033,-823.0000000000075,,-816.0000000000025
2016.07.05,225.00000000000853,137.00000000000045,-656.9999999999965,,-294.9999999999875
2016.07.05,222.0000000000084,152.00000000000102,-695.999999999998,,-321.9999999999885
