date,CADJPY,empty,sum
2016.03.28,-21.000000000000796,,-21.000000000000796
2016.03.28,-123.99999999999523,,-123.99999999999523
2016.03.28,-242.00000000000443,,-242.00000000000443
2016.03.28,-239.00000000000432,,-239.00000000000432
2016.03.28,-250.0,,-250.0
2016.03.28,-301.9999999999925,,-301.9999999999925
2016.03.28,-283.9999999999918,,-283.9999999999918
2016.03.28,-352.00000000000387,,-352.00000000000387
2016.03.28,-390.99999999999113,,-390.99999999999113
2016.03.28,-412.9999999999967,,-412.9999999999967
2016.03.28,-509.00000000000034,,-509.00000000000034
2016.03.28,-506.9999999999908,,-506.9999999999908
2016.03.28,-487.99999999999955,,-487.99999999999955
2016.03.28,-516.9999999999959,,-516.9999999999959
2016.03.28,-530.9999999999917,,-530.9999999999917
2016.03.28,-486.99999999999477,,-486.99999999999477
2016.03.28,-525.9999999999962,,-525.9999999999962
2016.03.28,-584.9999999999937,,-584.9999999999937
2016.03.28,-560.0000000000023,,-560.0000000000023
2016.03.28,-567.9999999999978,,-567.9999999999978
2016.03.28,-632.9999999999956,,-632.9999999999956
2016.03.28,-621.9999999999999,,-621.9999999999999
2016.03.28,-593.9999999999941,,-593.9999999999941
2016.03.28,-486.99999999999477,,-486.99999999999477
2016.03.28,-477.99999999999443,,-477.99999999999443
2016.03.28,-487.99999999999955,,-487.99999999999955
2016.03.28,-618.9999999999998,,-618.9999999999998
2016.03.28,-573.9999999999981,,-573.9999999999981
2016.03.28,-533.0000000000013,,-533.0000000000013
2016.03.28,-487.99999999999955,,-487.99999999999955
2016.03.28,-590.0000000000034,,-590.0000000000034
2016.03.28,-631.9999999999908,,-631.9999999999908
2016.03.28,-656.9999999999965,,-656.9999999999965
2016.03.28,-697.9999999999933,,-697.9999999999933
2016.03.28,-727.0000000000039,,-727.0000000000039
2016.03.28,-659.9999999999966,,-659.9999999999966
2016.03.28,-685.0000000000023,,-685.0000000000023
2016.03.28,-733.0000000000041,,-733.0000000000041
2016.03.28,-751.9999999999953,,-751.9999999999953
2016.03.28,-798.0000000000018,,-798.0000000000018
2016.03.28,-816.0000000000025,,-816.0000000000025
2016.03.28,-786.9999999999919,,-786.9999999999919
2016.03.28,-840.999999999994,,-840.999999999994
2016.03.28,-813.0000000000024,,-813.0000000000024
2016.03.28,-808.9999999999975,,-808.9999999999975
2016.03.28,-837.0000000000033,,-837.0000000000033
2016.03.28,-850.9999999999991,,-850.9999999999991
2016.03.28,-887.0000000000005,,-887.0000000000005
2016.03.29,-875.0,,-875.0
2016.03.29,-843.9999999999941,,-843.9999999999941
2016.03.29,-864.9999999999949,,-864.9999999999949
2016.03.29,-864.0000000000043,,-864.0000000000043
2016.03.29,-849.0000000000038,,-849.0000000000038
2016.03.29,-911.0000000000014,,-911.0000000000014
2016.03.29,-855.9999999999945,,-855.9999999999945
2016.03.29,-805.9999999999974,,-805.9999999999974
2016.03.29,-956.0000000000031,,-956.0000000000031
2016.03.29,-960.9999999999985,,-960.9999999999985
2016.03.29,-933.9999999999975,,-933.9999999999975
2016.03.29,-959.0000000000032,,-959.0000000000032
2016.03.29,-905.9999999999917,,-905.9999999999917
2016.03.29,-867.999999999995,,-867.999999999995
2016.03.29,-993.9999999999998,,-993.9999999999998
2016.03.29,-992.0000000000044,,-992.0000000000044
2016.03.29,-956.0000000000031,,-956.0000000000031
2016.03.29,-902.9999999999916,,-902.9999999999916
2016.03.29,-897.9999999999961,,-897.9999999999961
2016.03.29,-870.0000000000045,,-870.0000000000045
2016.03.29,-878.9999999999907,,-878.9999999999907
2016.03.29,-929.000000000002,,-929.000000000002
2016.03.29,-903.9999999999964,,-903.9999999999964
2016.03.29,-959.0000000000032,,-959.0000000000032
2016.03.29,-1164.0000000000014,,-1164.0000000000014
2016.03.29,-1024.9999999999914,,-1024.9999999999914
2016.03.29,-1140.9999999999911,,-1140.9999999999911
2016.03.29,-1194.9999999999932,,-1194.9999999999932
2016.03.29,-1111.000000000004,,-1111.000000000004
2016.03.29,-1158.0000000000014,,-1158.0000000000014
2016.03.29,-1143.0000000000007,,-1143.0000000000007
2016.03.29,-1054.000000000002,,-1054.000000000002
2016.03.29,-1045.0000000000018,,-1045.0000000000018
2016.03.29,-935.9999999999928,,-935.9999999999928
2016.03.29,-957.9999999999984,,-957.9999999999984
2016.03.29,-1099.0000000000036,,-1099.0000000000036
2016.03.29,-1042.9999999999923,,-1042.9999999999923
2016.03.29,-981.9999999999993,,-981.9999999999993
2016.03.29,-1307.0000000000023,,-1307.0000000000023
2016.03.29,-1120.999999999995,,-1120.999999999995
2016.03.29,-1013.9999999999958,,-1013.9999999999958
2016.03.29,-1012.999999999991,,-1012.999999999991
2016.03.29,-1125.0,,-1125.0
2016.03.29,-1186.9999999999977,,-1186.9999999999977
2016.03.29,-1206.0000000000032,,-1206.0000000000032
2016.03.29,-1146.000000000001,,-1146.000000000001
2016.03.29,-1072.0000000000027,,-1072.0000000000027
2016.03.29,-1099.0000000000036,,-1099.0000000000036
2016.03.30,-1018.9999999999912,,-1018.9999999999912
2016.03.30,-1135.9999999999957,,-1135.9999999999957
2016.03.30,-1131.999999999991,,-1131.999999999991
2016.03.30,-1122.0,,-1122.0
2016.03.30,-1112.9999999999995,,-1112.9999999999995
2016.03.30,-1114.999999999995,,-1114.999999999995
2016.03.30,-1051.9999999999925,,-1051.9999999999925
2016.03.30,-986.9999999999948,,-986.9999999999948
2016.03.30,-1006.0000000000002,,-1006.0000000000002
2016.03.30,-1049.9999999999973,,-1049.9999999999973
2016.03.30,-992.0000000000044,,-992.0000000000044
2016.03.30,-917.9999999999922,,-917.9999999999922
2016.03.30,-878.0000000000001,,-878.0000000000001
2016.03.30,-841.9999999999987,,-841.9999999999987
2016.03.30,-878.9999999999907,,-878.9999999999907
2016.03.30,-906.9999999999965,,-906.9999999999965
2016.03.30,-813.0000000000024,,-813.0000000000024
