date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2016.09.05,24.999999999997247,62.000000000006494,24.999999999986144,-37.99999999998249,-8.000000000008,-51.000000000001044,120.99999999999334,143.00000000000068,-57.00000000000705,-68.00000000000139,-26.000000000003798,79.00000000000773,60.99999999999994,3.999999999981796,9.000000000000341,71.99999999998319,-205.00000000001074,23.000000000010346,38.0000000000047,-102.00000000000209,,106.99999999995536
2016.09.05,63.00000000000195,58.000000000002494,34.000000000000696,-7.0000000000014495,-26.999999999999247,-78.00000000000028,134.99999999999625,50.99999999998772,-138.00000000000477,-122.99999999999534,-32.0000000000098,-34.99999999999659,65.00000000000395,-63.000000000013046,-40.99999999999682,148.99999999999915,-242.00000000000887,55.00000000000682,68.99999999999685,-111.00000000000554,,-218.0000000000359
2016.09.05,53.00000000000304,-5.000000000010552,11.999999999989797,49.00000000001015,-18.0000000000069,-76.0000000000094,38.99999999998904,113.99999999999011,-97.00000000000264,-102.00000000000209,-109.00000000000354,-49.000000000006594,65.00000000000395,-68.00000000000139,3.0000000000001137,45.99999999999049,-161.99999999999548,67.00000000000728,97.00000000000264,-160.00000000000458,,-301.0000000000565
2016.09.05,60.99999999999994,0.0,0.0,58.000000000002494,-20.0000000000089,-161.00000000000003,49.99999999999449,94.99999999999886,-104.00000000000409,-190.99999999999673,-124.00000000000189,-52.99999999999727,59.000000000009045,-71.00000000002105,15.000000000000568,31.000000000003247,-329.00000000000153,61.99999999999761,102.00000000000209,-270.99999999999903,,-791.0000000000223
2016.09.05,55.000000000005045,1.0000000000065512,-9.000000000014552,70.99999999999883,45.99999999999049,-121.00000000000443,43.999999999999595,51.9999999999925,-94.00000000000519,-149.99999999999457,-129.00000000000134,-116.00000000001387,87.99999999999919,96.99999999999153,-30.000000000001137,-124.99999999999733,-222.99999999999542,24.00000000000091,29.999999999996696,-229.99999999999687,,-719.0000000000434
2016.09.05,48.99999999999905,11.00000000000545,-12.999999999996348,102.00000000000209,47.9999999999925,-123.00000000000644,48.000000000003595,-15.000000000000568,-69.00000000000794,-148.0000000000037,-126.0000000000039,-201.99999999999818,137.9999999999937,121.99999999999989,-106.00000000000875,-134.99999999999625,-212.99999999999653,-49.99999999999716,49.99999999999449,-256.0000000000007,,-888.0000000000256
2016.09.05,-24.000000000001798,120.99999999999334,-80.00000000001339,-79.99999999999119,-93.00000000000975,-264.0000000000087,55.000000000005045,-106.00000000000875,-121.00000000000443,-231.99999999999886,-108.00000000000809,-310.0000000000023,38.0000000000047,-61.00000000002215,-224.00000000000375,51.000000000001044,-414.00000000000324,-66.99999999999307,92.99999999999864,-304.00000000000426,,-2130.00000000007
2016.09.05,23.00000000000635,52.000000000007596,-9.999999999998899,-0.9999999999843467,-43.999999999999595,-212.00000000000108,49.99999999999449,-17.000000000010118,-111.00000000000554,-217.0000000000005,-99.00000000000463,-199.00000000001228,53.999999999998494,-42.0000000000087,-147.99999999999613,53.999999999998494,-412.9999999999967,-13.999999999995794,90.0000000000012,-300.0000000000003,,-1504.0000000000077
2016.09.05,29.000000000001247,69.9999999999923,-29.00000000001235,-28.999999999990145,-84.0000000000063,-251.00000000000122,76.0000000000094,-49.000000000006594,-131.00000000000333,-258.0000000000027,-104.00000000000409,-211.00000000001273,42.0000000000087,-136.00000000000279,-150.99999999999625,126.99999999998823,-473.0000000000123,-15.999999999991132,129.9999999999968,-331.0000000000035,,-1779.0000000000487
2016.09.05,70.99999999999883,87.99999999999919,-11.00000000000545,-12.999999999996348,-112.000000000001,-276.00000000000955,147.00000000000824,6.000000000000227,-158.99999999999804,-312.00000000000114,-80.00000000000229,-72.00000000000273,83.00000000001084,-153.00000000000313,-63.00000000000239,180.99999999998673,-539.0000000000006,51.00000000000193,165.00000000000404,-368.00000000000165,,-1366.0000000000143
