date,GBPUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2021.03.01,-72.99999999998974,7.999999999985796,-24.999999999997247,-17.000000000000348,-4.999999999988347,-251.00000000000477,-7.0000000000014495,-39.00000000000014,9.999999999998899,-137.00000000000045,-76.00000000002183,69.9999999999923,113.00000000000753,-69.99999999999318,-61.99999999999761,-61.99999999999761,-26.000000000003798,,-649.0000000000119
2021.03.01,-78.99999999998464,68.00000000000139,-102.00000000000209,-46.00000000000159,29.00000000001235,-266.00000000000534,44.99999999999504,-124.00000000000189,-58.99999999999794,-155.00000000000114,-85.00000000000796,137.00000000000932,63.000000000013046,-36.99999999999193,-167.0000000000016,-81.00000000000307,-204.99999999999963,,-1063.9999999999675
2021.03.01,-348.9999999999993,-219.99999999999798,-370.9999999999991,-301.0000000000068,-52.99999999999194,-385.0000000000051,-178.00000000000037,-341.0000000000024,-270.0000000000036,-504.99999999999545,-239.00000000000432,-53.999999999998494,-280.9999999999979,-274.9999999999915,-471.00000000000364,-373.9999999999952,-314.99999999999864,,-4981.999999999993
2021.03.01,-451.99999999998573,-289.0000000000059,-434.9999999999965,-358.0000000000028,-41.000000000002146,-355.000000000004,-179.00000000000693,-362.00000000000676,-282.99999999999994,-509.9999999999909,-184.00000000002592,-78.00000000000028,-351.99999999999676,-253.99999999999068,-478.00000000000864,-371.9999999999999,-341.99999999999784,,-5324.000000000022
2021.03.01,-541.9999999999981,-310.0000000000103,-409.0000000000038,-342.000000000009,-98.99999999998244,-275.0000000000057,-209.00000000000364,-362.00000000000676,-292.00000000000335,-543.9999999999827,-169.00000000001114,-60.99999999999994,-278.9999999999848,-233.99999999999466,-417.0000000000016,-328.00000000000296,-296.0000000000074,,-5168.000000000009
2021.03.01,-593.9999999999834,-313.00000000000773,-378.00000000000057,-383.0,-78.00000000000028,-337.99999999999386,-212.00000000000108,-331.999999999999,-326.0000000000041,-673.0000000000018,-213.00000000002228,-90.99999999999665,-379.99999999998033,-277.9999999999916,-423.0000000000018,-406.9999999999965,-252.0000000000078,,-5670.999999999989
2021.03.01,-613.9999999999812,-320.00000000000915,-526.9999999999997,-420.00000000000927,-112.000000000001,-424.99999999999716,-248.00000000000378,-500.00000000000045,-390.0000000000015,-873.9999999999952,-348.0000000000132,-127.99999999999478,-501.9999999999802,-385.9999999999957,-685.0000000000023,-542.9999999999922,-438.00000000000506,,-7459.999999999981
2021.03.01,-567.9999999999907,-240.00000000001796,-402.00000000000233,-393.00000000001,-102.00000000000209,-394.999999999996,-229.00000000000142,-409.99999999999926,-389.000000000006,-839.999999999975,-303.0000000000257,-97.9999999999981,-515.9999999999832,-339.9999999999892,-557.0000000000022,-521.0000000000008,-338.00000000000495,,-6641.000000000004
2021.03.01,-600.9999999999849,-209.9999999999991,-456.9999999999963,-439.0000000000005,-112.000000000001,-402.000000000001,-243.99999999999977,-487.99999999999955,-461.0000000000003,-942.9999999999836,-325.00000000001705,-113.00000000000753,-678.0000000000008,-360.99999999999,-655.0000000000011,-596.9999999999942,-430.00000000000813,,-7515.999999999985
2021.03.01,-604.9999999999889,-241.00000000000233,-465.9999999999998,-448.000000000004,-98.99999999998244,-408.00000000000125,-230.000000000008,-465.9999999999998,-443.0000000000045,-895.9999999999866,-314.0000000000214,-106.00000000000608,-649.999999999995,-352.99999999999443,-632.000000000005,-591.9999999999987,-413.0000000000078,,-7362.000000000007
2021.03.01,-591.9999999999925,-239.00000000001143,-490.00000000000153,-419.00000000000273,-60.99999999999994,-435.0000000000023,-200.00000000000017,-463.0000000000023,-389.000000000006,-847.9999999999848,-299.0000000000066,-93.00000000000975,-569.9999999999816,-334.0000000000032,-644.999999999996,-545.9999999999923,-452.00000000000796,,-7075.000000000003
2021.03.01,-578.9999999999961,-231.0000000000034,-448.9999999999994,-426.00000000000415,-71.99999999998319,-337.99999999999386,-216.0000000000051,-441.0000000000025,-411.0000000000058,-751.9999999999811,-199.00000000001228,-117.00000000001154,-618.9999999999918,-281.9999999999965,-554.000000000002,-507.000000000005,-404.99999999999983,,-6597.9999999999945
2021.03.01,-408.9999999999927,-169.00000000001913,-319.99999999999807,-304.9999999999997,-73.99999999999629,-290.00000000000625,-213.00000000000762,-358.0000000000028,-331.999999999999,-584.0000000000032,-151.00000000001046,-110.00000000001009,-420.9999999999825,-246.9999999999999,-421.99999999999704,-387.00000000000045,-287.9999999999994,,-5080.000000000025
2021.03.01,-390.9999999999858,-148.99999999999915,-329.999999999997,-317.0000000000006,-99.99999999998899,-206.00000000000307,-219.00000000000253,-384.00000000000654,-360.0000000000048,-491.9999999999902,-97.00000000000841,-76.99999999999375,-438.9999999999894,-194.00000000000261,-391.9999999999959,-361.99999999999477,-318.00000000000716,,-4826.999999999971
2021.03.01,-480.99999999999807,-209.00000000001472,-379.0000000000071,-358.0000000000028,-112.99999999998533,-216.99999999999875,-253.0000000000032,-430.00000000000813,-397.0000000000029,-600.9999999999991,-124.00000000002365,-130.99999999999224,-510.99999999999477,-240.99999999999966,-451.9999999999982,-411.00000000000136,-333.0000000000055,,-5641.000000000035
2021.03.01,-548.9999999999995,-265.0000000000041,-453.0000000000034,-398.00000000000944,-119.99999999998678,-266.9999999999959,-252.0000000000078,-465.9999999999998,-406.00000000000637,-671.999999999997,-185.00000000000227,-121.99999999999989,-520.9999999999936,-277.000000000001,-531.9999999999965,-454.9999999999983,-386.0000000000086,,-6326.000000000009
2021.03.01,-532.9999999999835,-259.0000000000092,-414.9999999999987,-389.000000000006,-121.99999999999989,-323.99999999999807,-245.0000000000063,-424.00000000000216,-390.99999999999693,-709.9999999999795,-246.00000000000932,-95.00000000000064,-481.99999999998244,-301.9999999999925,-519.999999999996,-474.00000000000375,-341.0000000000024,,-6271.999999999969
2021.03.01,-647.9999999999819,-320.00000000000915,-509.9999999999993,-472.00000000000574,-140.99999999999113,-320.0000000000074,-265.0000000000041,-499.000000000005,-453.99999999999886,-804.000000000002,-269.00000000000546,-117.00000000001154,-614.9999999999877,-328.00000000000296,-608.0000000000041,-548.0000000000018,-414.9999999999987,,-7333.000000000017
2021.03.01,-625.9999999999932,-456.00000000001194,-599.0000000000051,-545.0000000000066,-168.99999999999693,-320.99999999999795,-359.0000000000093,-592.9999999999991,-536.0000000000032,-814.9999999999977,-299.0000000000066,-285.00000000000193,-778.9999999999964,-438.99999999999295,-721.0000000000036,-641.9999999999959,-417.0000000000007,,-8601.000000000016
2021.03.01,-348.9999999999993,-321.0000000000157,-443.0000000000045,-396.00000000000745,-201.99999999999108,-177.99999999999727,-390.0000000000015,-560.0000000000049,-500.00000000000045,-566.9999999999789,-185.00000000000227,-296.9999999999917,-634.9999999999856,-372.99999999999045,-579.9999999999983,-507.000000000005,-329.00000000000153,,-6811.999999999976
2021.03.01,-192.99999999999872,-287.000000000015,-380.999999999998,-308.00000000000824,-117.99999999999588,-84.00000000000318,-417.0000000000007,-553.0000000000035,-465.9999999999998,-377.9999999999859,18.000000000000682,-479.99999999999153,-669.9999999999928,-338.99999999999864,-501.0000000000048,-400.99999999999625,-275.000000000003,,-5832.9999999999945
2021.03.01,-210.99999999998343,-304.9999999999997,-390.0000000000015,-279.00000000000705,-82.99999999998863,-179.00000000000205,-431.0000000000036,-558.9999999999984,-439.0000000000005,-515.9999999999911,-47.000000000025466,-553.0000000000035,-658.9999999999874,-420.0000000000017,-578.000000000003,-433.9999999999975,-273.000000000001,,-6355.999999999995
