date,GBPUSD,USDJPY,EURCHF,CHFJPY,EURGBP,EURJPY,AUDJPY,AUDCAD,AUDNZD,empty,sum
2016.06.13,-224.000000000002,-14.000000000010004,-103.99999999999298,-9.000000000000341,-204.99999999999963,-39.00000000000148,-78.99999999999352,-75.00000000000284,-147.00000000000824,,-896.0000000000111
2016.06.13,-238.0000000000049,-51.00000000000193,-125.99999999998168,-31.00000000000591,-234.00000000000088,-57.999999999992724,-137.99999999999102,-117.00000000000044,-104.99999999999955,,-1097.999999999979
2016.06.13,-407.0000000000018,-162.00000000000614,-99.99999999998899,-88.00000000000807,-331.0000000000035,-174.99999999999716,-203.00000000000296,-97.9999999999981,-52.000000000007596,,-1616.0000000000146
2016.06.13,-371.99999999999454,-111.0000000000042,-36.999999999998145,-1.0000000000047748,-298.9999999999937,-106.99999999999932,-100.99999999999909,-46.00000000000159,-32.0000000000098,,-1106.0000000000052
2016.06.13,-480.99999999999807,-206.00000000000307,-7.999999999985796,-132.000000000005,-361.0000000000002,-239.99999999999488,-158.00000000000125,-51.000000000001044,-78.00000000000028,,-1714.99999999999
2016.06.13,-975.9999999999991,-415.00000000000625,-4.999999999988347,-389.00000000001,-561.9999999999958,-615.9999999999997,-412.9999999999967,-107.00000000000153,-53.999999999998494,,-3536.999999999996
2016.06.13,-682.0000000000048,-324.0000000000123,23.00000000001745,-265.00000000000057,-408.9999999999927,-473.99999999998954,-298.0000000000018,-53.999999999998494,-59.000000000009045,,-2541.999999999992
2016.06.13,-418.9999999999916,-438.0000000000024,14.000000000002899,-332.9999999999984,-346.9999999999973,-512.999999999991,-450.00000000000284,-39.00000000000014,-65.00000000000395,,-2589.9999999999845
2016.06.13,-831.000000000004,-571.0000000000122,31.000000000003247,-548.0000000000018,-468.9999999999972,-786.9999999999919,-566.9999999999931,-34.99999999999615,14.000000000002899,,-3762.9999999999905
2016.06.13,-848.0000000000043,-718.0000000000035,29.00000000001235,-713.9999999999986,-483.99999999999557,-917.9999999999922,-609.9999999999994,58.000000000002494,92.00000000000318,,-4112.9999999999745
