date,GBPUSD,USDJPY,EURCHF,CHFJPY,EURGBP,EURJPY,AUDJPY,AUDCAD,AUDNZD,empty,sum
2016.06.13,-224.000000000002,4.9999999999954525,-37.99999999998249,6.999999999990791,-197.99999999999818,-34.99999999999659,-72.00000000000273,-58.99999999999794,-94.00000000001629,,-708.0000000000099
2016.06.13,-207.00000000000162,7.999999999995566,-25.999999999992696,-27.000000000001023,-151.9999999999966,-6.000000000000227,-70.99999999999795,-66.99999999999484,7.999999999985796,,-540.0000000000036
2016.06.13,-370.999999999988,-89.00000000001285,29.00000000001235,9.000000000000341,-307.99999999999716,-91.99999999999875,-126.99999999999534,-41.9999999999976,-7.0000000000014495,,-997.9999999999785
2016.06.13,-290.9999999999968,-68.00000000001205,19.00000000001345,45.000000000001705,-268.99999999999704,-79.9999999999983,-76.99999999999818,-26.999999999999247,2.999999999997449,,-744.9999999999889
2016.06.13,-475.0000000000032,-193.00000000001205,5.000000000010552,-118.00000000000921,-358.0000000000028,-232.99999999998988,-146.99999999999136,-36.0000000000027,-31.000000000003247,,-1586.0000000000036
2016.06.13,-673.9999999999968,-317.0000000000073,80.00000000001339,-262.00000000000045,-402.9999999999978,-476.99999999998965,-292.99999999999216,-43.999999999999595,21.00000000000435,,-2368.999999999966
2016.06.13,-348.9999999999993,-219.0000000000083,28.000000000005798,-103.9999999999992,-303.9999999999932,-236.99999999999477,-201.99999999999818,-14.000000000002899,-32.0000000000098,,-1433.0
2016.06.13,-388.9999999999949,-415.00000000000625,64.0000000000196,-305.0000000000068,-303.9999999999932,-489.9999999999949,-432.00000000000216,-34.99999999999615,17.000000000000348,,-2288.9999999999745
2016.06.13,-792.9999999999993,-489.0000000000043,57.00000000001815,-499.00000000000944,-448.9999999999994,-700.9999999999934,-442.99999999999784,97.00000000000264,97.9999999999981,,-3121.999999999985
2016.06.13,-723.9999999999914,-685.0000000000023,67.00000000001705,-634.0000000000003,-453.99999999999886,-851.9999999999897,-525.9999999999962,133.00000000000534,133.99999999998968,,-3540.9999999999663
