date,AUDUSD,CHFJPY,GBPJPY,EURJPY,CADJPY,empty,sum
2016.08.22,-124.99999999999733,-80.99999999998886,-110.99999999999,-66.0000000000025,-75.00000000000284,,-457.9999999999815
2016.08.22,-141.99999999999767,-128.0000000000001,-46.999999999997044,-79.9999999999983,-15.000000000000568,,-411.9999999999937
2016.08.22,-175.99999999999838,-161.99999999999193,-197.00000000000273,-259.9999999999909,-167.0000000000016,,-961.9999999999856
2016.08.22,-236.00000000000287,-203.99999999999352,-290.9999999999968,-311.9999999999976,-183.9999999999975,,-1226.9999999999884
2016.08.22,-263.99999999999756,-322.9999999999933,-357.99999999997567,-463.99999999999864,-259.00000000000034,,-1667.9999999999654
2016.08.22,-239.0000000000003,-213.99999999999864,-280.00000000000114,-375.0,-162.9999999999967,,-1270.9999999999968
2016.08.22,-94.00000000000519,-202.99999999998875,-180.99999999998317,-340.999999999994,-141.00000000000534,,-959.9999999999765
2016.08.22,2.000000000002,-228.9999999999992,-262.00000000000045,-391.9999999999959,-194.00000000000261,,-1074.9999999999964
2016.08.22,-82.00000000000429,-278.99999999999636,-332.9999999999984,-415.9999999999968,-233.0000000000041,,-1343.0
2016.08.22,-26.999999999999247,-245.9999999999951,-254.99999999999545,-393.0000000000007,-215.99999999999397,,-1136.9999999999845
2016.08.22,4.999999999999449,-143.99999999999125,-27.999999999991587,-250.99999999999056,-135.99999999999568,,-553.9999999999696
2016.08.22,46.999999999997044,-148.9999999999867,-99.99999999999432,-240.99999999999966,-147.00000000000557,,-589.9999999999892
2016.08.22,53.00000000000304,-157.99999999998704,-66.99999999997885,-257.99999999999557,-125.0,,-554.9999999999584
2016.08.22,63.99999999999739,-205.99999999998886,-97.99999999998477,-296.99999999999704,-126.00000000000477,,-662.9999999999781
2016.08.22,56.0000000000005,-199.99999999998863,-125.0,-299.99999999999716,-150.00000000000568,,-718.9999999999909
2016.08.22,51.99999999999649,-176.9999999999925,-90.99999999997976,-262.00000000000045,-132.99999999999557,,-610.9999999999718
2016.08.22,14.000000000002899,-208.99999999998897,-96.00000000000364,-275.99999999999625,-143.00000000000068,,-709.9999999999866
2016.08.22,32.999999999994145,-162.9999999999967,-16.999999999995907,-227.99999999999443,-108.99999999999466,,-483.99999999998755
2016.08.22,22.999999999995246,-171.99999999999704,-9.999999999990905,-233.99999999999466,-132.000000000005,,-524.9999999999924
2016.08.22,17.999999999995797,-207.9999999999984,-68.9999999999884,-283.00000000000125,-197.9999999999933,,-739.9999999999856
2016.08.22,-92.99999999999864,-257.99999999999557,-191.0000000000025,-375.0,-257.99999999999557,,-1174.9999999999923
2016.08.22,-161.00000000000003,-310.99999999999284,-18.999999999977035,-379.99999999999545,-180.99999999999739,,-1051.9999999999627
