date,AUDUSD,CHFJPY,GBPJPY,EURJPY,CADJPY,empty,sum
2016.08.22,-109.99999999999899,99.00000000000375,86.00000000001273,21.000000000000796,75.00000000000284,,171.00000000002115
2016.08.22,-102.00000000000209,39.00000000000148,44.00000000001114,-12.999999999991019,16.999999999995907,,-14.999999999984581
2016.08.22,-155.00000000000514,-94.99999999999886,-123.99999999999523,-231.99999999999932,-121.99999999999989,,-727.9999999999984
2016.08.22,-190.00000000000128,-151.9999999999868,-185.99999999997863,-262.999999999991,-129.0000000000049,,-919.9999999999626
2016.08.22,-183.99999999999528,-172.9999999999876,-268.0000000000007,-331.99999999999363,-153.0000000000058,,-1109.9999999999832
2016.08.22,-63.99999999999739,-170.99999999999227,-143.00000000000068,-308.9999999999975,-112.99999999999955,,-799.9999999999874
2016.08.22,70.0000000000034,-38.99999999998727,-19.99999999998181,-182.99999999999272,-57.999999999992724,,-229.99999999995111
2016.08.22,22.999999999995246,-191.99999999999307,-164.99999999999204,-337.99999999999386,-170.0000000000017,,-841.9999999999854
2016.08.22,16.0000000000049,-240.99999999999966,-246.99999999998568,-381.9999999999908,-209.99999999999375,,-1063.999999999965
2016.08.22,92.00000000000318,-119.99999999999034,-3.9999999999906777,-236.99999999999477,-109.99999999999943,,-378.99999999997203
2016.08.22,46.999999999997044,-95.99999999998943,15.00000000001478,-197.9999999999933,-102.00000000000387,,-333.99999999997476
2016.08.22,117.00000000000044,-93.99999999999409,8.000000000009777,-185.00000000000227,-103.9999999999992,,-257.99999999998533
2016.08.22,85.00000000000173,-131.00000000000023,-21.99999999999136,-218.00000000000352,-100.99999999999909,,-386.9999999999925
2016.08.22,138.00000000000477,-122.99999999999045,12.000000000000455,-203.00000000000296,-79.9999999999983,,-255.99999999998647
2016.08.22,68.00000000000139,-177.99999999999727,-93.99999999999409,-260.9999999999957,-126.00000000000477,,-590.9999999999905
2016.08.22,66.99999999999484,-116.99999999999022,5.000000000023874,-191.0000000000025,-79.9999999999983,,-315.9999999999723
2016.08.22,29.999999999996696,-140.99999999999113,-0.9999999999763531,-198.99999999999807,-84.00000000000318,,-394.99999999997203
2016.08.22,124.99999999999733,-140.00000000000057,80.0000000000125,-203.00000000000296,-72.99999999999329,,-210.99999999998698
2016.08.22,124.00000000000189,-89.9999999999892,112.00000000002319,-146.99999999999136,-78.00000000000296,,-78.99999999995845
2016.08.22,53.999999999998494,-164.99999999999204,31.00000000000591,-231.99999999999932,-174.99999999999716,,-486.9999999999841
2016.08.22,-92.99999999999864,-216.99999999999875,25.000000000005684,-307.9999999999927,-146.0000000000008,,-738.9999999999852
2016.08.22,-100.99999999999554,-222.99999999999898,343.00000000001774,-228.9999999999992,-91.99999999999875,,-301.99999999997476
2016.08.22,-92.99999999999864,-235.99999999999,326.9999999999982,-179.00000000000205,-109.99999999999943,,-290.9999999999919
2016.08.22,-141.99999999999767,-131.00000000000023,586.0000000000127,-146.99999999999136,-69.99999999999318,,96.0000000000303
2016.08.22,-104.99999999999955,-190.9999999999883,368.9999999999998,-268.99999999999125,-173.00000000000182,,-368.9999999999811
2016.08.22,-112.99999999999643,-170.99999999999227,427.99999999999727,-188.99999999999295,-135.00000000000512,,-179.99999999998948
2016.08.22,-73.99999999999629,-246.9999999999999,224.00000000001796,-272.99999999999613,-263.00000000000523,,-632.9999999999795
2016.08.22,-65.00000000000395,-362.99999999999955,76.00000000002183,-356.9999999999993,-340.0000000000034,,-1048.9999999999845
2016.08.22,-122.99999999999534,-266.9999999999959,314.0000000000214,-263.9999999999958,-271.0000000000008,,-610.9999999999665
2016.08.22,-134.0000000000008,-307.9999999999927,250.0,-262.00000000000045,-243.99999999999977,,-697.9999999999937
2016.08.22,-224.000000000002,-369.99999999999034,295.0000000000159,-331.99999999999363,-325.00000000000284,,-955.9999999999728
2016.08.22,-211.00000000000563,-430.9999999999974,-60.99999999997863,-491.9999999999902,-459.99999999999375,,-1654.9999999999654
2016.08.22,-278.00000000000045,-370.9999999999951,-54.000000000002046,-426.9999999999925,-439.9999999999977,,-1569.9999999999877
2016.08.22,-185.99999999999727,-301.9999999999925,92.00000000001296,-307.9999999999927,-397.00000000000557,,-1100.999999999975
2016.08.22,-161.99999999999548,-346.9999999999942,108.00000000000409,-322.9999999999933,-352.00000000000387,,-1075.9999999999827
2016.08.22,-343.00000000000443,-401.9999999999868,362.0000000000232,-289.0000000000015,-492.999999999995,,-1164.9999999999645
2016.08.22,-260.00000000000466,-467.9999999999893,207.9999999999984,-439.9999999999977,-730.9999999999945,,-1690.9999999999877
2016.08.22,-282.99999999999994,-564.9999999999977,169.00000000001114,-501.99999999999534,-662.9999999999967,,-1843.9999999999786
2016.08.22,-319.99999999999807,-416.9999999999874,354.0000000000134,-385.9999999999957,-590.999999999994,,-1359.9999999999618
2016.08.22,-273.000000000001,-385.9999999999957,243.99999999999977,-353.9999999999992,-634.0000000000003,,-1402.9999999999964
2016.08.22,-243.00000000000432,-432.9999999999927,206.00000000001728,-418.99999999999693,-736.0000000000042,,-1624.999999999981
2016.08.22,-251.00000000000122,-426.9999999999925,259.00000000001455,-369.99999999999034,-695.999999999998,,-1484.9999999999675
2016.08.22,-243.00000000000432,-443.9999999999884,189.00000000002137,-411.00000000000136,-742.999999999995,,-1651.9999999999677
2016.08.22,-302.9999999999977,-421.99999999999704,216.00000000000819,-366.9999999999902,-700.0000000000028,,-1575.9999999999795
