date,USDCAD,AUDUSD,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,EURJPY,EURAUD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.01.14,-107.00000000001265,-18.0000000000069,-170.0000000000017,-104.99999999999955,-19.999999999997797,-37.99999999998249,-92.00000000000318,-88.00000000000807,-5.999999999994898,-46.00000000000159,-25.999999999992696,-68.00000000000139,,-784.000000000003
2019.01.14,-107.00000000001265,-7.0000000000014495,-196.00000000001216,-36.999999999998145,32.999999999994145,16.000000000019554,-171.99999999999437,39.99999999999204,160.99999999998892,-39.00000000000014,-5.999999999994898,-5.999999999994898,,-320.000000000014
2019.01.14,-161.00000000001114,-8.000000000008,-192.00000000000728,-39.999999999995595,19.999999999997797,-13.00000000000523,-279.99999999999136,-61.00000000000705,200.00000000000017,-71.00000000000995,-73.00000000000084,-69.9999999999923,,-749.0000000000308
2019.01.14,-172.0000000000166,18.999999999991246,-111.0000000000042,-27.999999999994696,56.99999999999594,-85.99999999998431,-282.0000000000045,-61.00000000000705,253.99999999999866,-38.0000000000047,-80.99999999999774,-65.00000000000395,,-594.000000000032
2019.01.14,-170.00000000000347,6.999999999990347,-141.00000000000534,-32.999999999994145,44.99999999999504,-92.99999999998931,-165.9999999999995,-37.00000000000614,219.99999999999798,-60.99999999999994,-73.99999999999629,-35.00000000000725,,-538.0000000000181
2019.01.14,-142.0000000000199,-30.000000000007798,-109.99999999999943,-10.999999999994348,14.000000000002899,-84.00000000000318,-150.00000000000568,-32.00000000001069,187.00000000000384,-80.00000000000229,-73.00000000000084,-7.0000000000014495,,-518.0000000000389
2019.01.14,-141.00000000001333,-71.00000000000995,-111.0000000000042,-13.999999999991797,-17.000000000000348,-132.000000000005,-136.00000000000279,-34.000000000006025,136.99999999998712,-107.00000000000153,-96.99999999999153,-11.999999999989797,,-735.0000000000293
2019.01.14,-81.00000000001995,-83.00000000001084,-103.00000000000864,-52.99999999999194,-24.999999999997247,-334.0000000000032,-147.00000000000824,-181.0000000000116,134.99999999999625,-104.00000000000409,-104.99999999999955,-18.0000000000069,,-1099.000000000066
2019.01.14,-98.0000000000203,-25.00000000000835,-16.000000000005343,-69.9999999999923,90.0000000000012,-329.9999999999841,-144.0000000000108,-156.0000000000059,354.9999999999942,-42.0000000000087,-81.9999999999932,-52.000000000007596,,-570.0000000000413
2019.01.14,-206.00000000001728,16.999999999989246,10.99999999999568,-90.0000000000012,139.00000000000023,-421.99999999999704,-140.99999999999113,-224.00000000000375,441.99999999998687,-10.000000000010001,-86.99999999999264,-100.99999999999554,,-672.0000000000366
2019.01.14,-328.00000000001717,151.9999999999966,53.999999999987836,-175.99999999999838,234.00000000000088,-620.0000000000045,-320.00000000000915,-365.0000000000091,610.9999999999837,92.99999999999864,-7.9999999999968985,-150.00000000000568,,-823.0000000000732
2019.01.14,-326.0000000000041,215.99999999999397,143.99999999999125,-157.99999999999147,292.9999999999988,-609.9999999999852,-263.99999999999756,-366.00000000001387,780.9999999999873,115.99999999999389,29.000000000001247,-110.00000000001009,,-255.00000000003587
