date,EURUSD,USDJPY,CHFJPY,NZDCHF,GBPJPY,EURAUD,NZDJPY,AUDCAD,empty,sum
2018.10.08,-31.000000000003247,30.000000000001137,-17.000000000010118,95.00000000000064,38.000000000010914,30.999999999981043,24.00000000000091,16.0000000000049,,185.99999999998616
2018.10.08,-9.999999999998899,28.000000000005798,-148.00000000001035,13.999999999991797,-13.00000000000523,-74.0000000000185,12.999999999991019,-24.000000000001798,,-214.00000000004616
2018.10.08,-48.000000000003595,102.99999999999443,-58.000000000006935,73.00000000000084,8.000000000009777,-102.00000000000209,-10.000000000005116,21.999999999999797,,-12.000000000012893
2018.10.08,-42.0000000000087,73.0000000000075,-100.00000000000853,34.000000000000696,-4.9999999999954525,-120.00000000000898,-29.000000000010573,16.0000000000049,,-173.00000000001916
2018.10.08,-18.999999999991246,58.9999999999975,-146.0000000000008,-46.00000000000159,-10.99999999999568,-185.99999999999727,-94.99999999999886,-39.00000000000014,,-482.99999999998806
2018.10.08,-31.000000000003247,73.99999999999807,-141.00000000000534,-6.0000000000060005,3.0000000000143245,-97.9999999999981,-51.00000000000193,19.999999999997797,,-230.00000000000443
2018.10.08,-42.999999999993044,-25.99999999999625,-221.00000000000364,-48.000000000003595,-121.00000000000932,-184.00000000000637,-50.00000000001137,-2.999999999997449,,-696.0000000000211
2018.10.08,2.999999999997449,-49.99999999999716,-243.0000000000092,-104.99999999999955,-84.00000000000318,-157.00000000000713,-100.00000000000853,-3.999999999992898,,-740.0000000000202
2018.10.08,18.0000000000069,-134.00000000000034,-277.000000000001,-41.000000000002146,-203.00000000000296,13.999999999980695,-3.0000000000001137,75.9999999999983,,-550.0000000000207
2018.10.08,7.0000000000014495,-58.9999999999975,-195.99999999999795,5.999999999994898,-98.99999999998954,5.999999999994898,-3.0000000000001137,89.00000000000574,,-248.99999999998812
2018.10.08,62.99999999999084,-49.99999999999716,-186.00000000000705,-26.000000000003798,-14.999999999986358,-55.000000000005045,-46.00000000000648,63.00000000000195,,-252.00000000001313
2018.10.08,51.000000000001044,-61.99999999999761,-203.00000000000296,-34.000000000000696,-85.99999999998431,-107.00000000001265,-45.000000000001705,52.000000000007596,,-433.99999999999125
2018.10.08,69.00000000000794,-81.99999999999363,-287.9999999999967,-4.999999999999449,-76.99999999999818,73.99999999999629,42.999999999992156,157.00000000000713,,-108.9999999999844
2018.10.08,85.00000000000173,-87.0000000000033,-304.00000000000205,13.999999999991797,-36.000000000001364,122.99999999998423,71.99999999998852,230.000000000008,,96.99999999996754
2018.10.08,75.00000000000284,-75.00000000000284,-302.99999999999727,26.999999999999247,-9.999999999990905,176.99999999998272,83.99999999998897,260.00000000000466,,234.99999999998744
2018.10.08,95.00000000000064,-72.99999999999329,-287.9999999999967,35.999999999991594,13.00000000000523,158.99999999999804,87.99999999999386,236.99999999999832,,266.99999999999767
2018.10.08,110.00000000001009,-40.99999999999682,-222.99999999999898,71.99999999999429,51.9999999999925,180.99999999998673,85.99999999999852,239.0000000000003,,475.99999999998664
2018.10.08,103.00000000000864,-13.00000000000523,-219.0000000000083,71.99999999999429,81.00000000001728,226.99999999999943,82.99999999999841,294.00000000000534,,628.0000000000099
2018.10.08,148.99999999999915,-28.999999999996362,-255.00000000000966,39.00000000000014,263.00000000000523,281.99999999998226,72.99999999999329,297.9999999999983,,819.9999999999724
2018.10.08,228.00000000000597,-9.000000000000341,-204.9999999999983,15.999999999993797,375.0,219.99999999999798,10.99999999999568,291.0000000000079,,927.0000000000027
2018.10.08,202.9999999999976,-12.000000000000455,-231.00000000000875,9.999999999998899,478.00000000000864,224.99999999998633,21.000000000000796,314.0000000000032,,1007.9999999999862
2018.10.08,304.9999999999997,39.00000000000148,-149.0000000000009,-19.00000000000235,688.0000000000166,176.99999999998272,-64.00000000000716,214.00000000000307,,1190.9999999999932
2018.10.08,356.00000000000074,179.00000000000205,9.999999999990905,19.999999999997797,947.0000000000027,249.99999999999466,-121.00000000000932,280.00000000000244,,1920.9999999999818
2018.10.08,469.99999999999267,501.0000000000048,366.9999999999902,110.99999999999443,1361.0000000000184,570.9999999999882,-246.00000000000932,383.0,,3517.99999999998
2018.10.08,395.000000000012,468.9999999999941,322.9999999999933,131.99999999999878,1247.000000000014,558.9999999999984,-191.0000000000025,429.0000000000016,,3363.00000000001
2018.10.08,465.0000000000043,436.9999999999976,346.00000000000364,170.99999999999892,1204.0000000000077,662.9999999999914,-163.0000000000109,474.00000000000773,,3597.0
2018.10.08,449.9999999999948,442.0000000000073,420.0000000000017,229.99999999999687,1243.9999999999998,642.9999999999936,-146.0000000000008,470.00000000000375,,3752.9999999999964
2018.10.08,480.99999999999807,432.00000000000216,408.00000000000125,219.99999999999798,1555.0000000000068,811.9999999999905,-150.00000000000568,480.99999999999807,,4238.999999999989
2018.10.08,435.0000000000076,421.0000000000065,387.00000000000045,224.9999999999974,1492.999999999995,804.9999999999891,-131.00000000000023,534.0000000000011,,4168.999999999997
2018.10.08,431.0000000000036,412.9999999999967,373.9999999999952,244.99999999999523,1414.0000000000157,954.9999999999948,-100.99999999999909,548.9999999999995,,4280.000000000002
2018.10.08,451.0000000000014,415.00000000000625,381.9999999999908,179.99999999999127,1407.0000000000107,756.9999999999854,-175.00000000001137,484.00000000000665,,3900.999999999982
2018.10.08,573.0000000000013,402.000000000001,489.9999999999949,217.99999999999596,1325.9999999999934,866.9999999999956,-201.00000000000762,399.0000000000049,,4073.999999999979
