date,GBPCHF,EURCHF,empty,sum
2019.08.05,-17.000000000000348,-55.000000000005045,,-72.0000000000054
2019.08.05,136.00000000000279,-117.00000000001154,,18.999999999991246
2019.08.05,119.00000000000244,-142.0000000000199,,-23.00000000001745
2019.08.05,166.99999999998383,-142.0000000000199,,24.999999999963933
2019.08.05,146.99999999998602,-152.0000000000188,,-5.00000000003277
2019.08.05,178.99999999999582,-137.00000000000932,,41.9999999999865
2019.08.05,24.000000000001798,-212.00000000001216,,-188.00000000001037
2019.08.05,-2.0000000000131024,-236.00000000001398,,-238.0000000000271
2019.08.05,42.999999999993044,-296.0000000000074,,-253.00000000001435
2019.08.05,-110.00000000001009,-350.00000000000585,,-460.0000000000159
2019.08.05,-248.00000000000378,-355.0000000000164,,-603.0000000000202
2019.08.05,-258.0000000000027,-369.0000000000193,,-627.000000000022
2019.08.05,-280.0000000000136,-360.0000000000048,,-640.0000000000184
2019.08.05,-255.00000000000523,-345.0000000000175,,-600.0000000000227
2019.08.05,-242.00000000000887,-344.00000000001097,,-586.0000000000198
2019.08.05,-219.00000000001364,-332.00000000002115,,-551.0000000000348
2019.08.05,-304.9999999999997,-324.0000000000132,,-629.000000000013
2019.08.05,-432.0000000000102,-325.0000000000197,,-757.0000000000299
2019.08.05,-634.0000000000013,-381.0000000000091,,-1015.0000000000103
2019.08.05,-638.0000000000052,-435.0000000000076,,-1073.0000000000127
2019.08.05,-685.0000000000023,-430.00000000001927,,-1115.0000000000216
2019.08.05,-814.0000000000036,-458.00000000000284,,-1272.0000000000064
2019.08.05,-944.0000000000115,-521.0000000000159,,-1465.0000000000273
2019.08.05,-960.0000000000053,-563.0000000000024,,-1523.0000000000077
2019.08.05,-899.0000000000053,-629.0000000000128,,-1528.0000000000182
2019.08.05,-911.0000000000174,-624.0000000000023,,-1535.0000000000196
2019.08.05,-964.0000000000093,-572.0000000000169,,-1536.0000000000264
2019.08.05,-938.0000000000166,-567.0000000000064,,-1505.000000000023
2019.08.05,-807.0000000000022,-470.00000000001484,,-1277.000000000017
2019.08.05,-697.9999999999986,-362.00000000001785,,-1060.0000000000164
2019.08.05,-717.000000000012,-390.0000000000015,,-1107.0000000000136
2019.08.05,-650.0000000000173,-349.0000000000215,,-999.0000000000388
2019.08.05,-670.9999999999993,-342.00000000002007,,-1013.0000000000193
2019.08.05,-635.0000000000077,-314.00000000001427,,-949.000000000022
2019.08.05,-699.0000000000052,-254.00000000002086,,-953.0000000000261
