date,GBPCHF,EURCHF,empty,sum
2019.08.05,211.99999999998997,-27.00000000002145,,184.9999999999685
2019.08.05,195.9999999999962,-91.00000000001884,,104.99999999997735
2019.08.05,207.00000000000162,-125.00000000001954,,81.99999999998208
2019.08.05,171.99999999999437,-139.00000000000023,,32.999999999994145
2019.08.05,207.99999999998596,-131.00000000001444,,76.99999999997152
2019.08.05,200.99999999998454,-116.00000000000499,,84.99999999997955
2019.08.05,34.99999999998504,-196.0000000000184,,-161.00000000003334
2019.08.05,236.99999999999832,-164.00000000000858,,72.99999999998974
2019.08.05,85.00000000000173,-282.0000000000045,,-197.00000000000276
2019.08.05,-19.00000000001345,-260.0000000000158,,-279.0000000000293
2019.08.05,-219.00000000001364,-311.0000000000168,,-530.0000000000305
2019.08.05,-246.00000000001288,-359.0000000000204,,-605.0000000000333
2019.08.05,-175.00000000001404,-342.00000000002007,,-517.0000000000341
2019.08.05,-242.00000000000887,-316.0000000000052,,-558.0000000000141
2019.08.05,-187.00000000000384,-323.0000000000066,,-510.00000000001046
2019.08.05,-168.0000000000126,-292.00000000000335,,-460.0000000000159
2019.08.05,-280.9999999999979,-319.0000000000026,,-600.0000000000005
2019.08.05,-419.0000000000138,-322.00000000000006,,-741.0000000000139
2019.08.05,-574.0000000000078,-375.0000000000142,,-949.000000000022
2019.08.05,-572.0000000000169,-404.0000000000044,,-976.0000000000214
2019.08.05,-633.0000000000168,-368.00000000001273,,-1001.0000000000296
2019.08.05,-743.0000000000048,-395.000000000012,,-1138.0000000000168
2019.08.05,-944.0000000000115,-520.0000000000093,,-1464.000000000021
2019.08.05,-836.9999999999989,-557.0000000000075,,-1394.0000000000064
2019.08.05,-629.9999999999973,-545.0000000000177,,-1175.000000000015
2019.08.05,-849.0000000000109,-550.000000000006,,-1399.0000000000168
2019.08.05,-914.0000000000148,-526.0000000000042,,-1440.000000000019
2019.08.05,-631.0000000000038,-411.0000000000058,,-1042.0000000000095
2019.08.05,-667.0000000000176,-362.00000000001785,,-1029.0000000000355
2019.08.05,-653.999999999999,-313.00000000000773,,-967.0000000000067
2019.08.05,-626.0000000000155,-330.0000000000081,,-956.0000000000235
2019.08.05,-557.0000000000075,-294.0000000000165,,-851.000000000024
2019.08.05,-550.000000000006,-304.00000000001535,,-854.0000000000214
2019.08.05,-522.0000000000002,-215.00000000000963,,-737.0000000000099
2019.08.05,-693.0000000000102,-252.0000000000078,,-945.000000000018
2019.08.05,-948.9999999999999,-343.00000000000443,,-1292.0000000000043
2019.08.05,-897.0000000000144,-304.9999999999997,,-1202.000000000014
2019.08.05,-934.9999999999969,-419.0000000000138,,-1354.0000000000107
2019.08.05,-947.000000000009,-328.00000000001717,,-1275.0000000000261
2019.08.05,-1036.0000000000148,-292.00000000000335,,-1328.0000000000182
2019.08.05,-945.0000000000181,-202.00000000001327,,-1147.0000000000314
2019.08.05,-907.0000000000133,-173.00000000000094,,-1080.0000000000143
2019.08.05,-960.0000000000053,-192.00000000001438,,-1152.0000000000198
2019.08.05,-958.9999999999987,-189.00000000001694,,-1148.0000000000157
2019.08.05,-924.9999999999981,-202.00000000001327,,-1127.0000000000114
2019.08.05,-922.0000000000006,-208.00000000000819,,-1130.0000000000086
2019.08.05,-957.0000000000078,-235.00000000000742,,-1192.0000000000152
2019.08.05,-978.9999999999966,-213.00000000001873,,-1192.0000000000152
2019.08.06,-1060.0000000000164,-256.00000000001177,,-1316.0000000000282
2019.08.06,-1107.0000000000136,-292.00000000000335,,-1399.000000000017
2019.08.06,-1120.0000000000098,-205.00000000001074,,-1325.0000000000205
2019.08.06,-1070.0000000000155,-203.00000000001984,,-1273.0000000000352
2019.08.06,-1114.9999999999993,-124.00000000001299,,-1239.0000000000123
2019.08.06,-1194.0000000000061,-152.0000000000188,,-1346.000000000025
2019.08.06,-1153.000000000004,-134.00000000001188,,-1287.000000000016
2019.08.06,-1144.0000000000116,-95.00000000000064,,-1239.0000000000123
2019.08.06,-1029.0000000000132,-2.0000000000131024,,-1031.0000000000264
2019.08.06,-1046.0000000000136,-79.00000000000685,,-1125.0000000000205
