date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,AUDCHF,EURGBP,GBPJPY,EURJPY,CADJPY,AUDCAD,empty,sum
2019.07.29,-3.999999999992898,-64.99999999998174,-25.00000000000835,0.0,-21.00000000000435,-12.999999999996348,-51.000000000001044,-23.999999999990695,-129.99999999999545,-19.99999999999602,0.0,-51.99999999999649,,-404.9999999999634
2019.07.29,36.0000000000027,-81.9999999999821,-25.999999999992696,13.00000000000523,-58.99999999999794,3.0000000000196536,-104.99999999999955,-8.999999999992347,-144.9999999999818,24.999999999991473,37.9999999999967,-110.99999999999443,,-421.9999999999251
2019.07.29,48.99999999999905,-83.9999999999952,-63.99999999999739,3.0000000000001137,-78.00000000000028,42.0000000000087,-114.99999999999844,-35.999999999991594,-141.9999999999959,96.9999999999942,58.9999999999975,-124.00000000000189,,-392.9999999999811
2019.07.29,70.99999999999883,-63.99999999999739,-69.00000000000794,13.00000000000523,-65.99999999999939,75.00000000000284,-95.99999999999609,-48.99999999999905,-106.99999999999932,103.9999999999992,66.0000000000025,-117.00000000000044,,-238.99999999999102
2019.07.29,70.0000000000034,-63.99999999999739,-72.0000000000054,4.0000000000048885,-71.99999999999429,59.000000000009045,-93.99999999999409,-57.99999999999139,-96.99999999997999,87.99999999999386,55.999999999997385,-124.00000000000189,,-303.99999999995583
2019.07.29,69.00000000000794,-49.99999999999449,-66.99999999999484,-30.000000000001137,-53.00000000000304,56.000000000011596,-82.00000000000429,-54.999999999993946,-44.999999999987494,45.99999999999227,28.000000000005798,-104.00000000000409,,-286.9999999999657
2019.07.29,30.000000000007798,-36.999999999998145,-100.99999999999554,-94.99999999999886,-53.00000000000304,15.00000000000945,-56.99999999999594,-78.00000000000028,-31.999999999982265,15.999999999991132,-9.999999999990905,-92.00000000000318,,-493.9999999999598
2019.07.29,-14.999999999998348,-49.99999999999449,-120.99999999999334,-177.99999999999727,-63.99999999999739,-49.99999999999449,-48.000000000003595,-105.99999999999498,72.00000000000273,-70.00000000000739,-61.99999999999761,-90.0000000000012,,-781.9999999999775
2019.07.29,-76.99999999999375,-61.99999999998429,-133.99999999998968,-200.9999999999934,-93.99999999999409,-105.99999999998388,-26.999999999999247,-103.99999999999298,126.00000000000477,-67.00000000000728,-54.000000000002046,-97.00000000000264,,-896.9999999999384
2019.07.29,-58.99999999999794,-51.99999999998539,-133.99999999998968,-174.0000000000066,-117.99999999999588,-79.99999999999119,-51.99999999999649,-93.99999999999409,139.00000000001,-42.00000000000159,-24.00000000000091,-117.99999999999588,,-807.9999999999455
2019.07.29,-44.99999999999504,-40.99999999997994,-106.99999999999044,-147.00000000000557,-102.99999999999754,-157.99999999999147,-48.000000000003595,-145.9999999999906,141.00000000001955,-64.99999999999773,-33.999999999991815,-117.99999999999588,,-870.9999999999201
2019.07.29,-17.999999999995797,22.0000000000109,-78.00000000000028,-146.0000000000008,-51.99999999999649,-105.99999999998388,-16.0000000000049,-112.000000000001,183.00000000002115,-67.00000000000728,-45.000000000001705,-78.00000000000028,,-512.9999999999604
2019.07.29,3.0000000000085514,32.0000000000098,-69.00000000000794,-114.00000000000432,-43.999999999999595,-85.00000000000173,-24.000000000001798,-110.99999999999443,149.0000000000009,-31.999999999996476,-24.00000000000091,-75.9999999999983,,-394.99999999998624
2019.07.29,21.999999999999797,37.00000000002035,-53.999999999998494,-79.9999999999983,-9.00000000000345,-103.99999999999298,-12.999999999996348,-131.99999999999878,138.00000000000523,-19.99999999999602,-6.000000000000227,-46.00000000000159,,-266.9999999999608
2019.07.29,43.00000000000415,64.0000000000196,-36.999999999998145,-69.00000000000261,-31.000000000003247,-105.99999999998388,-60.00000000000449,-139.99999999999568,118.00000000002342,-18.000000000000682,6.000000000000227,-75.00000000000284,,-304.9999999999442
2019.07.29,70.0000000000034,83.00000000001084,-26.999999999999247,-55.00000000000682,-31.999999999998696,-76.99999999999375,-63.00000000000195,-117.99999999999588,127.00000000000955,-16.000000000005343,-9.999999999990905,-92.99999999999864,,-210.99999999996743
