date,USDCHF,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,AUDCHF,GBPCAD,EURCAD,EURNZD,CADJPY,AUDJPY,empty,sum
2021.07.05,0.0,-34.000000000000696,-48.00000000000182,-19.00000000000235,0.0,0.0,-182.99999999999983,-2.999999999997449,-63.99999999999739,0.0,-297.9999999999983,-182.00000000000216,-19.99999999999602,,-850.9999999999959
2021.07.05,51.000000000001044,26.999999999999247,-87.0000000000033,51.99999999999649,24.999999999997247,103.00000000000864,-96.99999999999153,195.9999999999962,483.0000000000112,297.9999999999983,-293.0000000000099,-195.0000000000074,121.99999999999989,,684.9999999999962
2021.07.05,53.00000000000304,69.00000000000794,-140.00000000000057,69.9999999999923,65.99999999999939,134.00000000001188,-103.00000000000864,184.00000000000637,512.0000000000014,344.00000000001097,-287.9999999999994,-268.0000000000007,183.9999999999975,,817.0000000000216
2021.07.05,123.00000000000644,7.0000000000014495,-201.00000000000762,20.999999999993246,59.99999999999339,205.99999999999508,-114.99999999999844,258.0000000000027,652.0000000000082,400.00000000000034,-304.9999999999997,-295.0000000000017,212.0000000000033,,1022.9999999999966
2021.07.05,134.0000000000008,1.0000000000065512,-212.0000000000033,26.999999999999247,56.99999999999594,246.99999999999721,-106.99999999999044,262.00000000000665,661.0000000000005,384.00000000000654,-313.99999999999204,-314.00000000000716,237.99999999999955,,1064.00000000002
2021.07.05,156.00000000000057,-17.999999999984695,-210.99999999999852,3.999999999992898,40.99999999999105,260.0000000000158,-109.00000000000354,253.99999999999866,689.0000000000063,398.00000000000944,-344.99999999999534,-296.0000000000065,207.00000000000784,,1030.0000000000337
2021.07.05,173.00000000000094,-39.999999999995595,-239.00000000000432,-40.00000000000669,2.999999999997449,253.99999999999866,-139.00000000000023,233.00000000000543,720.0000000000095,409.99999999999926,-411.0000000000058,-269.00000000000546,170.0000000000017,,824.999999999995
2021.07.05,182.99999999999983,-14.999999999987246,-243.99999999999977,-52.000000000007596,8.999999999992347,195.00000000001182,-146.00000000000168,217.0000000000005,724.9999999999978,527.0000000000108,-459.99999999999375,-257.000000000005,141.9999999999959,,824.000000000014
2021.07.05,153.00000000000313,-38.99999999998904,-210.99999999999852,-81.00000000000884,-10.000000000010001,209.9999999999991,-140.0000000000068,195.9999999999962,705.0000000000001,497.99999999999847,-425.0000000000087,-231.99999999999932,108.00000000000409,,731.99999999998
2021.07.05,156.00000000000057,9.000000000014552,-165.00000000000625,-33.000000000005244,28.999999999990145,205.99999999999508,-134.99999999999625,219.99999999999798,710.999999999995,499.000000000005,-438.00000000000506,-210.99999999999852,126.00000000000477,,973.9999999999917
2021.07.05,170.99999999999892,-41.99999999998649,-150.99999999999625,-44.0000000000107,-22.0000000000109,256.99999999999613,-141.99999999999767,236.99999999999832,746.0000000000023,490.999999999997,-472.9999999999901,-188.0000000000024,123.00000000000466,,963.0000000000027
2021.07.05,228.00000000000597,-56.99999999999594,-182.00000000000216,-42.0000000000087,-25.00000000000835,295.0000000000008,-148.99999999999915,256.0000000000007,798.0000000000098,503.99999999999335,-461.0000000000003,-174.0000000000066,129.99999999999545,,1120.999999999985
2021.07.05,199.00000000000472,-38.99999999998904,-147.99999999999613,5.999999999994898,9.999999999998899,273.0000000000121,-147.00000000000824,297.00000000000284,787.0000000000043,503.99999999999335,-419.9999999999982,-170.0000000000017,173.00000000000182,,1325.0000000000196
2021.07.05,211.00000000000563,-46.999999999997044,-177.99999999999727,-59.000000000009045,-50.0000000000056,270.99999999999903,-146.00000000000168,248.00000000000378,811.0000000000061,529.0000000000017,-506.9999999999908,-171.00000000000648,123.00000000000466,,1035.0000000000127
2021.07.05,236.99999999999832,-60.99999999999994,-197.00000000000273,-83.00000000001084,-60.00000000000449,278.00000000000045,-147.99999999999258,233.00000000000543,817.000000000001,534.9999999999966,-506.0000000000064,-160.0000000000108,111.99999999999477,,996.999999999969
2021.07.05,219.99999999999798,-41.99999999998649,-197.00000000000273,-36.0000000000027,-30.000000000007798,282.0000000000045,-160.00000000000458,270.99999999999903,805.9999999999956,544.9999999999955,-473.99999999999665,-184.0000000000117,158.00000000000125,,1158.9999999999811
