date,USDCHF,EURUSD,USDJPY,NZDUSD,GBPCHF,AUDCHF,GBPJPY,GBPCAD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDCAD,empty,sum
2021.07.05,128.00000000000588,29.999999999996696,-19.000000000005457,50.99999999998994,170.00000000000347,241.99999999999778,45.99999999999227,548.9999999999995,323.0000000000066,-144.0000000000108,-133.00000000000978,159.00000000000603,-212.99999999999653,,1188.9999999999757
2021.07.05,117.00000000000044,102.00000000000209,-84.00000000000318,110.99999999999443,200.00000000000017,231.0000000000034,173.00000000000182,527.9999999999951,350.00000000000585,-133.00000000000534,-193.00000000001205,165.99999999999682,-129.00000000000134,,1438.9999999999784
2021.07.05,123.00000000000644,70.0000000000145,-137.00000000000045,107.99999999999699,236.00000000001398,273.000000000001,305.0000000000068,679.0000000000074,442.00000000000904,-279.99999999999136,-267.0000000000101,239.99999999999488,-293.99999999999426,,1498.0000000000553
2021.07.05,156.00000000000057,9.999999999998899,-201.00000000000762,66.99999999999484,268.0000000000016,260.00000000000466,373.9999999999952,710.999999999995,415.0000000000098,-296.9999999999917,-291.000000000011,236.99999999999477,-264.999999999993,,1443.9999999999918
2021.07.05,162.0000000000066,8.000000000008,-195.99999999999795,87.99999999999919,282.0000000000045,285.00000000000193,367.999999999995,714.999999999999,409.99999999999926,-256.99999999999613,-287.00000000000614,257.000000000005,-290.00000000000136,,1545.0000000000168
2021.07.05,175.99999999999838,-17.000000000000348,-194.00000000000261,50.99999999998994,300.99999999999574,258.9999999999981,364.0000000000043,737.9999999999942,409.99999999999926,-302.0000000000023,-270.00000000001023,212.0000000000033,-266.999999999995,,1460.9999999999727
2021.07.05,189.00000000000583,15.00000000000945,-219.0000000000083,43.999999999999595,256.00000000001177,241.00000000000233,326.9999999999982,780.000000000003,540.9999999999915,-364.9999999999931,-234.00000000000887,201.00000000000762,-312.00000000000114,,1464.0000000000175
2021.07.05,209.00000000000364,-2.999999999997449,-195.0000000000074,32.999999999994145,261.0000000000001,248.00000000000378,270.00000000001023,775.9999999999989,547.999999999993,-371.99999999999454,-195.0000000000074,174.0000000000066,-312.9999999999966,,1441.0000000000073
2021.07.05,158.0000000000026,35.00000000000725,-159.9999999999966,68.99999999999685,209.9999999999991,251.00000000000122,240.0000000000091,714.999999999999,520.9999999999936,-326.0000000000041,-212.0000000000033,192.00000000000728,-309.0000000000037,,1384.0000000000086
2021.07.05,172.00000000000549,28.000000000005798,-109.99999999999943,43.999999999999595,263.99999999999756,260.00000000000466,216.00000000000819,757.0000000000076,506.0000000000064,-388.0000000000106,-177.0000000000067,156.0000000000059,-278.9999999999959,,1449.0000000000286
2021.07.05,233.00000000000543,-36.999999999998145,-147.99999999999613,-9.00000000000345,319.0000000000026,262.00000000000665,231.99999999999932,841.0000000000028,526.0000000000042,-425.0000000000087,-146.0000000000008,132.99999999999557,-273.000000000001,,1508.0000000000082
2021.07.05,243.00000000000432,-38.99999999998904,-144.00000000000546,13.999999999991797,317.9999999999961,304.00000000000426,207.9999999999984,812.999999999997,519.0000000000028,-361.0000000000113,-143.00000000000068,173.00000000000182,-300.99999999999574,,1603.9999999999945
2021.07.05,214.00000000000307,-10.999999999983245,-140.00000000000057,25.999999999992696,293.0000000000099,307.0000000000017,222.0000000000084,815.9999999999945,540.9999999999915,-381.99999999999346,-152.00000000000102,195.99999999999795,-307.0000000000017,,1623.0000000000196
2021.07.05,246.00000000000176,-45.99999999999049,-173.00000000000182,-40.00000000000669,297.9999999999983,255.00000000000523,224.00000000001796,836.9999999999989,557.9999999999918,-479.99999999999153,-140.00000000000057,129.0000000000049,-263.0000000000021,,1405.0000000000257
2021.07.05,241.99999999999778,-39.999999999995595,-185.00000000000227,-30.000000000007798,293.0000000000099,273.9999999999965,240.0000000000091,831.000000000004,554.9999999999944,-462.9999999999912,-154.00000000001057,162.00000000000614,-270.0000000000036,,1455.0000000000066
2021.07.05,221.99999999999997,-4.999999999988347,-191.0000000000025,-10.000000000010001,294.0000000000165,280.9999999999979,278.99999999999636,819.9999999999985,560.0000000000049,-465.0000000000043,-181.0000000000116,195.0000000000074,-270.99999999999903,,1528.0000000000055
2021.07.05,187.00000000000384,15.00000000000945,-158.00000000000125,3.999999999992898,239.99999999999577,270.99999999999903,225.9999999999991,802.9999999999982,578.9999999999961,-466.9999999999952,-159.00000000000603,191.0000000000025,-285.00000000000193,,1446.9999999999923
2021.07.05,234.00000000000088,-43.999999999999595,-192.00000000000728,-45.000000000006146,280.0000000000136,248.00000000000378,242.00000000001864,822.0000000000116,554.9999999999944,-502.00000000000244,-158.00000000000125,146.0000000000008,-251.99999999999667,,1334.0000000000307
2021.07.05,236.00000000000287,-10.999999999983245,-141.9999999999959,15.999999999993797,411.0000000000058,304.00000000000426,329.00000000000773,950.0000000000064,554.9999999999944,-401.99999999999125,-144.00000000000546,174.0000000000066,-300.0000000000003,,1976.0000000000462
2021.07.05,207.99999999999707,58.000000000002494,-22.999999999996135,79.99999999999119,462.0000000000068,351.0000000000013,276.00000000001046,1069.0000000000089,636.9999999999986,-351.99999999999676,-48.00000000000182,170.0000000000017,-381.99999999999346,,2506.00000000003
2021.07.05,316.0000000000052,-28.999999999990145,-93.00000000000352,24.999999999997247,487.99999999999955,383.0,223.0000000000132,1034.0000000000016,641.0000000000027,-350.00000000000585,-36.000000000001364,158.00000000000125,-378.00000000000057,,2382.000000000019
