date,USDCHF,USDJPY,USDCAD,AUDUSD,CADCHF,EURJPY,AUDJPY,empty,sum
2020.11.09,-12.000000000000899,-63.00000000000239,0.0,-50.0000000000056,-31.000000000003247,-79.00000000000773,-81.99999999999363,,-317.00000000001353
2020.11.09,117.00000000000044,-114.00000000000432,5.999999999994898,-34.000000000000696,89.00000000000574,-100.00000000000853,-18.000000000000682,,-54.000000000013145
2020.11.09,111.00000000000554,-77.00000000001239,-184.00000000000637,-147.00000000000824,135.00000000000733,-63.00000000000239,-143.00000000000068,,-368.0000000000172
2020.11.09,134.0000000000008,-61.00000000000705,-184.00000000000637,-146.00000000000168,258.0000000000027,9.000000000000341,-168.00000000000637,,-158.00000000001768
2020.11.09,145.00000000000622,-58.000000000006935,-175.00000000001404,-138.00000000000477,277.000000000005,-48.00000000000182,-126.00000000000477,,-123.00000000002112
2020.11.09,190.00000000000128,-32.00000000001069,-172.0000000000166,-72.0000000000054,309.0000000000037,-27.000000000001023,-69.99999999999318,,125.99999999997809
2020.11.09,170.99999999999892,-22.00000000000557,-307.00000000001285,-121.00000000000443,328.0000000000061,24.999999999991473,-129.99999999999545,,-56.00000000002183
2020.11.09,192.00000000000327,-13.00000000000523,-259.0000000000092,-111.00000000000554,341.99999999999784,21.000000000000796,-135.99999999999568,,35.999999999986244
2020.11.09,187.9999999999993,0.0,-259.0000000000092,-106.00000000000608,341.99999999999784,58.9999999999975,-147.99999999999613,,75.9999999999832
2020.11.09,192.99999999999872,26.999999999986812,-279.00000000000705,-127.00000000001043,358.0000000000028,97.99999999999898,-209.99999999999375,,59.99999999997607
2020.11.09,204.99999999999963,53.999999999987836,-276.00000000000955,-132.0000000000099,380.999999999998,113.99999999999011,-210.99999999999852,,134.99999999995765
2020.11.09,189.00000000000583,62.99999999998818,-309.0000000000037,-146.00000000000168,387.99999999999943,114.99999999999488,-215.0000000000034,,84.99999999997954
2020.11.09,172.00000000000549,37.9999999999967,-313.00000000000773,-216.0000000000051,375.9999999999986,113.99999999999011,-305.9999999999974,,-135.00000000001933
2020.11.09,161.00000000000003,85.99999999999852,-311.0000000000168,-231.0000000000034,373.99999999999653,175.99999999998772,-349.9999999999943,,-95.00000000003178
2020.11.09,157.00000000000713,128.99999999999068,-302.0000000000023,-258.0000000000027,353.99999999999875,200.9999999999934,-418.99999999999693,,-138.00000000001188
2020.11.09,160.00000000000458,159.9999999999966,-312.00000000000114,-246.00000000000176,361.0000000000002,236.99999999999477,-432.00000000000216,,-72.00000000000892
2020.11.09,143.00000000000423,183.9999999999975,-309.0000000000037,-250.00000000000577,331.999999999999,238.9999999999901,-430.9999999999974,,-92.00000000001603
2020.11.09,124.99999999999733,205.99999999998886,-240.00000000001796,-178.00000000000037,304.00000000000426,262.999999999991,-381.0000000000002,,98.99999999996294
2020.11.09,75.9999999999983,175.99999999998772,-317.0000000000117,-251.00000000000122,294.00000000000534,269.999999999996,-408.00000000000125,,-160.00000000002683
2020.11.09,117.00000000000044,191.99999999999307,-304.9999999999997,-162.0000000000066,321.0000000000046,207.9999999999984,-325.9999999999934,,44.99999999999682
2020.11.09,90.0000000000012,153.99999999999636,-341.00000000001353,-221.00000000000452,306.00000000000625,199.99999999998863,-373.9999999999952,,-186.0000000000208
2020.11.09,118.00000000000699,186.9999999999976,-243.00000000001543,-129.00000000000134,295.0000000000008,123.99999999999523,-289.0000000000015,,62.99999999998238
2020.11.09,135.00000000000733,227.99999999999443,-294.0000000000165,-157.00000000000713,323.0000000000066,147.99999999999613,-370.00000000000455,,12.999999999976353
2020.11.09,133.00000000000534,303.99999999998784,-297.9999999999983,-143.9999999999997,323.0000000000066,329.9999999999983,-409.000000000006,,238.9999999999941
2020.11.09,230.000000000008,364.9999999999949,-221.00000000000452,-28.000000000005798,353.99999999999875,301.9999999999925,-319.0000000000026,,682.9999999999811
2020.11.09,202.9999999999976,364.9999999999949,-259.0000000000092,-63.00000000000195,353.99999999999875,298.9999999999924,-353.9999999999992,,544.9999999999733
2020.11.09,169.00000000000804,349.9999999999943,-295.0000000000008,-82.00000000000429,360.0000000000048,295.99999999999227,-362.99999999999955,,434.99999999999477
2020.11.09,214.00000000000307,433.9999999999975,-726.0000000000044,-550.000000000006,390.0000000000015,312.9999999999882,-1159.9999999999966,,-1085.0000000000168
2020.11.09,333.0000000000055,836.9999999999891,-707.0000000000132,-448.000000000004,541.0000000000026,994.9999999999903,-1259.0000000000005,,291.99999999997
2020.11.09,392.00000000000347,1074.9999999999886,-787.0000000000043,-638.0000000000052,731.0000000000039,1309.9999999999882,-1876.0000000000048,,206.99999999996976
2020.11.09,606.0000000000065,1509.999999999991,-1014.0000000000038,-650.0000000000061,1001.0000000000074,1743.9999999999998,-1900.9999999999964,,1295.9999999999982
2020.11.09,858.0000000000032,1497.0,-1011.0000000000064,-558.000000000003,1223.0000000000075,1878.9999999999907,-1769.999999999996,,2117.999999999996
2020.11.09,783.0000000000003,1439.9999999999977,-1099.0000000000055,-650.0000000000061,1229.9999999999977,1941.9999999999932,-1822.0000000000027,,1823.9999999999745
2020.11.09,813.0000000000082,1538.9999999999873,-1046.0000000000136,-623.0000000000069,1231.0000000000043,2125.0,-1867.0000000000045,,2171.9999999999745
2020.11.09,1038.0000000000057,1890.0000000000005,-938.0000000000166,-442.00000000000904,1331.0000000000043,2000.0,-1858.000000000004,,3020.9999999999814
2020.11.09,1318.000000000008,1969.9999999999989,-836.0000000000146,-341.0000000000024,1461.0000000000011,1718.999999999994,-1855.000000000004,,3435.9999999999814
