date,GBPUSD,EURUSD,USDCAD,AUDUSD,GBPCHF,EURGBP,EURNZD,empty,sum
2015.02.02,72.0000000000054,59.000000000009045,-65.00000000000395,-95.00000000000064,-304.9999999999997,1.0000000000065512,229.99999999999687,,-102.99999999998647
2015.02.02,48.000000000003595,8.000000000008,-150.00000000000568,-111.00000000000554,-672.9999999999902,-34.000000000000696,-49.00000000001015,,-961.0000000000007
2015.02.02,141.99999999999767,42.0000000000087,-169.00000000001913,-197.00000000000273,-1024.0000000000027,-71.99999999999429,176.99999999998272,,-1101.0000000000298
2015.02.02,104.00000000001519,47.00000000001925,-102.00000000000209,-251.00000000000122,-998.00000000001,-46.999999999997044,261.0000000000001,,-985.9999999999758
2015.02.02,154.0000000000097,34.000000000000696,-12.000000000012001,-282.0000000000045,-1065.0000000000048,-85.99999999999719,310.9999999999946,,-946.0000000000136
2015.02.02,185.00000000001293,37.00000000002035,7.999999999985796,-280.9999999999979,-1052.9999999999927,-95.99999999999609,261.0000000000001,,-938.9999999999676
2015.02.02,165.00000000001512,18.0000000000069,116.99999999998934,-273.000000000001,-702.0000000000026,-100.99999999999554,249.99999999999466,,-525.9999999999932
2015.02.02,163.00000000000205,-31.999999999987594,275.9999999999874,-338.00000000000495,-463.9999999999977,-132.99999999999423,310.9999999999946,,-217.0000000000005
2015.02.02,171.00000000001003,-32.999999999994145,287.9999999999994,-156.00000000000057,-510.99999999999477,-139.99999999999568,40.99999999997994,,-339.99999999999585
2015.02.02,126.0000000000039,-59.99999999999339,339.0000000000004,-282.99999999999994,-323.99999999999096,-130.99999999999224,98.99999999998244,,-233.99999999998983
2015.02.02,161.99999999999548,42.0000000000087,384.9999999999909,-148.0000000000037,-465.0000000000043,-84.99999999999064,240.9999999999801,,131.99999999997658
2015.02.02,137.00000000000932,18.0000000000069,345.99999999997965,-189.00000000000583,-374.999999999992,-85.99999999999719,271.99999999998334,,122.99999999998428
2015.02.02,134.99999999999625,5.000000000010552,380.9999999999869,-139.00000000000023,-365.99999999999966,-95.99999999999609,249.99999999999466,,169.99999999999244
2015.02.02,163.00000000000205,35.00000000000725,367.99999999999056,-131.99999999999878,-482.00000000000466,-90.99999999999665,230.9999999999812,,91.99999999998104
2015.02.02,158.99999999999804,15.00000000000945,359.99999999998255,-302.0000000000023,-344.99999999999534,-100.00000000000009,290.9999999999968,,77.99999999998911
2015.02.02,173.00000000000094,37.00000000002035,374.999999999992,-269.00000000000813,-289.9999999999903,-90.99999999999665,310.9999999999946,,246.00000000001285
2015.02.02,181.00000000000892,144.0000000000108,413.99999999998107,-280.9999999999979,-341.99999999999784,-25.999999999992696,296.9999999999917,,387.0000000000041
2015.02.02,207.00000000000162,43.999999999999595,414.9999999999876,-370.9999999999991,-156.00000000000057,-104.99999999999955,202.9999999999976,,236.99999999998727
