date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.01.25,-73.99999999999629,9.999999999998899,-22.999999999995246,36.000000000001364,51.99999999999649,20.999999999993246,-161.99999999999548,-12.999999999996348,-240.99999999999966,4.999999999999449,-22.999999999995246,29.999999999996696,63.99999999999739,72.00000000000273,-316.99999999998954,-165.9999999999995,4.0000000000048885,211.00000000000563,68.00000000000139,121.00000000001555,-1.0000000000047748,-130.0000000000079,-124.99999999999733,-24.999999999986144,,-605.9999999999499
2021.01.25,-129.9999999999968,-34.000000000000696,-38.99999999998904,36.000000000001364,73.99999999999629,17.999999999995797,-194.0000000000053,-62.99999999999084,-165.99999999999682,-34.99999999999615,-46.00000000000159,-85.00000000000173,62.99999999999084,20.000000000010232,-200.99999999998454,-173.00000000000094,1.9999999999953388,164.00000000000858,153.00000000000313,200.00000000000017,4.9999999999954525,-50.0000000000056,-68.99999999999685,-8.999999999992347,,-558.9999999999619
2021.01.25,-119.99999999999788,58.99999999998684,-53.999999999998494,28.999999999996362,-21.999999999999797,-60.99999999999994,-255.00000000000523,-38.0000000000047,-228.9999999999992,-80.99999999999774,-129.00000000000134,-148.99999999999915,23.999999999990695,116.99999999999022,-309.0000000000037,-97.9999999999981,-4.9999999999954525,144.99999999999514,-31.000000000003247,-2.999999999997449,-79.00000000000773,-184.00000000000637,-190.00000000000128,-28.000000000005798,,-1691.0000000000632
2021.01.25,-137.9999999999937,57.99999999998029,-35.999999999991594,15.999999999991132,24.999999999997247,-51.000000000001044,-286.99999999999284,-78.99999999998464,-192.00000000000728,-80.00000000000229,-97.00000000000264,-153.00000000000313,35.999999999991594,93.99999999999409,-349.99999999998363,-218.00000000000708,-4.9999999999954525,207.00000000000162,90.99999999999665,43.999999999999595,-57.00000000000216,-144.0000000000108,-195.00000000000074,22.0000000000109,,-1489.0000000000161
2021.01.25,-127.99999999999478,72.99999999998974,9.000000000014552,0.0,-70.0000000000034,-156.00000000000057,-293.0000000000099,-105.99999999998388,-189.99999999999773,-117.99999999999588,-175.00000000000293,-239.0000000000003,55.99999999998939,92.00000000001296,-270.99999999999903,-26.999999999999247,19.99999999999602,174.00000000000747,-45.000000000006146,-129.99999999998568,-153.0000000000058,-209.00000000000364,-264.999999999993,34.000000000000696,,-2116.999999999971
2021.01.25,-113.99999999999189,53.999999999998494,-25.999999999992696,36.99999999999193,-52.000000000007596,-177.00000000000495,-259.0000000000092,-58.99999999998684,-254.0000000000049,-122.99999999999534,-148.99999999999915,-245.0000000000063,43.999999999999595,122.99999999999045,-211.99999999998997,-43.999999999999595,30.000000000001137,93.00000000000975,-55.000000000005045,-224.99999999998633,-204.00000000000773,-166.00000000001057,-275.99999999999847,86.0000000000083,,-2172.9999999999973
2021.01.25,-176.99999999999383,51.000000000001044,-65.99999999998829,80.99999999998886,-9.999999999998899,-153.00000000000313,-334.00000000001205,-96.99999999999153,-222.99999999999898,-138.00000000000477,-161.99999999999548,-269.00000000000813,19.999999999997797,176.9999999999925,-286.99999999999284,-131.99999999999878,40.99999999999682,116.99999999998934,-21.00000000000435,-231.0000000000034,-211.00000000001273,-157.00000000000713,-290.9999999999968,120.00000000000898,,-2352.000000000036
2021.01.25,-164.99999999999292,24.999999999986144,-61.99999999998429,63.99999999999295,-3.0000000000085514,-150.00000000000568,-297.9999999999983,-85.99999999998609,-218.9999999999941,-129.9999999999968,-139.99999999999568,-261.0000000000001,37.99999999999359,128.99999999999068,-252.99999999999213,-120.00000000000898,25.000000000005684,123.00000000000644,5.999999999994898,-217.99999999998488,-198.0000000000075,-144.0000000000108,-288.9999999999948,129.00000000000134,,-2196.99999999999
2021.01.25,-147.99999999999258,107.99999999999699,-22.999999999995246,9.000000000000341,-87.00000000000374,-247.00000000000833,-343.00000000000443,-104.99999999999955,-177.0000000000067,-163.99999999999747,-207.99999999999707,-334.00000000000097,18.999999999991246,135.99999999999568,-232.99999999999432,-19.999999999997797,0.0,69.9999999999923,-123.99999999999079,-390.9999999999858,-258.0000000000098,-190.00000000000128,-345.99999999999073,153.00000000000313,,-2902.9999999999973
2021.01.25,-127.99999999999478,190.00000000000128,-1.999999999990898,1.9999999999953388,-156.00000000000057,-293.0000000000099,-397.0000000000029,-95.999999999985,-195.99999999999795,-190.00000000000128,-253.0000000000032,-362.00000000000676,-26.000000000003798,217.9999999999893,-246.99999999999721,20.999999999982144,13.00000000000523,4.999999999988347,-235.00000000000742,-468.00000000000176,-301.00000000000193,-221.99999999999997,-353.99999999999875,129.00000000000134,,-3348.0000000000414
