date,USDCHF,USDJPY,GBPCHF,EURGBP,EURCAD,AUDJPY,empty,sum
2021.01.04,-1.0000000000065512,-48.00000000000182,-373.00000000000114,-74.99999999999174,-148.00000000001478,-141.9999999999959,,-787.0000000000119
2021.01.04,26.999999999999247,16.000000000005343,-339.0000000000004,-68.99999999999685,-164.00000000000858,-87.99999999999386,,-616.999999999995
2021.01.04,93.99999999999409,78.00000000000296,-456.9999999999963,-76.99999999999375,-175.99999999999838,-253.0000000000001,,-790.9999999999915
2021.01.04,74.99999999999174,106.00000000000875,-497.99999999999847,-75.9999999999983,-290.9999999999968,-307.00000000000216,,-990.9999999999952
2021.01.04,95.00000000000064,-12.999999999991019,-503.99999999999335,-71.99999999999429,-282.0000000000045,-242.999999999995,,-1018.9999999999775
2021.01.04,143.9999999999997,-123.99999999999523,-529.999999999986,-91.99999999999208,-276.00000000000955,33.00000000000125,,-844.9999999999819
2021.01.04,112.000000000001,-75.9999999999934,-605.9999999999955,-100.99999999999554,-229.00000000001253,-79.9999999999983,,-979.9999999999942
2021.01.04,120.99999999999334,-72.99999999999329,-635.9999999999922,-110.99999999999443,-110.00000000001009,-161.00000000000136,,-969.9999999999981
2021.01.04,112.99999999999643,-113.99999999999011,-614.0000000000034,-82.99999999999974,-121.99999999999989,-198.99999999999807,,-1018.9999999999948
2021.01.04,104.99999999999955,-153.99999999999636,-652.9999999999925,-117.00000000000044,-72.0000000000054,-132.99999999999557,,-1023.9999999999908
2021.01.04,125.99999999999278,-150.99999999999625,-680.9999999999983,-124.99999999999733,-25.00000000000835,-116.99999999999022,,-972.9999999999976
2021.01.04,136.99999999999824,-186.9999999999976,-722.0000000000005,-143.9999999999997,-4.000000000004,-107.99999999998988,,-1027.9999999999932
2021.01.04,149.99999999999457,-183.9999999999975,-736.9999999999877,-148.99999999999915,4.000000000004,-67.99999999999784,,-983.9999999999836
2021.01.04,190.00000000000128,-128.99999999999068,-651.0000000000016,-86.99999999999264,18.999999999991246,-36.99999999999193,,-694.9999999999843
2021.01.04,183.99999999999528,-137.00000000000045,-614.0000000000034,-73.00000000000084,-15.00000000000945,31.00000000000591,,-624.000000000013
2021.01.04,114.99999999999844,-125.99999999999056,-580.999999999987,-59.99999999999339,-119.00000000000244,-30.9999999999917,,-801.9999999999667
2021.01.04,136.99999999999824,-118.99999999999977,-602.999999999998,-70.99999999999883,-102.00000000000209,-75.9999999999934,,-833.9999999999939
2021.01.04,80.99999999999774,-140.99999999999113,-566.9999999999842,-56.0000000000005,-60.000000000015596,-99.99999999999432,,-842.999999999988
2021.01.04,51.000000000001044,-183.9999999999975,-639.9999999999961,-80.99999999999774,-90.00000000001229,-167.0000000000016,,-1111.000000000004
2021.01.04,8.999999999992347,-268.99999999999125,-598.999999999994,-63.00000000000195,-134.99999999999625,-185.99999999999284,,-1242.999999999984
2021.01.04,-168.00000000000148,-292.0000000000016,-519.9999999999872,-17.999999999995797,-246.99999999999721,-146.0000000000008,,-1390.999999999984
2021.01.04,-209.00000000000364,-353.9999999999992,-208.99999999999253,104.00000000000409,-341.00000000001353,-158.99999999999181,,-1167.9999999999966
2021.01.04,-306.00000000000625,-387.00000000000045,-215.99999999999397,91.00000000000774,-334.00000000001205,-165.99999999999682,,-1318.0000000000018
2021.01.04,-319.0000000000026,-408.9999999999918,34.000000000000696,270.0000000000036,-270.00000000001467,-131.9999999999908,,-825.9999999999956
2021.01.04,-282.0000000000045,-406.9999999999965,-89.99999999999008,226.00000000000398,-204.00000000000418,-138.9999999999958,,-895.999999999987
2021.01.04,-297.9999999999983,-371.9999999999999,-122.99999999998423,164.00000000000858,-253.99999999999866,-147.99999999999613,,-1030.9999999999686
2021.01.04,-314.99999999999864,-332.9999999999984,-180.99999999998673,143.9999999999997,-313.00000000000773,-165.99999999999682,,-1163.9999999999886
2021.01.04,-334.00000000000097,-299.99999999999716,-11.999999999989797,275.99999999999847,-385.00000000001313,-122.99999999999045,,-877.9999999999931
2021.01.04,-319.99999999999807,-271.99999999999136,70.99999999999883,335.0000000000075,-472.00000000000574,-86.99999999998909,,-744.999999999978
2021.01.04,-368.00000000000165,-260.9999999999957,184.00000000000637,382.00000000000455,-607.0000000000019,-85.99999999999852,,-755.9999999999868
2021.01.04,-372.0000000000057,-222.99999999999898,300.00000000001137,491.0000000000081,-673.9999999999968,-118.99999999999977,,-596.9999999999818
2021.01.04,-340.00000000000693,-182.00000000000216,449.9999999999948,560.0000000000049,-609.0000000000151,-164.99999999999204,,-286.00000000001654
2021.01.04,-338.00000000000495,-120.99999999999511,443.99999999999994,622.0000000000003,-662.000000000007,-183.9999999999975,,-239.00000000000432
2021.01.04,-328.0000000000061,-120.99999999999511,390.0000000000015,638.0000000000052,-758.0000000000142,-141.9999999999959,,-321.00000000000466
2021.01.04,-163.99999999999747,-88.99999999999864,514.9999999999987,724.0000000000024,-676.0000000000099,-54.000000000002046,,255.99999999999307
2021.01.04,-277.000000000005,-0.999999999990564,669.0000000000085,735.0000000000078,-761.999999999996,44.00000000001114,,408.00000000003604
2021.01.04,-300.0000000000003,-15.000000000000568,679.0000000000074,665.0000000000044,-943.000000000005,126.00000000000477,,212.0000000000107
2021.01.04,-209.9999999999991,-18.999999999991246,695.0000000000011,670.9999999999993,-1012.9999999999973,156.0000000000059,,280.00000000001864
2021.01.04,-135.00000000000733,5.000000000009663,893.0000000000105,821.000000000005,-1174.0000000000084,340.0000000000034,,750.0000000000127
