date,GBPUSD,USDCAD,AUDUSD,NZDUSD,AUDCHF,GBPJPY,GBPAUD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.03.15,-72.99999999998974,-34.000000000000696,-54.999999999993946,-88.99999999999464,-72.0000000000054,-169.00000000001114,-114.0000000000141,-103.9999999999992,-85.00000000000796,-85.99999999999852,,-881.0000000000153
2021.03.15,-82.00000000000429,12.999999999996348,-17.999999999995797,-68.00000000000139,-73.99999999999629,-215.0000000000034,84.99999999997954,-102.00000000000387,-79.00000000000773,-96.9999999999942,,-637.000000000031
2021.03.15,-144.99999999999514,-25.999999999992696,-75.9999999999983,-136.00000000000279,-119.00000000000244,-358.0000000000041,17.999999999984695,-164.99999999999204,-155.00000000000114,-179.9999999999926,,-1341.9999999999968
2021.03.15,-129.00000000000134,-58.000000000002494,-75.9999999999983,-124.00000000000189,-122.99999999999534,-352.00000000000387,24.999999999986144,-191.99999999999307,-183.00000000000693,-188.0000000000024,,-1400.000000000019
2021.03.15,-202.9999999999976,-113.99999999999189,-119.00000000000244,-195.00000000000074,-121.00000000000443,-350.9999999999991,18.999999999991246,-192.99999999999784,-183.9999999999975,-219.99999999999886,,-1680.999999999999
2021.03.15,-248.99999999998812,-144.99999999999514,-158.99999999999804,-231.0000000000034,-136.99999999999824,-333.00000000002683,-9.000000000014552,-191.0000000000025,-195.99999999999795,-253.0000000000001,,-1903.000000000025
2021.03.15,-326.9999999999884,-194.0000000000053,-197.00000000000273,-412.9999999999967,-112.000000000001,-362.0000000000232,-10.000000000021103,-192.99999999999784,-200.00000000000284,-388.9999999999958,,-2397.000000000035
2021.03.15,-330.9999999999924,-194.0000000000053,-200.99999999999562,-419.00000000000273,-102.99999999999754,-332.00000000002206,5.999999999994898,-182.00000000000216,-161.00000000000136,-371.9999999999999,,-2289.000000000024
2021.03.15,-245.99999999999068,-147.99999999999258,-82.99999999999974,-375.9999999999986,-72.0000000000054,-375.0,123.99999999999079,-225.9999999999991,-154.00000000001057,-427.99999999999727,,-1984.0000000000032
2021.03.15,-113.99999999999189,-41.99999999998649,26.999999999999247,-290.9999999999968,-17.000000000000348,-362.0000000000232,237.99999999998266,-219.99999999999886,-85.99999999999852,-388.9999999999958,,-1256.00000000001
