date,USDCHF,EURCHF,CADCHF,EURJPY,empty,sum
2020.07.06,-95.00000000000064,-53.999999999998494,-97.00000000000264,-162.00000000000614,,-408.00000000000796
2020.07.06,-98.99999999999353,-53.999999999998494,-80.00000000000229,-180.00000000000682,,-413.00000000000114
2020.07.06,-98.99999999999353,-76.99999999999375,-119.00000000000244,-225.9999999999991,,-520.9999999999889
2020.07.06,-95.00000000000064,-73.99999999999629,-136.00000000000279,-210.99999999999852,,-515.9999999999982
2020.07.06,-98.99999999999353,-87.00000000001484,-141.00000000000225,-256.0000000000002,,-583.0000000000108
2020.07.06,-74.99999999999174,-78.00000000000028,-132.0000000000099,-290.00000000000625,,-575.0000000000082
2020.07.06,-71.99999999999429,-110.00000000001009,-126.0000000000039,-480.000000000004,,-788.0000000000123
2020.07.06,-8.999999999992347,-136.00000000000279,-69.00000000000794,-564.0000000000072,,-778.0000000000102
2020.07.06,-14.999999999998348,-147.00000000000824,-90.0000000000012,-581.0000000000031,,-833.0000000000109
2020.07.06,-2.000000000002,-205.99999999999508,-99.00000000000463,-696.0000000000122,,-1003.0000000000139
2020.07.06,0.0,-209.9999999999991,-100.00000000000009,-739.0000000000043,,-1049.0000000000036
2020.07.06,16.0000000000049,-226.99999999999943,-60.00000000000449,-731.0000000000088,,-1002.0000000000077
2020.07.06,75.00000000000284,-197.00000000000273,-50.0000000000056,-728.9999999999992,,-901.0000000000047
2020.07.06,89.00000000000574,-221.00000000000452,-49.00000000001015,-820.0000000000074,,-1001.0000000000164
2020.07.06,85.00000000000173,-238.0000000000049,-75.00000000000284,-805.0000000000068,,-1033.0000000000127
2020.07.06,87.99999999999919,-241.00000000000233,-74.00000000000739,-828.000000000003,,-1055.0000000000134
2020.07.06,118.00000000000699,-258.0000000000027,-75.00000000000284,-855.000000000004,,-1070.0000000000025
2020.07.06,97.9999999999981,-263.99999999999756,-96.00000000000719,-881.0000000000002,,-1143.0000000000068
2020.07.06,114.00000000000298,-270.99999999999903,-105.00000000001064,-885.0000000000051,,-1147.0000000000118
2020.07.06,97.00000000000264,-303.0000000000088,-108.00000000000809,-914.0000000000015,,-1228.0000000000157
2020.07.06,126.0000000000039,-276.9999999999939,-105.00000000001064,-871.0000000000093,,-1127.00000000001
2020.07.06,197.00000000000273,-202.00000000001327,-37.00000000000925,-837.0000000000033,,-879.0000000000231
2020.07.06,139.00000000000023,-204.00000000000418,-43.00000000000415,-824.0000000000123,,-932.0000000000203
2020.07.06,140.0000000000068,-192.99999999999872,-25.00000000000835,-753.0000000000001,,-831.0000000000005
2020.07.06,185.00000000000182,-154.99999999999403,30.999999999992145,-722.0000000000084,,-661.0000000000085
2020.07.06,186.00000000000838,-181.00000000000892,66.99999999999484,-761.0000000000099,,-689.0000000000156
2020.07.06,228.00000000000597,-208.00000000000819,86.99999999999264,-862.000000000009,,-755.0000000000185
2020.07.06,217.0000000000005,-198.00000000000927,116.99999999998934,-843.0000000000035,,-707.000000000023
2020.07.06,223.00000000000654,-263.00000000001324,114.99999999999844,-925.0000000000114,,-850.0000000000197
2020.07.06,331.999999999999,-239.99999999999577,161.00000000000003,-999.0000000000094,,-746.0000000000061
2020.07.06,397.0000000000029,-231.0000000000034,182.99999999999983,-1067.0000000000073,,-718.000000000008
2020.07.06,453.99999999999886,-184.00000000000637,229.99999999999687,-1065.0000000000118,,-565.0000000000225
2020.07.06,487.0000000000041,-224.000000000002,275.99999999999847,-1102.0000000000039,,-563.0000000000033
2020.07.06,470.00000000000375,-283.000000000011,203.99999999999307,-1236.000000000004,,-845.0000000000183
2020.07.06,406.00000000000637,-219.99999999999798,203.99999999999307,-1136.00000000001,,-746.0000000000085
2020.07.06,389.000000000006,-239.99999999999577,147.99999999999258,-1001.0000000000048,,-704.0000000000019
2020.07.06,292.9999999999988,-265.0000000000041,106.99999999999044,-933.0000000000069,,-798.0000000000218
2020.07.06,192.99999999999872,-334.00000000001205,44.99999999999504,-879.0000000000049,,-975.0000000000232
2020.07.06,260.00000000000466,-261.0000000000001,100.00000000000009,-846.0000000000036,,-746.999999999999
2020.07.06,273.000000000001,-260.0000000000158,113.99999999999189,-832.9999999999984,,-706.0000000000213
2020.07.06,268.0000000000016,-285.00000000000193,94.99999999998954,-796.0000000000065,,-718.0000000000173
2020.07.06,269.00000000000813,-320.00000000000915,73.99999999999629,-820.0000000000074,,-797.0000000000122
2020.07.06,256.0000000000007,-316.0000000000052,86.99999999999264,-802.0000000000067,,-775.0000000000185
2020.07.06,258.9999999999981,-317.0000000000117,81.9999999999932,-731.0000000000088,,-707.0000000000291
2020.07.06,230.000000000008,-326.0000000000041,67.9999999999903,-675.0000000000114,,-703.0000000000172
2020.07.06,190.00000000000128,-330.0000000000081,14.999999999998348,-713.0000000000081,,-838.0000000000165
2020.07.06,199.00000000000472,-347.0000000000084,28.999999999990145,-737.000000000009,,-856.0000000000225
2020.07.06,191.00000000000784,-339.0000000000004,22.999999999995246,-724.0000000000038,,-849.000000000001
2020.07.07,214.99999999999852,-350.00000000000585,20.999999999993246,-715.0000000000034,,-829.0000000000175
2020.07.07,207.00000000000162,-327.99999999999494,28.999999999990145,-737.9999999999995,,-830.0000000000027
2020.07.07,208.00000000000819,-340.00000000000693,14.999999999998348,-730.000000000004,,-847.0000000000043
2020.07.07,217.0000000000005,-337.99999999999386,31.999999999998696,-736.0000000000042,,-824.9999999999989
2020.07.07,217.0000000000005,-351.0000000000124,28.999999999990145,-736.0000000000042,,-841.0000000000259
2020.07.07,229.00000000000142,-348.9999999999993,30.999999999992145,-740.9999999999997,,-830.0000000000055
2020.07.07,225.00000000000853,-415.0000000000098,19.999999999997797,-828.000000000003,,-998.0000000000064
2020.07.07,280.00000000000244,-435.0000000000076,17.999999999995797,-849.0000000000038,,-986.0000000000132
2020.07.07,240.00000000000688,-429.99999999999704,20.999999999993246,-830.0000000000125,,-999.0000000000094
2020.07.07,190.00000000000128,-421.0000000000047,48.99999999999905,-800.0000000000114,,-982.0000000000157
2020.07.07,177.00000000000495,-426.00000000001523,31.999999999998696,-778.0000000000058,,-995.0000000000174
2020.07.07,156.00000000000057,-419.9999999999982,32.999999999994145,-759.0000000000003,,-990.0000000000039
