date,GBPUSD,EURUSD,USDJPY,GBPCHF,EURGBP,EURNZD,CADJPY,empty,sum
2015.05.18,-132.99999999998312,-65.99999999998829,-98.99999999998954,-90.99999999999665,-8.000000000008,-58.000000000002494,-161.99999999999193,,-616.99999999996
2015.05.18,-165.9999999999995,-86.99999999999264,-95.99999999998943,69.9999999999923,12.999999999996348,-69.9999999999923,-149.0000000000009,,-484.99999999998613
2015.05.18,-161.99999999999548,-107.99999999999699,-149.99999999999147,-53.00000000001415,-6.0000000000060005,4.000000000004,-144.99999999999602,,-619.9999999999961
2015.05.18,-61.99999999998429,-114.99999999999844,-150.99999999999625,7.0000000000014495,-17.000000000000348,-8.000000000008,-147.99999999999613,,-493.999999999982
2015.05.18,-37.99999999998249,-86.99999999999264,-143.00000000000068,-59.000000000009045,-30.000000000007798,-51.000000000001044,-158.00000000000125,,-565.9999999999949
2015.05.18,-24.999999999986144,-106.99999999999044,-140.99999999999113,-38.0000000000047,-34.000000000000696,-139.00000000000023,-164.00000000000148,,-647.9999999999748
2015.05.18,-116.99999999998934,-127.99999999999478,-147.99999999999613,-22.999999999995246,-6.0000000000060005,-63.000000000013046,-143.99999999999125,,-628.9999999999858
2015.05.18,-228.99999999999034,-275.9999999999874,-405.00000000000114,-153.00000000000313,-36.0000000000027,-2.0000000000131024,-268.99999999999125,,-1369.999999999989
2015.05.18,-211.99999999998997,-234.99999999998522,-396.99999999999136,-270.99999999999903,-18.0000000000069,65.00000000000395,-242.999999999995,,-1310.9999999999636
2015.05.18,-325.99999999998187,-293.99999999999426,-478.9999999999992,-279.00000000000705,-21.00000000000435,89.00000000000574,-245.00000000000455,,-1554.9999999999857
2015.05.18,-326.9999999999884,-270.99999999999903,-464.9999999999892,-316.0000000000052,-9.00000000000345,252.99999999999213,-194.99999999999318,,-1329.9999999999866
2015.05.18,-249.99999999999466,-217.99999999998488,-397.99999999999613,-283.000000000011,5.999999999994898,160.00000000000458,-162.9999999999967,,-1145.999999999984
