,name,direction
0,GBPUSD,S
1,EURUSD,S
2,USDJPY,B
3,USDCAD,B
4,AUDUSD,S
5,NZDUSD,S
6,EURCHF,S
7,GBPCAD,S
8,EURCAD,S
9,EURAUD,S
10,EURNZD,S
11,AUDJPY,S
12,NZDJPY,B
13,NZDCAD,B
14,AUDNZD,S
