date,GBPUSD,USDJPY,EURGBP,GBPAUD,EURAUD,AUDJPY,empty,sum
2016.10.17,59.000000000009045,19.000000000005457,-121.00000000000443,229.99999999999687,82.00000000000429,-2.0000000000095497,,267.0000000000017
2016.10.17,100.99999999999554,6.000000000000227,-53.999999999998494,276.9999999999939,62.99999999999084,20.999999999986585,,413.9999999999686
2016.10.17,49.00000000001015,-66.0000000000025,-146.00000000000168,188.9999999999947,66.00000000001049,-11.00000000000989,,81.00000000000128
2016.10.17,83.00000000001084,-72.00000000000273,-130.0000000000079,509.99999999998823,340.9999999999913,-160.0000000000108,,571.999999999969
2016.10.17,53.00000000001415,-168.99999999999693,-155.00000000000514,553.9999999999878,415.99999999999415,-274.0000000000009,,424.9999999999932
2016.10.17,200.00000000000017,-275.99999999999625,0.0,889.9999999999908,469.99999999999267,-425.00000000001137,,858.9999999999761
2016.10.17,121.99999999999989,-146.99999999999136,-77.00000000000485,751.9999999999972,455.0000000000054,-305.0000000000068,,799.9999999999993
2016.10.17,92.00000000000318,-109.99999999999943,-91.00000000000774,703.9999999999935,445.99999999999085,-276.00000000001046,,764.99999999997
2016.10.17,26.999999999999247,-295.99999999999227,-161.00000000000003,916.0000000000057,751.9999999999972,-564.0000000000072,,674.0000000000026
2016.10.17,19.00000000001345,-227.00000000000387,-175.00000000000293,862.9999999999916,722.0000000000005,-489.0000000000043,,712.9999999999943
2016.10.17,41.000000000002146,-134.00000000000034,-180.0000000000024,712.0000000000015,595.9999999999966,-332.00000000000784,,702.9999999999897
2016.10.17,119.00000000000244,-90.99999999999397,-158.99999999999804,787.9999999999887,629.9999999999973,-284.000000000006,,1002.9999999999903
2016.10.17,134.99999999999625,-43.99999999999693,-172.00000000000549,719.000000000003,585.9999999999976,-205.0000000000125,,1018.999999999982
2016.10.17,96.00000000000719,-109.99999999999943,-224.9999999999974,666.9999999999953,618.9999999999918,-252.00000000000955,,794.999999999988
2016.10.17,113.00000000000753,-42.999999999992156,-202.0000000000022,699.0000000000052,614.0000000000034,-205.0000000000125,,976.0000000000093
2016.10.17,39.00000000001125,-117.00000000000443,-287.9999999999994,600.0000000000006,658.0000000000031,-261.0000000000099,,631.0000000000013
2016.10.17,-12.999999999996348,-189.99999999999773,-317.0000000000006,391.000000000008,522.0000000000002,-252.00000000000955,,141.00000000000392
2016.10.17,90.99999999999665,-70.99999999999795,-221.99999999999997,642.9999999999936,594.0000000000057,-217.00000000001296,,817.9999999999852
2016.10.17,161.99999999999548,-155.00000000000114,-192.99999999999872,713.9999999999924,611.000000000006,-266.00000000000534,,872.9999999999887
2016.10.17,270.99999999999903,-246.9999999999999,-153.00000000000313,873.999999999997,686.9999999999932,-348.0000000000132,,1083.9999999999732
2016.10.17,226.99999999999943,-287.9999999999967,-131.99999999999878,1021.0000000000052,787.9999999999887,-475.0000000000085,,1140.9999999999895
2016.10.17,70.0000000000145,-165.99999999999682,-185.99999999999727,845.0000000000068,714.999999999999,-399.0000000000009,,879.0000000000255
2016.10.17,87.99999999999919,-134.9999999999909,-231.0000000000034,780.9999999999873,733.9999999999902,-333.0000000000126,,903.9999999999696
2016.10.17,109.00000000000354,-162.9999999999967,-248.99999999999923,609.9999999999994,634.0000000000013,-262.00000000000045,,679.0000000000078
2016.10.17,121.99999999999989,-200.9999999999934,-287.0000000000039,751.9999999999972,790.0000000000018,-345.0000000000131,,830.9999999999885
2016.10.17,138.0000000000159,-197.00000000000273,-245.0000000000063,644.0000000000001,632.0000000000103,-280.00000000000114,,692.0000000000161
2016.10.17,79.00000000000685,-194.99999999999318,-292.9999999999988,618.0000000000074,682.9999999999892,-303.0000000000115,,589.0
2016.10.17,53.999999999998494,-251.99999999999534,-299.00000000000483,391.000000000008,483.99999999999557,-248.00000000000466,,129.99999999999721
2016.10.17,-58.99999999998684,-182.00000000000216,-431.0000000000036,198.00000000000927,526.0000000000042,-175.00000000001137,,-122.99999999999051
2016.10.17,-73.99999999999629,-212.0000000000033,-433.0000000000056,195.9999999999962,520.9999999999936,-205.0000000000125,,-207.00000000002797
2016.10.17,-65.99999999998829,-224.00000000000375,-462.0000000000068,160.00000000000458,540.0000000000072,-196.00000000001216,,-247.99999999999932
2016.10.17,100.99999999999554,-352.00000000000387,-397.99999999999835,191.99999999999218,459.99999999999375,-197.00000000000273,,-194.00000000002353
2016.10.17,86.0000000000083,-251.99999999999534,-350.00000000000585,215.99999999999397,418.9999999999916,-143.00000000000068,,-24.00000000000807
2016.10.17,56.000000000011596,-350.9999999999991,-375.0000000000031,262.999999999991,489.0000000000061,-261.0000000000099,,-179.00000000000347
2016.10.17,49.99999999999449,-248.00000000000466,-368.00000000000165,194.0000000000053,425.0000000000087,-152.00000000000102,,-98.99999999999886
2016.10.17,-22.999999999995246,-286.00000000000136,-370.00000000000364,97.9999999999981,340.9999999999913,-182.00000000000216,,-422.000000000013
2016.10.17,297.9999999999983,-364.0000000000043,-180.99999999999784,408.00000000000836,313.00000000000773,-184.0000000000117,,290.0000000000005
2016.10.17,287.9999999999994,-362.99999999999955,-217.0000000000005,394.00000000000546,357.00000000000733,-184.0000000000117,,275.0000000000004
2016.10.17,258.0000000000027,-385.9999999999957,-179.00000000000693,445.0000000000065,343.00000000000443,-245.00000000000455,,236.00000000000642
2016.10.17,405.0000000000109,-399.9999999999915,-141.00000000000225,510.99999999999477,343.99999999998875,-197.00000000000273,,521.999999999998
2016.10.17,367.0000000000062,-495.9999999999951,-201.00000000000674,504.9999999999999,431.0000000000036,-289.0000000000015,,317.00000000000625
