date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,CADJPY,NZDJPY,NZDCAD,empty,sum
2021.02.08,60.99999999999994,-72.99999999998974,31.000000000003247,67.99999999999784,65.00000000000395,-70.99999999999883,-218.00000000000708,-41.000000000002146,-36.0000000000027,-48.99999999999905,-92.99999999999864,-19.00000000000235,-179.00000000000205,-211.99999999998997,165.9999999999995,52.99999999999194,-31.00000000000591,-105.00000000000398,-117.00000000000044,,-800.0000000000066
2021.02.08,49.99999999999449,-86.99999999999264,3.0000000000196536,70.99999999999795,19.999999999997797,-46.00000000000159,-225.99999999999287,-29.00000000001235,-65.00000000000395,-64.99999999999284,-117.00000000000044,-17.000000000000348,-242.999999999995,-202.9999999999976,203.99999999998198,49.99999999999449,-78.00000000000296,-111.99999999999477,-85.99999999999719,,-975.9999999999981
2021.02.08,90.99999999999665,-148.99999999999915,-16.999999999978144,108.99999999999466,31.999999999987594,-175.00000000000293,-314.99999999999864,-87.99999999999919,-108.00000000000809,-157.99999999999147,-239.99999999999577,-5.999999999994898,-334.0000000000032,-268.9999999999859,156.99999999998494,78.00000000000028,-114.99999999999488,-254.99999999999545,-237.99999999999378,,-1999.9999999999775
2021.02.08,76.99999999999375,-208.99999999999253,-59.99999999999339,93.99999999999409,38.99999999998904,-253.0000000000032,-356.00000000000074,-109.00000000000354,-97.00000000000264,-178.99999999999582,-300.99999999999574,-12.999999999996348,-375.0,-361.9999999999957,163.00000000000205,140.99999999999113,-97.99999999999898,-323.99999999999807,-340.9999999999913,,-2562.999999999998
2021.02.08,132.99999999999423,-209.9999999999991,-8.999999999992347,164.99999999999204,36.999999999998145,-221.00000000000452,-421.0000000000047,-123.00000000000644,-139.00000000000023,-192.99999999999872,-303.9999999999932,-51.000000000001044,-468.9999999999941,-358.9999999999982,227.99999999998377,66.99999999999484,-156.0000000000059,-337.0000000000033,-291.99999999999227,,-2654.000000000031
2021.02.08,207.00000000000162,-90.99999999999665,102.00000000000209,230.99999999999454,124.99999999999733,-167.00000000000603,-441.99999999998687,-121.99999999999989,-158.0000000000026,-191.99999999999218,-318.99999999999153,-51.000000000001044,-436.9999999999834,-332.9999999999833,245.99999999999068,31.000000000003247,-155.00000000000114,-331.00000000000307,-290.9999999999968,,-2146.999999999955
2021.02.08,212.99999999999653,-80.99999999999774,107.00000000001265,213.99999999999864,73.99999999999629,-143.9999999999997,-441.99999999998687,-125.00000000001954,-189.00000000000583,-211.99999999998997,-304.9999999999997,-48.99999999999905,-406.99999999998226,-255.99999999998957,200.00000000000017,-34.000000000000696,-173.00000000000182,-295.0000000000017,-224.9999999999974,,-2128.9999999999673
2021.02.08,153.99999999999858,-153.00000000000313,43.00000000001525,180.99999999999739,43.999999999999595,-212.99999999999653,-419.9999999999982,-111.00000000001664,-157.00000000000713,-237.99999999999378,-322.9999999999955,-49.99999999999449,-435.0000000000023,-304.9999999999997,100.99999999999554,11.999999999989797,-167.0000000000016,-343.9999999999941,-290.9999999999968,,-2672.000000000004
2021.02.08,198.99999999999363,-83.9999999999952,94.00000000001629,200.9999999999934,116.99999999998934,-121.00000000000443,-418.9999999999916,-118.00000000001809,-153.00000000000313,-198.99999999999363,-271.9999999999945,-44.99999999999504,-390.99999999999113,-317.9999999999961,204.99999999998852,31.000000000003247,-135.99999999999568,-262.00000000000045,-227.99999999999488,,-1898.9999999999895
2021.02.08,178.99999999999582,-132.99999999998312,62.000000000006494,156.99999999999648,82.99999999998863,-151.9999999999966,-438.00000000000506,-126.0000000000039,-153.99999999999858,-223.99999999999088,-283.99999999999534,-49.99999999999449,-383.99999999998613,-337.99999999999386,163.9999999999864,35.999999999991594,-123.00000000000466,-263.00000000000523,-241.99999999999778,,-2229.9999999999905
2021.02.08,141.99999999999767,-121.99999999999989,55.000000000005045,149.99999999999147,95.999999999985,-121.00000000000443,-370.999999999988,-87.00000000001484,-118.00000000000699,-169.99999999999238,-230.99999999999233,-37.99999999999359,-353.999999999985,-339.0000000000004,213.99999999998087,63.99999999999739,-105.00000000000398,-222.99999999999898,-215.99999999999397,,-1774.0000000000173
2021.02.08,147.99999999999258,-161.99999999999548,44.0000000000218,161.00000000000136,82.00000000000429,-136.99999999999824,-422.9999999999956,-104.99999999999955,-131.99999999999878,-205.99999999999508,-247.99999999999267,-56.99999999999594,-418.9999999999827,-373.00000000000114,190.99999999998562,62.99999999999084,-126.00000000000477,-246.9999999999999,-220.99999999999343,,-2166.999999999957
2021.02.08,151.00000000000114,-163.9999999999864,53.00000000001415,186.9999999999976,56.99999999999594,-145.00000000000622,-424.00000000000216,-94.00000000001629,-147.00000000000824,-221.99999999999997,-256.99999999999613,-65.99999999999939,-453.9999999999793,-339.0000000000004,149.9999999999835,15.999999999993797,-162.9999999999967,-277.000000000001,-217.99999999999596,,-2356.000000000002
2021.02.08,159.9999999999935,-86.99999999999264,77.00000000001594,219.99999999999886,95.999999999985,-112.99999999999643,-370.999999999988,-87.99999999999919,-134.0000000000008,-181.9999999999933,-235.99999999999176,-34.000000000000696,-417.99999999997794,-295.99999999998516,171.99999999999437,31.000000000003247,-162.9999999999967,-268.0000000000007,-201.99999999999108,,-1835.9999999999236
