date,USDJPY,EURCHF,GBPCAD,EURJPY,AUDJPY,AUDNZD,empty,sum
2016.05.23,-77.00000000001239,225.99999999999287,170.99999999998784,-221.9999999999942,-179.00000000000205,-231.0000000000034,,-312.0000000000314
2016.05.23,-28.000000000005798,229.99999999999687,97.9999999999981,-186.9999999999976,-126.00000000000477,-235.99999999999176,,-249.00000000000495
2016.05.23,-67.00000000000728,244.9999999999841,124.99999999999733,-197.00000000000273,-149.0000000000009,-221.00000000000452,,-264.000000000034
2016.05.23,-99.00000000000375,259.9999999999936,144.99999999999514,-248.00000000000466,-162.00000000000614,-198.00000000000927,,-302.0000000000351
2016.05.23,-58.000000000006935,278.9999999999848,219.99999999999798,-230.00000000000398,-121.00000000000932,-279.99999999999136,,-190.00000000002876
2016.05.23,75.9999999999934,326.0000000000041,151.9999999999966,-93.00000000000352,-3.0000000000001137,-269.00000000000813,,188.99999999998232
2016.05.23,243.99999999999977,323.99999999999096,99.99999999998899,-13.999999999995794,33.00000000000125,-268.0000000000016,,418.9999999999835
2016.05.23,292.99999999999216,286.99999999999284,80.99999999999774,103.9999999999992,6.000000000000227,-286.00000000000847,,484.9999999999737
2016.05.23,411.9999999999919,248.00000000000378,93.00000000000975,176.00000000000193,134.00000000000034,-280.9999999999979,,782.0000000000098
2016.05.23,371.9999999999999,302.9999999999866,131.99999999999878,126.00000000000477,91.99999999999875,-191.00000000000784,,833.9999999999808
2016.05.23,344.99999999999886,295.99999999998516,167.9999999999904,84.99999999999375,66.99999999999307,-201.99999999999108,,758.9999999999702
2016.05.23,302.99999999999727,282.9999999999888,211.99999999998997,60.000000000002274,15.999999999991132,-133.99999999998968,,739.9999999999799
2016.05.23,330.99999999998886,272.00000000000557,218.99999999999142,42.00000000000159,-109.00000000000887,-161.99999999999548,,592.9999999999832
2016.05.23,263.9999999999958,253.99999999999866,270.99999999999903,-60.000000000002274,-168.00000000000637,-124.99999999999733,,435.99999999998744
2016.05.23,287.9999999999967,275.000000000003,245.0000000000063,-28.000000000005798,-192.00000000000728,-218.00000000000708,,369.999999999986
2016.05.23,222.99999999999898,268.9999999999859,225.00000000000853,-46.999999999997044,-209.00000000000318,-192.99999999999872,,267.99999999999443
2016.05.23,246.9999999999999,248.00000000000378,292.9999999999877,-4.9999999999954525,-171.00000000000648,-177.00000000000495,,434.9999999999845
2016.05.23,301.9999999999925,251.99999999998556,272.00000000000557,99.00000000000375,-43.00000000000637,-72.99999999998974,,808.9999999999912
