date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,EURCHF,CHFJPY,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2016.09.19,-57.00000000000705,-26.999999999999247,-22.0000000000109,-39.999999999995595,-53.999999999998494,-2.999999999997449,-200.00000000000284,-12.000000000000899,-85.99999999998431,-74.0000000000185,-65.00000000000395,-115.0000000000091,-63.99999999999739,-140.99999999999113,-100.99999999999909,-52.000000000007596,0.0,,-1113.0000000000234
2016.09.19,-60.99999999999994,-35.00000000000725,-19.999999999997797,-49.99999999999449,-25.00000000000835,18.0000000000069,-248.00000000000466,-9.999999999998899,-188.99999999999295,-97.00000000001374,-93.99999999999409,-216.99999999999875,-99.99999999998899,-220.99999999998232,-191.0000000000025,-36.999999999998145,4.999999999999449,,-1571.9999999999766
2016.09.19,-38.0000000000047,-103.00000000000864,-15.999999999993797,-24.000000000001798,13.999999999991797,-59.99999999999339,-275.99999999999625,53.00000000000304,-253.99999999999068,-116.00000000000499,-76.99999999999375,-195.99999999999795,5.999999999994898,-93.99999999999409,-180.00000000000682,29.000000000001247,35.999999999991594,,-1296.0000000000043
2016.09.19,-52.000000000007596,-201.00000000000674,5.999999999994898,-8.000000000008,56.0000000000005,99.00000000000463,-290.00000000000625,68.99999999999685,-325.9999999999934,-243.00000000001543,-180.99999999998673,-189.00000000000716,-1.0000000000065512,-85.99999999998609,-191.0000000000025,75.9999999999983,93.99999999999409,,-1368.0000000000373
2016.09.19,-33.000000000005244,-205.00000000001074,22.999999999995246,56.000000000011596,110.99999999999443,119.00000000000244,-355.99999999999454,141.00000000000225,-381.0000000000002,-169.00000000001913,-78.99999999998464,-292.0000000000016,90.00000000001229,59.000000000009045,-304.00000000000205,61.999999999995396,146.99999999999713,,-1010.9999999999981
2016.09.19,-30.000000000007798,-192.99999999999872,31.999999999987594,76.0000000000094,173.00000000000094,140.0000000000068,-426.00000000000193,149.99999999999457,-502.9999999999859,-50.0000000000167,119.00000000000244,-382.000000000005,222.00000000001108,35.00000000000725,-385.0000000000051,137.9999999999937,83.9999999999952,,-800.000000000012
2016.09.19,-41.000000000002146,-219.00000000001364,1.0000000000065512,137.00000000000932,201.99999999999108,121.99999999999989,-378.0000000000001,165.00000000000404,-463.99999999999864,-64.0000000000196,126.0000000000039,-301.00000000000193,258.0000000000027,79.00000000000685,-347.0000000000084,156.00000000000057,121.99999999999989,,-446.0000000000198
2016.09.19,-11.00000000000545,-257.0000000000183,8.999999999992347,151.9999999999966,213.99999999999199,140.99999999999113,-271.0000000000008,202.9999999999976,-421.99999999999704,-69.00000000000794,129.00000000000134,-225.9999999999991,313.00000000000773,169.00000000001913,-323.0000000000075,165.9999999999995,120.99999999999334,,37.99999999995454
2016.09.19,-43.999999999999595,-351.0000000000124,31.999999999987594,137.9999999999937,234.00000000000088,153.00000000000313,-254.99999999999545,209.9999999999991,-442.99999999998363,-148.00000000001478,87.99999999999919,-201.99999999999818,323.0000000000066,174.00000000000747,-314.9999999999977,185.99999999999727,140.99999999999113,,-79.00000000001569
2016.09.19,-70.99999999999883,-389.0000000000171,65.00000000000395,283.000000000011,339.99999999999585,156.00000000000057,-278.99999999999636,251.00000000000122,-487.99999999999955,-90.00000000001229,229.00000000001253,-236.0000000000042,476.0000000000098,251.00000000000122,-353.00000000000864,230.99999999999233,174.99999999999181,,550.9999999999834
2016.09.19,-82.99999999999974,-387.000000000004,99.00000000000463,398.00000000000944,445.99999999999085,144.99999999999514,-207.00000000000784,331.999999999999,-385.9999999999957,52.99999999999194,435.0000000000076,-148.00000000001035,663.999999999998,423.0000000000178,-373.00000000000466,252.99999999999213,161.00000000000003,,1824.9999999999843
2016.09.19,-136.00000000000279,-473.99999999999665,114.99999999999844,517.0000000000119,492.999999999999,123.00000000000644,-194.00000000000261,351.99999999999676,-393.0000000000007,143.99999999998857,455.0000000000054,-121.00000000000932,727.0000000000109,479.0000000000072,-400.99999999999625,235.99999999999176,175.99999999999838,,2098.0000000000064
2016.09.19,-140.0000000000068,-479.0000000000072,150.00000000000568,547.999999999993,509.9999999999993,139.00000000000023,-209.00000000000318,402.00000000000233,-369.9999999999761,141.99999999999767,514.0000000000144,-132.000000000005,724.0000000000135,587.0000000000042,-391.9999999999959,268.0000000000016,242.99999999999324,,2505.0000000000314
2016.09.19,-114.99999999999844,-436.9999999999985,133.99999999998968,547.999999999993,507.9999999999973,144.99999999999514,-156.0000000000059,395.0000000000009,-312.9999999999882,134.99999999999625,511.000000000017,-78.00000000000296,730.0000000000084,571.0000000000103,-349.00000000000375,270.99999999999903,241.99999999999778,,2742.0000000000073
2016.09.19,-117.00000000000044,-417.0000000000007,107.99999999999699,520.9999999999936,510.99999999999477,144.0000000000108,-153.99999999999636,381.99999999999346,-298.0000000000018,151.9999999999966,584.0000000000067,-79.9999999999983,783.0000000000003,544.0000000000111,-349.00000000000375,295.99999999999625,212.00000000000108,,2822.000000000001
2016.09.19,-109.00000000000354,-411.0000000000058,109.99999999998789,517.0000000000119,486.999999999993,119.00000000000244,-141.9999999999959,339.99999999999585,-278.99999999999636,158.99999999999804,492.0000000000035,-52.99999999999727,723.0000000000069,477.0000000000163,-338.99999999999864,251.00000000000122,164.99999999999292,,2507.0000000000127
