date,GBPUSD,AUDUSD,EURGBP,empty,sum
2016.08.08,-24.000000000001798,-79.99999999999119,-98.99999999999353,,-202.99999999998653
2016.08.08,-17.000000000000348,-31.999999999998696,-124.00000000000189,,-173.00000000000094
2016.08.08,-45.99999999999049,56.0000000000005,-131.99999999999878,,-121.99999999998877
2016.08.08,-28.000000000005798,-2.999999999997449,-143.9999999999997,,-175.00000000000293
2016.08.08,4.000000000004,14.000000000002899,-142.99999999999312,,-124.99999999998622
2016.08.08,-4.999999999988347,-34.99999999999615,-126.99999999999933,,-166.99999999998383
2016.08.08,19.999999999997797,-72.99999999998974,-112.000000000001,,-164.99999999999295
2016.08.08,48.000000000003595,4.000000000004,-53.00000000000304,,-0.9999999999954454
2016.08.08,58.000000000002494,14.000000000002899,-76.99999999999375,,-4.999999999988347
2016.08.08,116.00000000000499,60.99999999999994,-82.99999999999974,,94.0000000000052
2016.08.08,133.00000000000534,21.00000000000435,-80.00000000000229,,74.0000000000074
2016.08.08,140.0000000000068,-13.999999999991797,-109.00000000000354,,17.000000000011454
2016.08.08,140.0000000000068,-3.999999999992898,-134.99999999999625,,1.0000000000176499
2016.08.08,137.9999999999937,-12.999999999996348,-156.99999999999602,,-31.99999999999868
2016.08.08,120.00000000000898,8.000000000008,-158.99999999999804,,-30.999999999981043
2016.08.08,83.00000000001084,-15.999999999993797,-185.99999999999727,,-118.99999999998022
2016.08.08,112.000000000001,-30.999999999992145,-182.99999999999983,,-101.99999999999098
2016.08.08,83.9999999999952,-17.000000000000348,-170.99999999999892,,-104.00000000000406
2016.08.08,-14.000000000002899,-24.999999999997247,-192.99999999999872,,-231.99999999999886
2016.08.08,-262.00000000000665,-8.999999999992347,-302.9999999999977,,-573.9999999999967
2016.08.08,-268.0000000000016,-180.99999999999784,-276.9999999999939,,-725.9999999999934
2016.08.08,-249.99999999999466,-221.99999999999997,-307.99999999999716,,-779.9999999999918
2016.08.08,-394.00000000000546,-233.99999999998977,-349.99999999999477,,-977.99999999999
2016.08.08,-286.00000000000847,-214.99999999999852,-309.0000000000037,,-810.0000000000107
2016.08.08,-303.9999999999932,-198.99999999999363,-385.99999999999744,,-888.9999999999843
