date,AUDUSD,GBPCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,EURJPY,CADJPY,NZDJPY,empty,sum
2016.04.18,-193.00000000000983,194.0000000000053,-45.000000000001705,146.00000000000168,-39.999999999995595,-9.999999999990905,-3.0000000000001137,168.00000000000637,125.0,,342.0000000000152
2016.04.18,-149.00000000001023,245.0000000000063,-102.99999999999443,211.00000000000563,-44.99999999999504,-60.000000000002274,-73.99999999999807,52.99999999999727,116.99999999999022,,194.99999999999937
2016.04.18,-176.0000000000095,265.0000000000041,13.999999999995794,230.000000000008,-80.99999999999774,150.00000000000568,97.99999999999898,120.00000000000455,211.9999999999891,,831.999999999999
2016.04.18,-127.00000000001043,208.00000000000819,10.99999999999568,423.0000000000067,-124.00000000000189,70.99999999999795,106.00000000000875,-43.00000000000637,436.9999999999976,,961.9999999999962
2016.04.18,-165.00000000000404,243.00000000001543,10.000000000005116,384.00000000000654,-112.000000000001,90.00000000000341,97.99999999999898,15.000000000000568,384.00000000000034,,947.0000000000254
2016.04.18,39.00000000000014,163.00000000000205,-227.99999999999443,216.0000000000051,-137.9999999999937,-317.0000000000073,-188.0000000000024,-240.99999999999966,52.99999999999727,,-640.999999999993
2016.04.18,-46.00000000000159,104.00000000001519,-290.00000000000625,196.00000000000728,-180.0000000000024,-469.99999999999886,-238.9999999999901,-322.00000000000273,-20.000000000010232,,-1266.9999999999898
2016.04.18,-31.000000000003247,182.99999999999983,-329.00000000000773,201.00000000000674,-148.99999999999915,-443.9999999999884,-262.00000000000045,-227.00000000000387,-45.000000000001705,,-1102.9999999999982
2016.04.18,-185.00000000000182,146.00000000000168,-149.0000000000009,347.0000000000084,-142.99999999999312,-229.00000000001342,-109.99999999999943,1.0000000000047748,235.99999999999,,-86.00000000000387
2016.04.18,-163.00000000000205,175.99999999999838,-396.0000000000008,423.0000000000067,-131.99999999999878,-528.9999999999964,-357.9999999999899,-218.00000000000352,163.99999999998727,,-1032.999999999999
2016.04.18,-129.00000000000134,211.00000000000563,-477.99999999999443,469.0000000000083,-88.99999999999464,-616.0000000000139,-493.9999999999998,-191.0000000000025,161.99999999999193,,-1155.0000000000005
2016.04.18,-206.00000000000617,184.00000000000637,-387.00000000000045,477.0000000000052,-107.99999999999699,-510.9999999999957,-385.9999999999957,-102.99999999999443,226.99999999998965,,-812.9999999999881
2016.04.18,-228.00000000000597,173.00000000000094,-438.0000000000024,552.0000000000081,-114.99999999999844,-594.9999999999989,-439.9999999999977,-135.00000000000512,278.99999999999636,,-947.0000000000032
2016.04.18,-271.0000000000101,205.00000000001074,-397.99999999999613,557.0000000000075,-95.99999999999609,-509.00000000001455,-396.99999999999136,-85.99999999999852,306.99999999998795,,-688.0000000000006
2016.04.18,-198.00000000000927,180.0000000000024,-320.99999999999795,514.0000000000033,-107.99999999999699,-430.0000000000068,-320.99999999999795,-93.99999999999409,314.9999999999977,,-462.99999999999966
