date,USDCHF,USDCAD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2021.06.21,-265.0000000000041,-159.99999999998238,-474.0000000000189,-112.99999999998533,-63.00000000000239,-60.99999999999994,-19.00000000000235,-136.00000000000279,-253.99999999999866,0.0,0.0,-224.000000000002,-276.9999999999868,-163.00000000000205,-224.9999999999974,,-2433.999999999985
2021.06.21,-253.99999999999866,-75.99999999998718,-215.00000000000963,-112.99999999998533,25.99999999999625,-56.0000000000005,-53.999999999998494,-135.00000000000733,-280.9999999999979,375.0000000000142,107.00000000001265,60.99999999999994,-262.00000000000045,-167.00000000000603,-217.0000000000005,,-1260.999999999969
2021.06.21,-273.000000000001,-86.99999999999264,-191.00000000000784,-161.99999999999548,43.99999999999693,-179.99999999999127,-99.00000000000463,-200.00000000000017,-282.99999999999994,317.0000000000117,182.0000000000155,249.00000000001032,-353.9999999999992,-187.9999999999993,-209.9999999999991,,-1434.9999999999563
2021.06.21,-248.00000000000378,83.00000000001084,-240.00000000001796,-156.00000000000057,117.999999999995,-201.99999999999108,-202.0000000000022,-231.0000000000034,-262.999999999991,329.00000000000153,-26.999999999999247,191.00000000000784,-390.00000000000057,-245.0000000000063,-209.9999999999991,,-1693.0
2021.06.21,-229.00000000000142,93.00000000000975,-252.0000000000078,-171.99999999999437,122.99999999999045,-190.00000000000128,-200.99999999999562,-235.00000000000742,-234.00000000000088,422.00000000001125,-18.999999999991246,205.00000000001074,-384.00000000000034,-250.00000000000577,-231.99999999999886,,-1554.9999999999827
2021.06.21,-244.99999999999523,80.00000000001339,-268.0000000000016,-171.99999999999437,128.99999999999068,-185.99999999999727,-219.99999999999798,-248.00000000000378,-232.99999999999432,466.00000000001086,-41.99999999998649,175.00000000001404,-387.999999999991,-275.99999999999847,-246.00000000000176,,-1673.9999999999334
2021.06.21,-251.00000000000122,43.999999999999595,-272.00000000000557,-170.99999999998784,112.99999999999955,-204.99999999999963,-224.000000000002,-255.00000000000523,-226.99999999999943,404.0000000000044,-76.99999999999375,137.00000000000932,-429.9999999999926,-285.9999999999974,-251.00000000000122,,-1950.999999999973
2021.06.21,-200.00000000000017,156.00000000000057,-289.0000000000059,-140.99999999999113,163.99999999998727,-207.00000000000162,-239.99999999999577,-282.99999999999994,-222.99999999999542,368.00000000001273,-151.9999999999966,11.00000000000545,-459.99999999999375,-275.000000000003,-263.99999999999756,,-2034.999999999975
2021.06.21,-236.99999999999832,97.9999999999981,-287.000000000015,-126.99999999998823,114.99999999999488,-215.99999999999397,-241.99999999999778,-330.0000000000081,-180.99999999999784,422.00000000001125,-173.00000000000094,-120.99999999999334,-468.9999999999941,-333.0000000000055,-383.99999999999545,,-2464.999999999984
2021.06.21,-239.99999999999577,51.000000000001044,-243.99999999999977,-114.99999999999844,46.999999999997044,-186.99999999999272,-256.0000000000007,-318.00000000000716,-191.99999999999218,439.0000000000116,-212.99999999999653,-113.99999999999189,-396.0000000000008,-322.9999999999955,-346.9999999999973,,-2407.999999999959
