,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,20,"['CADJPY', 'GBPCHF']",80.0,-0.49990408397159664,S
1,1,GBPUSD,15,['USDCAD'],100.0,-0.6654927791652826,S
2,2,USDJPY,10,['USDJPY'],100.0,-0.9917599999999999,S
3,3,USDCAD,15,['NZDJPY'],80.0,0.596341782939302,B
4,4,AUDUSD,15,['EURNZD'],80.0,-0.7486319727494476,S
5,5,GBPCHF,10,"['USDCAD', 'CHFJPY']",100.0,-0.7863,S
6,6,EURCHF,10,"['USDCHF', 'USDJPY', 'AUDNZD', 'EURUSD']",80.0,-0.4632,S
7,7,CADCHF,20,"['USDCAD', 'NZDUSD', 'AUDCHF']",80.0,0.9792900000000001,B
8,8,AUDCHF,10,['AUDCAD'],80.0,-0.9924200000000001,S
9,9,EURGBP,10,['EURCHF'],80.0,-0.9991000000000002,S
10,10,GBPJPY,15,"['AUDCHF', 'USDCAD', 'AUDJPY']",100.0,0.9711,B
11,11,GBPCAD,10,"['AUDNZD', 'NZDCHF', 'NZDCAD', 'GBPAUD', 'EURCHF']",80.0,0.9058,B
12,12,EURNZD,10,"['AUDCHF', 'EURGBP', 'USDCHF']",80.0,-0.4304,S
13,13,CADJPY,15,"['USDCAD', 'NZDUSD']",80.0,0.498615183982695,B
14,14,NZDJPY,10,"['USDCHF', 'USDCAD']",100.0,0.6545,B
15,15,AUDCAD,10,"['GBPUSD', 'GBPCAD']",80.0,0.2592317063492042,B
16,16,NZDCAD,15,"['USDCHF', 'AUDNZD']",80.0,0.5999028424353583,B
