date,USDCHF,USDCAD,NZDUSD,EURCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURNZD,AUDJPY,NZDJPY,NZDCAD,empty,sum
2020.01.13,-82.99999999999974,-82.00000000000429,-26.000000000003798,-118.00000000001809,-82.00000000000784,-35.999999999991594,-60.99999999999994,-18.000000000000682,-52.99999999999194,-157.00000000000713,0.0,-58.9999999999975,-32.0000000000098,,-807.0000000000324
2020.01.13,-97.00000000000264,-114.99999999999844,-39.00000000000014,-112.000000000001,-111.0000000000042,-20.999999999993246,-31.999999999998696,-46.999999999997044,20.000000000020002,-182.99999999999983,-31.00000000000591,-53.999999999987836,-36.0000000000027,,-857.9999999999717
2020.01.13,-156.00000000000057,-141.99999999999767,-31.000000000003247,-168.99999999999693,-99.00000000000375,-10.999999999994348,-31.000000000003247,-13.999999999981583,31.000000000003247,-181.00000000000892,1.9999999999953388,-46.999999999997044,-29.000000000001247,,-876.99999999999
2020.01.13,-162.0000000000066,-174.99999999999181,-29.000000000001247,-171.00000000001003,-33.00000000000125,37.00000000000925,16.0000000000049,110.00000000001364,203.00000000001984,-185.99999999999727,52.99999999999727,-15.999999999991132,50.99999999998994,,-301.99999999996453
2020.01.13,-131.00000000000333,-178.99999999999582,-77.00000000000485,-148.99999999999915,-30.000000000001137,-8.999999999992347,-11.00000000000545,52.00000000002092,185.00000000001293,-312.00000000000114,19.99999999999602,-75.9999999999934,-13.00000000000745,,-729.9999999999743
2020.01.13,-155.00000000000514,-151.9999999999966,-73.00000000000084,-185.00000000001293,-30.000000000001137,-0.999999999995449,-34.99999999999615,48.00000000000182,132.00000000002098,-292.00000000000335,40.99999999999682,-67.99999999999784,-17.000000000000348,,-786.9999999999901
2020.01.13,-153.00000000000313,-124.99999999999733,-5.999999999994898,-201.00000000000674,-2.0000000000095497,67.00000000000594,-60.00000000000449,57.00000000001637,9.000000000014552,-157.00000000000713,108.99999999999466,22.00000000000557,52.99999999999194,,-386.9999999999942
2020.01.13,-152.00000000000767,-75.00000000000284,12.000000000000899,-198.00000000000927,4.9999999999954525,85.00000000000173,-55.000000000005045,94.00000000002251,31.000000000003247,-148.99999999999915,200.00000000000284,53.00000000001148,34.99999999999615,,-113.9999999999897
2020.01.13,-126.99999999999933,-86.99999999999264,12.999999999996348,-190.00000000000128,15.999999999991132,68.00000000000139,-73.99999999999629,62.00000000001182,-18.999999999991246,-147.99999999999258,182.00000000000216,47.000000000011255,29.999999999996696,,-226.9999999999626
2020.01.13,-126.0000000000039,-59.000000000009045,12.999999999996348,-208.00000000000819,42.00000000000159,72.0000000000054,-109.00000000000354,85.00000000000796,-28.999999999990145,-194.0000000000053,203.99999999999352,58.000000000006935,17.999999999995797,,-233.00000000001262
2020.01.13,-97.9999999999981,-59.000000000009045,31.999999999998696,-201.00000000000674,84.00000000000318,76.0000000000094,-129.00000000000134,72.00000000000273,-87.99999999999919,-171.99999999999437,266.00000000000534,92.00000000001296,38.99999999998904,,-85.99999999998748
2020.01.13,-80.99999999999774,-4.000000000004,87.99999999999919,-199.00000000001583,96.00000000000364,108.00000000000809,-126.0000000000039,69.00000000001683,-78.99999999998464,-55.99999999998939,240.99999999999966,137.00000000000045,94.99999999998954,,289.00000000002194
2020.01.13,-92.00000000000318,9.999999999998899,112.99999999999643,-214.00000000000307,85.99999999999852,135.00000000000733,-112.99999999999643,118.00000000002342,-63.99999999999739,-25.00000000000835,254.0000000000049,180.00000000000682,115.99999999999389,,504.0000000000218
2020.01.13,-89.00000000000574,18.0000000000069,95.00000000000064,-217.0000000000005,102.00000000000387,121.99999999999989,-111.00000000000554,131.00000000000023,-57.99999999998029,-52.99999999999194,250.0,161.00000000000136,92.99999999999864,,444.0000000000275
2020.01.13,-91.00000000000774,7.0000000000014495,94.00000000000519,-219.00000000001364,96.00000000000364,131.00000000000333,-177.00000000000495,42.00000000000159,-173.99999999998528,-72.0000000000054,245.00000000000455,155.00000000000114,89.99999999999008,,126.99999999999395
2020.01.13,-96.00000000000719,8.999999999992347,90.0000000000012,-238.0000000000049,108.99999999999466,120.00000000000898,-187.00000000000384,23.000000000024556,-198.99999999999363,-97.9999999999981,275.99999999999625,159.00000000000603,81.9999999999932,,50.000000000009564
2020.01.13,-104.00000000000409,22.999999999995246,60.99999999999994,-232.00000000000998,84.99999999999375,111.00000000000554,-183.99999999999528,-13.999999999981583,-245.99999999999068,-103.99999999999298,254.0000000000049,131.00000000000023,44.99999999999504,,-173.99999999997993
2020.01.13,-116.00000000000499,11.00000000000545,80.99999999999774,-246.99999999999721,60.99999999999284,124.00000000000189,-180.99999999999784,22.00000000001978,-186.99999999998164,-103.00000000000864,280.00000000000114,139.00000000001,76.99999999999375,,-38.99999999996783
2020.01.13,-128.00000000000588,-69.9999999999923,48.000000000003595,-256.00000000001177,49.99999999999716,111.00000000000554,-272.00000000000557,-167.99999999997794,-290.9999999999968,-134.99999999999625,230.00000000000398,104.00000000001342,75.9999999999983,,-700.9999999999645
2020.01.13,-163.99999999999747,-126.0000000000039,53.00000000000304,-275.000000000003,15.000000000000568,131.00000000000333,-380.999999999998,-301.9999999999925,-482.999999999989,-90.99999999999665,248.99999999999523,116.00000000001387,120.99999999999334,,-1136.999999999971
2020.01.13,-141.99999999999767,-156.00000000000057,-29.999999999996696,-229.00000000001253,36.99999999999193,27.00000000001035,-395.99999999999636,-399.99999999997726,-516.9999999999897,-276.00000000000955,195.99999999999795,42.00000000000159,36.999999999998145,,-1806.9999999999804
