date,GBPUSD,CHFJPY,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,empty,sum
2021.07.05,-104.99999999999955,-8.000000000009777,-45.99999999999227,-25.000000000005684,323.0000000000066,144.0000000000108,-133.00000000000978,-159.00000000000603,,-9.000000000005684
2021.07.05,-154.99999999999403,-85.00000000000796,-173.00000000000182,-145.00000000001023,350.00000000000585,133.00000000000534,-193.00000000001205,-165.99999999999682,,-434.00000000001177
2021.07.05,-173.00000000000094,-177.0000000000067,-305.0000000000068,-198.99999999998386,442.00000000000904,279.99999999999136,-267.0000000000101,-239.99999999999488,,-639.000000000003
2021.07.05,-158.99999999999804,-204.9999999999983,-373.9999999999952,-211.9999999999891,415.0000000000098,296.9999999999917,-291.000000000011,-236.99999999999477,,-765.999999999985
2021.07.05,-161.99999999999548,-189.99999999999773,-367.999999999995,-199.99999999998863,409.99999999999926,256.99999999999613,-287.00000000000614,-257.000000000005,,-796.9999999999925
2021.07.05,-161.99999999999548,-171.00000000000648,-364.0000000000043,-174.0000000000066,409.99999999999926,302.0000000000023,-270.00000000001023,-212.0000000000033,,-641.0000000000248
2021.07.05,-97.9999999999981,-186.9999999999976,-326.9999999999982,-240.99999999998545,540.9999999999915,364.9999999999931,-234.00000000000887,-201.00000000000762,,-382.0000000000112
2021.07.05,-72.99999999998974,-133.00000000000978,-270.00000000001023,-192.99999999998363,547.999999999993,371.99999999999454,-195.0000000000074,-174.0000000000066,,-118.0000000000199
2021.07.05,-92.99999999998754,-160.0000000000108,-240.0000000000091,-193.9999999999884,520.9999999999936,326.0000000000041,-212.0000000000033,-192.00000000000728,,-244.00000000000875
2021.07.05,-133.99999999998968,-88.00000000000807,-216.00000000000819,-122.99999999999045,506.0000000000064,388.0000000000106,-177.0000000000067,-156.0000000000059,,8.01492205937393e-12
2021.07.05,-97.9999999999981,-49.99999999999716,-231.99999999999932,-96.00000000000364,526.0000000000042,425.0000000000087,-146.0000000000008,-132.99999999999557,,196.00000000001836
2021.07.05,-85.99999999998609,-34.000000000006025,-207.9999999999984,-88.99999999999864,519.0000000000028,361.0000000000113,-143.00000000000068,-173.00000000000182,,147.0000000000225
2021.07.05,-99.99999999998899,-67.00000000000728,-222.0000000000084,-118.99999999999977,540.9999999999915,381.99999999999346,-152.00000000000102,-195.99999999999795,,66.99999999998153
2021.07.05,-59.99999999999339,-60.000000000002274,-224.00000000001796,-116.99999999999022,557.9999999999918,479.99999999999153,-140.00000000000057,-129.0000000000049,,307.9999999999741
2021.07.05,-62.99999999999084,-76.99999999999818,-240.0000000000091,-134.9999999999909,554.9999999999944,462.9999999999912,-154.00000000001057,-162.00000000000614,,186.99999999997982
2021.07.05,-90.99999999999665,-109.00000000000887,-278.99999999999636,-180.00000000000682,560.0000000000049,465.0000000000043,-181.0000000000116,-195.0000000000074,,-10.000000000018417
2021.07.05,-80.99999999999774,-118.00000000000921,-225.9999999999991,-167.0000000000016,578.9999999999961,466.9999999999952,-159.00000000000603,-191.0000000000025,,103.99999999997522
2021.07.05,-53.999999999998494,-94.99999999999886,-242.00000000001864,-141.9999999999959,554.9999999999944,502.00000000000244,-158.00000000000125,-146.0000000000008,,219.99999999998295
2021.07.05,-194.99999999998963,-43.99999999999693,-329.00000000000773,-120.00000000000455,554.9999999999944,401.99999999999125,-144.00000000000546,-174.0000000000066,,-49.00000000002524
2021.07.05,-291.9999999999812,54.000000000002046,-276.00000000001046,-55.00000000000682,636.9999999999986,351.99999999999676,-48.00000000000182,-170.0000000000017,,201.9999999999955
2021.07.05,-157.99999999999147,118.99999999999977,-223.0000000000132,-42.00000000000159,641.0000000000027,350.00000000000585,-36.000000000001364,-158.00000000000125,,492.99999999999943
2021.07.05,-319.999999999987,52.99999999999727,-227.00000000000387,-81.99999999999363,761.0000000000117,476.9999999999941,12.999999999991019,-168.00000000000637,,507.0000000000032
2021.07.05,-351.99999999999676,98.99999999998954,-234.00000000000887,-25.000000000005684,656.0000000000122,495.000000000001,-17.000000000010118,-161.00000000000136,,460.9999999999799
2021.07.05,-351.99999999999676,75.00000000000284,-241.00000000001387,-49.99999999998295,717.000000000012,479.99999999999153,4.9999999999954525,-185.00000000000227,,449.00000000000614
2021.07.05,-369.99999999998147,24.00000000000091,-210.00000000000796,-80.99999999998886,800.0000000000007,564.9999999999933,34.99999999999659,-180.00000000000682,,583.0000000000064
