date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.12.02,0.0,0.0,-24.000000000001798,-18.000000000000682,-55.99999999998939,-39.00000000000014,-9.999999999998899,-113.99999999999189,-21.999999999988695,-45.000000000001705,-54.999999999993946,-52.000000000007596,-17.000000000000348,-9.999999999998899,-102.00000000000387,0.0,-299.0000000000066,-28.000000000005798,-41.000000000002146,-21.99999999999136,-18.999999999991246,-31.999999999998696,-31.999999999998696,-59.99999999999339,,-1096.999999999966
2019.12.02,7.0000000000014495,12.999999999996348,27.999999999983594,-33.999999999991815,-113.00000000000753,-32.999999999994145,-9.00000000000345,-96.99999999999153,19.00000000001345,-44.00000000001114,-58.99999999999794,-50.0000000000056,-15.00000000000945,-1.0000000000065512,-56.99999999998795,56.99999999999594,-256.0000000000002,-59.99999999999339,-29.00000000001235,18.000000000000682,12.000000000000455,-48.99999999999905,-57.00000000000705,-31.999999999987594,,-841.0000000000149
2019.12.02,7.0000000000014495,11.00000000000545,27.999999999983594,-27.000000000001023,-170.00000000000347,-41.9999999999976,-42.0000000000087,-110.99999999999443,2.0000000000131024,-70.00000000000739,-79.99999999999119,-39.00000000000014,-54.00000000000959,7.0000000000014495,-86.99999999998909,99.00000000000463,-262.00000000000045,-89.00000000000574,-104.99999999999955,-7.999999999995566,9.000000000000341,-89.00000000000574,-72.0000000000054,-24.999999999986144,,-1208.9999999999911
2019.12.02,32.0000000000098,11.00000000000545,48.99999999998794,-4.9999999999954525,-187.00000000000384,-56.99999999999594,-60.00000000000449,-90.99999999999665,19.00000000001345,-51.00000000000193,-74.99999999999174,-46.00000000000159,-59.000000000009045,12.999999999996348,-78.99999999997931,178.99999999999582,-270.00000000001023,-99.00000000000463,-144.0000000000108,17.000000000010118,-7.999999999995566,-75.9999999999983,-102.00000000000209,-42.999999999993044,,-1131.9999999999757
2019.12.02,42.0000000000087,11.00000000000545,57.99999999998029,10.000000000005116,-154.99999999999403,-34.99999999999615,14.999999999998348,-171.99999999999437,26.999999999999247,-121.99999999999989,-48.99999999999905,-20.0000000000089,15.999999999993797,13.999999999991797,-239.00000000000432,175.99999999999838,-388.00000000000523,-66.99999999999484,59.000000000009045,-92.99999999998931,-126.99999999999534,-82.00000000000429,-163.00000000000205,-99.99999999998899,,-1383.9999999999866
2019.12.02,82.99999999998863,11.00000000000545,45.99999999999049,121.99999999999989,-140.0000000000068,-34.99999999999615,32.999999999994145,-191.99999999999218,80.99999999999774,-132.000000000005,-2.999999999997449,9.999999999998899,70.99999999999883,0.999999999995449,-281.99999999998226,80.99999999999774,-411.00000000000136,-45.99999999999049,110.99999999999443,-100.99999999999909,-161.99999999999193,-78.00000000000028,-165.00000000000404,-110.99999999999443,,-1207.9999999999995
2019.12.02,69.00000000000794,22.999999999995246,32.999999999994145,121.00000000000932,-93.99999999999409,-4.000000000004,69.9999999999923,-154.99999999999403,82.00000000000429,-161.00000000000136,-3.999999999992898,22.999999999995246,93.99999999999409,7.0000000000014495,-280.00000000000114,96.99999999999153,-433.00000000000693,-28.999999999990145,164.00000000000858,-149.99999999999147,-248.00000000000466,-96.00000000000719,-228.00000000000597,-160.00000000000458,,-1259.000000000004
2019.12.02,29.999999999996696,21.999999999988695,32.999999999994145,153.0000000000058,-123.99999999999079,24.999999999997247,109.99999999999899,-126.99999999998823,22.0000000000109,-213.00000000000807,-36.999999999998145,27.999999999994696,110.99999999999443,12.000000000000899,-301.9999999999925,120.00000000000898,-452.0000000000124,-38.99999999998904,292.00000000000335,-188.0000000000024,-254.99999999999545,-153.99999999999858,-240.00000000000688,-165.9999999999995,,-1338.9999999999873
2019.12.02,41.000000000002146,18.999999999991246,28.999999999990145,157.0000000000107,-143.00000000000423,45.000000000006146,122.99999999999534,-118.99999999998023,34.000000000000696,-227.00000000000387,-51.99999999999649,48.99999999999905,124.99999999999733,14.999999999998348,-322.9999999999791,170.00000000000347,-481.00000000000875,-85.99999999998609,299.99999999998914,-222.99999999999898,-268.0000000000007,-218.00000000000708,-279.00000000000705,-120.99999999999334,,-1432.9999999999823
2019.12.02,45.000000000006146,18.0000000000069,41.99999999998649,171.00000000000648,-178.99999999999582,39.00000000000014,103.99999999999298,-112.99999999998533,29.00000000001235,-227.00000000000387,-73.00000000000084,49.99999999999449,106.99999999999044,14.999999999998348,-310.9999999999786,167.00000000000603,-468.0000000000035,-85.00000000000173,306.00000000000625,-218.9999999999941,-287.9999999999967,-206.00000000000617,-311.00000000000574,-134.99999999999625,,-1521.9999999999618
