date,GBPUSD,EURUSD,USDCAD,AUDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDCAD,NZDCAD,empty,sum
2019.07.01,-75.00000000000284,-85.00000000000173,-56.99999999999594,0.0,-394.9999999999898,-56.000000000011596,-307.0000000000017,-243.00000000000432,-58.99999999999794,0.0,0.0,0.0,-302.0000000000067,-280.9999999999979,0.0,0.0,-3.999999999992898,-134.99999999999625,,-1999.0
2019.07.01,-68.99999999998573,-48.000000000003595,-55.99999999998939,85.00000000000173,-378.999999999996,6.999999999990791,-243.99999999999977,-217.0000000000005,-24.000000000001798,289.0000000000157,-83.00000000001084,107.99999999999699,-382.000000000005,-90.99999999999665,170.99999999998784,254.99999999999545,92.00000000000318,24.000000000001798,,-561.9999999999958
2019.07.01,-56.99999999999594,-43.999999999999595,-65.00000000000395,53.999999999998494,-368.9999999999971,9.000000000000341,-300.0000000000003,-230.000000000008,-31.999999999998696,310.0000000000023,-31.000000000003247,83.9999999999952,-515.0000000000006,-123.00000000000644,117.99999999999588,251.99999999999534,33.000000000005244,-17.999999999995797,,-924.0000000000166
2019.07.01,-41.99999999998649,-28.000000000005798,-90.99999999999665,44.99999999999504,-418.9999999999916,134.9999999999909,-285.00000000000193,-253.0000000000032,-51.99999999999649,558.0000000000211,-75.00000000000284,36.0000000000138,-686.9999999999976,-26.999999999999247,71.99999999998319,409.9999999999966,67.00000000000594,12.000000000000899,,-623.9999999999743
2019.07.01,-73.99999999999629,-5.000000000010552,-59.99999999999339,51.99999999999649,-434.000000000001,119.99999999999034,-286.00000000000847,-285.00000000000193,-21.999999999999797,604.0000000000134,-84.0000000000174,9.999999999998899,-671.0000000000065,-7.0000000000014495,61.99999999998429,406.9999999999965,63.99999999999739,54.999999999993946,,-554.0000000000654
2019.07.01,-48.99999999998794,-73.00000000001194,-99.00000000000463,19.999999999997797,-431.99999999998795,72.99999999999329,-287.9999999999994,-300.0000000000003,-17.999999999995797,543.0000000000064,-72.0000000000054,-9.999999999998899,-543.9999999999969,-39.999999999995595,75.99999999998718,361.99999999999477,55.000000000005045,75.00000000000284,,-720.9999999999976
2019.07.01,-34.000000000000696,-104.00000000001519,-96.99999999999153,-31.999999999998696,-420.9999999999825,-25.000000000005684,-290.00000000000136,-282.0000000000045,4.999999999999449,358.0000000000041,-43.999999999999595,-165.9999999999995,-448.99999999999807,-106.00000000000608,-56.000000000011596,262.00000000000045,-29.999999999996696,36.0000000000027,,-1475.0000000000048
2019.07.01,-9.999999999998899,-134.99999999999625,-127.99999999999478,-129.00000000000134,-391.9999999999924,-111.0000000000042,-270.0000000000036,-243.99999999999977,9.00000000000345,281.0000000000059,-60.000000000015596,-363.9999999999866,-302.0000000000067,-86.0000000000083,-175.00000000001404,209.99999999999375,-119.00000000000244,-29.999999999996696,,-2055.0000000000186
2019.07.01,33.00000000001635,-148.99999999999915,-133.00000000000534,-148.99999999999915,-485.0000000000021,-137.00000000000045,-347.0000000000084,-223.00000000000654,21.999999999999797,332.00000000002206,-40.0000000000178,-370.00000000000364,-292.0000000000016,-143.00000000000423,-189.00000000001694,257.99999999999557,-159.9999999999935,-134.99999999999625,,-2307.0000000000214
2019.07.01,-7.0000000000014495,-194.0000000000053,-173.99999999998528,-257.0000000000072,-526.0000000000042,-265.00000000000057,-341.0000000000024,-195.00000000000074,43.00000000000415,181.0000000000116,-117.00000000001154,-659.999999999994,-254.0000000000049,-171.00000000001003,-381.0000000000091,143.99999999999125,-264.999999999993,-158.0000000000026,,-3597.0000000000255
2019.07.01,-106.99999999999044,-163.00000000000205,-177.99999999998929,-212.00000000000108,-668.0000000000019,-272.00000000000557,-341.0000000000024,-204.99999999999963,95.00000000000064,298.0000000000018,-281.0000000000201,-693.9999999999947,-213.99999999999864,-104.99999999999955,-332.00000000002115,165.99999999999682,-200.99999999999562,-138.00000000000477,,-3552.0000000000273
2019.07.01,-99.99999999998899,-156.00000000000057,-184.99999999999073,-180.0000000000024,-658.9999999999874,-225.9999999999991,-356.00000000000074,-236.99999999999832,104.99999999999955,403.00000000002,-285.00000000000193,-673.9999999999968,-221.00000000000364,-86.99999999999264,-264.0000000000198,189.99999999999773,-156.99999999999602,-75.00000000000284,,-3163.9999999999645
