,names,week,needed_features,accuracy
0,USDCHF,10,['EURUSD'],80.0
1,GBPUSD,10,['NZDJPY'],80.0
2,EURUSD,10,"['AUDUSD', 'NZDUSD', 'NZDJPY', 'EURUSD', 'GBPUSD']",80.0
3,USDJPY,15,"['EURCAD', 'AUDCHF', 'GBPCAD', 'NZDCAD', 'AUDUSD', 'NZDUSD', 'AUDCAD', 'EURAUD']",100.0
4,AUDUSD,10,['NZDJPY'],80.0
5,CHFJPY,10,['EURUSD'],80.0
6,CADCHF,50,"['NZDCAD', 'AUDCAD', 'EURCAD', 'EURUSD']",80.0
7,NZDCHF,10,['NZDJPY'],80.0
8,GBPJPY,50,['EURUSD'],80.0
9,GBPCAD,10,"['CADJPY', 'GBPJPY', 'EURJPY', 'NZDJPY', 'USDCAD']",80.0
10,GBPAUD,10,"['EURGBP', 'GBPCHF']",100.0
11,EURCAD,10,"['AUDUSD', 'NZDUSD', 'AUDJPY', 'EURUSD', 'NZDJPY', 'GBPUSD']",100.0
12,CADJPY,10,"['EURGBP', 'GBPCHF']",100.0
13,AUDCAD,10,"['AUDUSD', 'NZDUSD', 'AUDJPY', 'EURUSD', 'NZDJPY', 'GBPUSD']",100.0
14,NZDCAD,10,"['EURAUD', 'AUDUSD', 'NZDUSD', 'EURUSD', 'NZDJPY', 'GBPUSD']",80.0
15,AUDNZD,50,"['GBPCAD', 'EURGBP']",80.0
