date,EURUSD,EURNZD,NZDCAD,empty,sum
2019.03.18,-27.999999999983594,-45.99999999999049,-53.999999999998494,,-127.99999999997257
2019.03.18,-42.999999999993044,-121.99999999999989,-52.000000000007596,,-217.0000000000005
2019.03.18,-29.999999999996696,-124.99999999999733,-23.00000000000635,,-178.00000000000037
2019.03.18,26.0000000000149,-70.99999999999883,-25.00000000000835,,-69.99999999999228
2019.03.18,0.0,-48.99999999998794,-75.00000000000284,,-123.99999999999079
2019.03.18,-10.999999999983245,-38.99999999998904,-97.9999999999981,,-147.99999999997038
2019.03.18,-15.999999999993797,-144.99999999999514,-57.00000000000705,,-217.999999999996
2019.03.18,-29.999999999996696,-173.99999999998528,22.999999999995246,,-180.99999999998673
2019.03.18,-34.000000000000696,-168.99999999999693,26.999999999999247,,-175.99999999999835
2019.03.18,-95.999999999985,-136.99999999998712,-45.000000000006146,,-277.9999999999783
2019.03.18,-141.99999999999767,-2.999999999997449,-119.00000000000244,,-263.99999999999756
2019.03.18,-147.99999999999258,133.00000000000534,-172.00000000000549,,-186.99999999999272
2019.03.18,-139.00000000000023,148.99999999999915,-157.00000000000713,,-147.0000000000082
2019.03.18,-150.99999999999002,198.00000000000927,-158.0000000000026,,-110.99999999998334
2019.03.18,-129.99999999998568,224.000000000002,-158.99999999999804,,-64.99999999998172
2019.03.18,-129.00000000000134,226.99999999999943,-165.9999999999995,,-68.00000000000139
2019.03.18,-161.99999999999548,229.00000000001253,-165.00000000000404,,-97.99999999998698
2019.03.18,-215.99999999999397,246.00000000001288,-162.0000000000066,,-131.9999999999877
2019.03.18,-200.00000000000017,269.00000000000813,-180.0000000000024,,-110.99999999999443
2019.03.18,-265.99999999998846,169.00000000001913,-161.00000000000003,,-257.99999999996936
2019.03.18,-272.99999999998994,165.00000000001512,-243.99999999999977,,-351.9999999999746
2019.03.18,-238.99999999998923,120.00000000000898,-226.99999999999943,,-345.99999999997965
2019.03.18,-249.99999999999466,102.00000000000209,-211.00000000000563,,-358.9999999999982
2019.03.18,-274.9999999999808,36.999999999998145,-235.00000000000742,,-472.99999999999005
2019.03.18,-295.0000000000008,-9.999999999998899,-233.00000000000543,,-538.0000000000051
2019.03.18,-288.99999999998374,-2.999999999997449,-229.00000000000142,,-520.9999999999826
2019.03.18,-347.9999999999928,-5.999999999994898,-240.00000000000688,,-593.9999999999945
2019.03.18,-349.99999999998363,-52.99999999999194,-206.00000000000617,,-608.9999999999817
2019.03.18,-356.00000000000074,-48.99999999998794,-228.00000000000597,,-632.9999999999947
2019.03.18,-331.999999999999,-32.999999999994145,-238.0000000000049,,-602.999999999998
2019.03.18,-261.9999999999845,-53.999999999998494,-267.00000000000614,,-582.9999999999891
2019.03.18,-234.99999999998522,-20.999999999982144,-248.99999999999923,,-504.9999999999666
2019.03.18,-263.99999999999756,-20.999999999982144,-226.99999999999943,,-511.99999999997914
2019.03.18,-220.99999999998232,-81.9999999999821,-203.00000000000873,,-505.99999999997317
2019.03.18,-230.9999999999812,29.00000000001235,-287.9999999999994,,-489.9999999999682
2019.03.18,-160.99999999998892,-51.000000000001044,-291.0000000000079,,-502.99999999999784
2019.03.18,-186.99999999998164,-64.99999999998174,-217.0000000000005,,-468.9999999999639
2019.03.18,-123.99999999999079,-30.999999999981043,-207.00000000000162,,-361.99999999997345
2019.03.18,-88.99999999998354,-135.9999999999806,-204.00000000000418,,-428.9999999999683
2019.03.18,-73.99999999999629,-122.99999999998423,-199.00000000000472,,-395.9999999999852
2019.03.18,-74.99999999998064,-140.99999999999113,-197.00000000000273,,-412.99999999997453
2019.03.18,-137.9999999999937,-144.99999999999514,-224.000000000002,,-506.99999999999085
2019.03.18,-158.99999999999804,-156.99999999998494,-192.00000000000327,,-507.99999999998624
2019.03.18,-187.99999999998818,-103.99999999999298,-201.00000000000674,,-492.99999999998784
2019.03.18,-194.99999999998963,-129.00000000000134,-181.00000000000892,,-504.9999999999999
2019.03.18,-187.99999999998818,-114.99999999999844,-123.00000000000644,,-425.999999999993
2019.03.18,-161.99999999999548,-114.99999999999844,-84.0000000000063,,-361.0000000000002
2019.03.18,-142.99999999998204,-132.99999999998312,-60.00000000000449,,-335.99999999996965
2019.03.19,-147.99999999999258,-129.00000000000134,-85.00000000000173,,-361.9999999999957
2019.03.19,-135.9999999999806,-221.99999999998886,-80.00000000000229,,-437.9999999999717
2019.03.19,-133.99999999998968,-241.00000000000233,-47.00000000000814,,-422.00000000000017
2019.03.19,-134.99999999999625,-280.9999999999979,-42.0000000000087,,-458.00000000000284
2019.03.19,-126.99999999998823,-303.9999999999932,-36.999999999998145,,-467.99999999997954
2019.03.19,-167.9999999999904,-302.0000000000023,-69.00000000000794,,-539.0000000000006
2019.03.19,-184.99999999999073,-320.9999999999935,-104.00000000000409,,-609.9999999999884
2019.03.19,-182.99999999999983,-151.9999999999966,-121.00000000000443,,-456.00000000000085
2019.03.19,-180.99999999998673,-192.99999999999872,-87.00000000000374,,-460.9999999999892
2019.03.19,-196.99999999998053,-176.99999999998272,-97.00000000000264,,-470.9999999999659
2019.03.19,-213.99999999998087,-102.00000000000209,-133.00000000000534,,-448.9999999999883
2019.03.19,-253.99999999999866,-66.99999999999484,-145.00000000000622,,-465.9999999999998
2019.03.19,-255.99999999998957,-63.99999999999739,-158.0000000000026,,-477.99999999998954
2019.03.19,-244.9999999999841,-42.999999999993044,-168.00000000000148,,-455.9999999999786
2019.03.19,-236.99999999999832,-35.999999999991594,-189.00000000000583,,-461.9999999999958
2019.03.19,-213.99999999998087,-60.99999999999994,-192.00000000000327,,-466.9999999999841
2019.03.19,-239.99999999999577,-98.99999999998244,-194.0000000000053,,-532.9999999999834
2019.03.19,-268.9999999999859,-97.9999999999981,-196.00000000000728,,-562.9999999999912
2019.03.19,-272.99999999998994,-178.99999999999582,-165.00000000000404,,-616.9999999999898
2019.03.19,-283.99999999999534,-173.99999999998528,-150.00000000000568,,-607.9999999999864
2019.03.19,-339.0000000000004,-204.99999999998852,-152.00000000000767,,-695.9999999999966
2019.03.19,-334.9999999999964,-207.00000000000162,-124.00000000000189,,-666.0
2019.03.19,-323.99999999999096,-236.99999999999832,-62.000000000006494,,-622.9999999999958
2019.03.19,-295.99999999998516,-165.9999999999995,-92.99999999999864,,-554.9999999999833
2019.03.19,-309.99999999998806,-169.99999999998127,-81.00000000000884,,-560.9999999999782
2019.03.19,-341.99999999999784,-175.99999999999838,-57.00000000000705,,-575.0000000000033
2019.03.19,-381.99999999999346,-217.99999999998488,-50.0000000000056,,-649.999999999984
2019.03.19,-329.00000000000153,-167.9999999999904,-35.00000000000725,,-531.9999999999992
2019.03.19,-380.9999999999869,-156.00000000000057,-9.999999999998899,,-546.9999999999864
2019.03.19,-356.00000000000074,-122.99999999998423,26.999999999999247,,-451.99999999998573
2019.03.19,-380.9999999999869,-9.999999999998899,178.00000000000037,,-212.99999999998548
2019.03.19,-295.0000000000008,41.000000000002146,207.00000000000162,,-46.999999999997016
2019.03.19,-293.99999999999426,12.000000000012001,168.00000000000148,,-113.99999999998079
2019.03.19,-268.9999999999859,101.00000000001774,141.99999999999767,,-25.9999999999705
2019.03.19,-363.0000000000022,12.000000000012001,78.00000000000028,,-272.99999999998994
2019.03.19,-369.99999999998147,-17.000000000000348,17.000000000000348,,-369.99999999998147
2019.03.19,-288.99999999998374,-46.999999999997044,-43.00000000000415,,-378.99999999998494
2019.03.19,-331.999999999999,-204.99999999998852,-52.000000000007596,,-588.9999999999951
2019.03.19,-303.9999999999932,-150.99999999999002,-48.99999999999905,,-503.9999999999822
2019.03.19,-356.00000000000074,-171.99999999999437,-57.00000000000705,,-585.0000000000022
2019.03.19,-317.9999999999961,-188.9999999999947,-4.999999999999449,,-511.9999999999902
2019.03.19,-323.99999999999096,-208.99999999999253,8.999999999992347,,-523.9999999999911
2019.03.19,-314.99999999999864,-272.99999999998994,14.999999999998348,,-572.9999999999903
2019.03.19,-356.9999999999851,-339.0000000000004,-11.00000000000545,,-706.9999999999909
2019.03.19,-346.9999999999862,-293.99999999999426,-9.00000000000345,,-649.9999999999839
2019.03.19,-295.99999999998516,-259.9999999999936,-52.000000000007596,,-607.9999999999864
2019.03.19,-300.99999999999574,-234.99999999998522,-36.0000000000027,,-571.9999999999836
2019.03.19,-295.99999999998516,-291.9999999999812,-19.00000000000235,,-606.9999999999687
2019.03.20,-290.9999999999968,-313.99999999999204,-46.00000000000159,,-650.9999999999905
2019.03.20,-304.9999999999997,-265.99999999998846,-59.000000000009045,,-629.9999999999973
2019.03.20,-305.9999999999841,-331.999999999999,-46.00000000000159,,-683.9999999999847
2019.03.20,-312.00000000000114,-317.9999999999961,-50.0000000000056,,-680.0000000000028
2019.03.20,-336.9999999999873,-425.99999999999307,-41.000000000002146,,-803.9999999999826
2019.03.20,-316.99999999998954,-681.9999999999826,8.999999999992347,,-989.9999999999798
2019.03.20,-243.99999999999977,-783.9999999999848,124.99999999999733,,-902.9999999999873
2019.03.20,-261.0000000000001,-800.9999999999851,178.99999999999582,,-882.9999999999894
2019.03.20,-269.9999999999925,-703.9999999999935,168.99999999999693,,-804.9999999999891
2019.03.20,-244.9999999999841,-691.9999999999815,176.99999999999383,,-759.9999999999717
2019.03.20,-247.99999999998158,-672.9999999999902,165.9999999999995,,-754.9999999999723
2019.03.20,-238.99999999998923,-644.0000000000001,151.9999999999966,,-730.9999999999927
2019.03.20,-247.99999999998158,-734.9999999999968,153.99999999999858,,-828.9999999999798
2019.03.20,-241.99999999998667,-682.9999999999892,183.99999999999528,,-740.9999999999807
2019.03.20,-232.99999999999432,-662.9999999999914,178.00000000000037,,-717.9999999999853
2019.03.20,-247.99999999998158,-688.9999999999841,165.9999999999995,,-770.9999999999661
2019.03.20,-258.99999999998704,-705.0000000000001,141.99999999999767,,-821.9999999999895
2019.03.20,-266.999999999995,-604.9999999999889,127.99999999999478,,-743.9999999999891
2019.03.20,-300.99999999999574,-619.9999999999983,34.000000000000696,,-886.9999999999934
2019.03.20,-256.99999999999613,-564.9999999999933,7.0000000000014495,,-814.999999999988
2019.03.20,-278.00000000000045,-594.99999999999,30.999999999992145,,-841.9999999999983
2019.03.20,-226.99999999999943,-506.9999999999908,36.999999999998145,,-696.999999999992
2019.03.20,-241.99999999998667,-533.99999999999,48.99999999999905,,-726.9999999999776
2019.03.20,-289.9999999999903,-478.999999999985,2.999999999997449,,-765.9999999999777
2019.03.20,-313.99999999999204,-520.9999999999936,-7.0000000000014495,,-841.9999999999872
2019.03.20,-308.9999999999815,-499.9999999999893,-29.000000000001247,,-837.9999999999721
2019.03.20,-302.0000000000023,-499.9999999999893,-29.000000000001247,,-830.9999999999928
2019.03.20,-346.0000000000019,-461.99999999998465,-48.99999999999905,,-856.9999999999857
2019.03.20,-427.99999999998397,-432.9999999999945,-124.00000000000189,,-984.9999999999803
2019.03.20,-426.9999999999996,-436.9999999999985,-109.00000000000354,,-973.0000000000017
2019.03.20,-375.9999999999986,-381.99999999999346,-70.99999999999883,,-828.9999999999909
2019.03.20,-376.9999999999829,-417.99999999998505,-97.00000000000264,,-891.9999999999706
2019.03.20,-374.999999999992,-413.99999999998107,-155.00000000000514,,-943.9999999999782
