,names,week,needed_features,accuracy
0,USDCHF,10,"['EURUSD', 'AUDUSD']",80.0
1,EURUSD,10,"['EURUSD', 'AUDUSD']",80.0
2,USDJPY,30,"['AUDCHF', 'EURUSD', 'AUDUSD', 'AUDCAD', 'NZDUSD', 'EURAUD', 'NZDCAD', 'NZDJPY', 'GBPCHF', 'GBPAUD']",100.0
3,AUDUSD,10,"['EURUSD', 'AUDUSD']",80.0
4,EURCHF,10,['EURNZD'],100.0
5,CHFJPY,50,"['CHFJPY', 'EURJPY']",80.0
6,CADCHF,10,"['AUDCHF', 'EURAUD', 'GBPCHF', 'NZDCHF', 'NZDCAD', 'EURNZD']",80.0
7,EURGBP,10,['EURCHF'],80.0
8,GBPJPY,15,"['EURNZD', 'GBPCHF']",100.0
9,GBPAUD,20,"['EURGBP', 'CHFJPY', 'GBPCHF', 'AUDJPY']",100.0
10,CADJPY,10,['GBPCHF'],80.0
11,AUDNZD,15,['GBPUSD'],100.0
