date,EURUSD,AUDUSD,GBPCHF,CADCHF,NZDCHF,EURGBP,EURJPY,EURCAD,EURNZD,NZDJPY,empty,sum
2015.11.09,-78.00000000000028,-92.00000000000318,-109.00000000000354,-15.999999999993797,-3.999999999992898,0.0,-69.99999999999318,-122.99999999998423,-109.99999999998789,-28.000000000005798,,-629.9999999999649
2015.11.09,-59.000000000009045,-107.00000000000153,-172.0000000000166,82.00000000000429,51.000000000001044,48.000000000003595,-61.00000000000705,-98.99999999998244,-136.99999999998712,-31.00000000000591,,-485.0000000000007
2015.11.09,-28.000000000005798,-92.00000000000318,-205.00000000001074,108.00000000000809,87.99999999999919,6.0000000000060005,-61.9999999999834,-53.999999999998494,-58.99999999998684,9.000000000000341,,-288.9999999999749
2015.11.09,-49.99999999999449,-126.99999999999933,-197.00000000000273,128.00000000000588,143.9999999999997,31.000000000003247,-4.9999999999954525,-28.999999999990145,150.00000000000568,75.9999999999934,,121.00000000002572
2015.11.09,-141.00000000001333,-150.00000000000568,-236.99999999999832,124.00000000000189,103.00000000000864,31.999999999998696,-137.00000000000045,-147.99999999999258,-95.999999999985,36.000000000001364,,-613.9999999999848
2015.11.09,-121.99999999999989,-153.00000000000313,-294.0000000000165,97.9999999999981,90.0000000000012,9.999999999998899,-139.99999999998636,-149.9999999999835,-96.99999999999153,37.9999999999967,,-719.999999999986
2015.11.09,-110.00000000001009,-170.00000000000347,-314.00000000001427,119.99999999999788,114.99999999999844,28.000000000005798,-158.99999999999181,-167.9999999999904,-9.999999999998899,59.99999999998806,,-608.0000000000185
2015.11.09,-205.00000000001074,-226.00000000000398,-299.00000000000483,136.00000000000279,174.00000000000747,53.999999999998494,-413.99999999998727,-224.000000000002,45.000000000006146,149.0000000000009,,-809.999999999993
2015.11.09,-225.00000000000853,-231.0000000000034,-279.00000000000705,123.00000000000644,231.99999999999886,86.0000000000083,-435.0000000000023,-187.99999999998818,161.00000000001114,323.99999999999807,,-431.9999999999866
2015.11.09,-324.9999999999975,-314.0000000000032,-222.00000000001108,126.99999999999933,282.99999999999994,87.00000000000374,-548.0000000000018,-255.99999999998957,320.00000000000915,378.0000000000001,,-469.999999999991
2015.11.09,-409.0000000000149,-353.99999999999875,-219.99999999999798,124.00000000000189,352.00000000000784,155.00000000000514,-570.999999999998,-343.99999999998875,300.00000000001137,500.99999999999056,,-465.99999999998147
2015.11.09,-380.00000000000256,-314.99999999999864,-170.00000000000347,112.000000000001,316.0000000000052,174.00000000000747,-528.9999999999964,-342.9999999999822,257.0000000000183,430.9999999999974,,-446.99999999995384
2015.11.09,-387.000000000004,-299.00000000000483,-171.00000000001003,87.99999999999919,329.00000000000153,187.9999999999993,-551.9999999999925,-380.00000000000256,295.0000000000008,484.99999999999943,,-404.00000000001364
2015.11.09,-425.0000000000087,-321.0000000000046,-161.00000000001114,80.00000000000229,331.0000000000035,187.9999999999993,-611.9999999999948,-434.000000000001,226.99999999999943,493.9999999999998,,-633.0000000000157
