date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPCAD,EURJPY,EURCAD,CADJPY,AUDNZD,empty,sum
2020.03.30,-124.99999999999733,-79.00000000000685,-72.00000000000273,-132.99999999998312,-41.000000000002146,-85.00000000000173,-296.0000000000074,-426.9999999999925,-324.00000000000205,-217.0000000000005,-89.00000000000574,-204.9999999999983,-302.9999999999866,-170.0000000000017,-130.0000000000079,,-2695.999999999997
2020.03.30,63.00000000000195,-60.99999999999994,-70.00000000000739,-180.99999999998673,-43.999999999999595,-75.00000000000284,-276.00000000000955,-461.9999999999891,-304.9999999999997,-131.00000000000333,26.0000000000149,-314.00000000000716,-62.99999999999084,-194.00000000000261,-57.00000000001815,,-2144.0000000000005
2020.03.30,-93.99999999999409,-89.00000000000574,-67.99999999999784,-596.9999999999809,-21.999999999999797,-57.00000000000705,-303.9999999999932,-519.999999999996,-329.00000000000153,-372.0000000000057,161.99999999999548,-391.00000000000534,-17.999999999984695,-197.00000000000273,-209.9999999999991,,-3105.999999999978
2020.03.30,-78.00000000000028,-90.00000000001229,-63.00000000000239,-587.9999999999885,129.00000000000134,91.99999999999208,-380.00000000000256,-490.99999999999966,-356.00000000000074,-423.0000000000067,289.0000000000059,-269.999999999996,449.0000000000105,-356.00000000000875,-238.0000000000049,,-2374.0000000000127
2020.03.30,24.000000000001798,-109.00000000000354,-85.99999999999852,-669.9999999999928,7.0000000000014495,-8.000000000008,-377.9999999999894,-438.99999999999295,-356.00000000000074,-387.99999999999943,375.0000000000142,-173.00000000000182,450.00000000001705,-384.00000000000034,-106.00000000000608,,-2240.999999999959
2020.03.30,57.00000000000705,32.999999999994145,-311.9999999999976,-578.9999999999961,-332.99999999999443,-309.0000000000037,-121.99999999999989,-366.9999999999902,-356.00000000000074,-331.0000000000035,578.0000000000118,-206.00000000000307,499.000000000005,-403.99999999999636,-193.00000000002092,,-2344.9999999999886
2020.03.30,-14.000000000002899,27.999999999983594,-277.000000000001,-365.99999999999966,-339.99999999999585,-341.0000000000024,-28.999999999990145,-302.99999999999727,-339.99999999999585,-248.00000000000378,485.0000000000021,-149.0000000000009,118.00000000001809,-367.00000000000443,-194.0000000000053,,-2336.999999999996
2020.03.30,-175.99999999999838,-263.00000000001324,-188.0000000000024,-539.0000000000006,-261.99999999999557,-246.00000000000176,19.999999999997797,-244.99999999999034,-219.99999999999798,-241.00000000000233,361.9999999999957,-120.00000000000455,146.00000000000168,-371.0000000000093,-302.0000000000023,,-2645.0000000000236
2020.03.30,-97.9999999999981,-175.99999999999838,-322.00000000000273,-548.9999999999995,-136.00000000000279,-145.00000000000622,-53.999999999998494,-101.99999999998965,-273.9999999999965,-253.0000000000032,504.0000000000156,112.99999999999955,159.00000000002024,-454.9999999999983,-156.00000000000057,,-1943.9999999999586
2020.03.30,-87.99999999999919,-240.00000000001796,-427.0000000000067,-529.999999999986,-110.99999999999443,-140.0000000000068,-158.99999999999804,0.0,-243.99999999999977,-259.0000000000092,217.0000000000005,248.99999999999523,89.00000000000574,-527.000000000001,-152.0000000000188,,-2322.0000000000364
