date,USDJPY,CHFJPY,EURGBP,empty,sum
2021.10.11,-114.00000000000432,-250.99999999999056,0.0,,-364.9999999999949
2021.10.11,-146.0000000000008,-278.99999999999636,74.00000000000739,,-350.99999999998977
2021.10.11,-213.00000000000807,-330.99999999998886,72.0000000000054,,-471.99999999999153
2021.10.11,-222.0000000000084,-341.99999999999875,117.00000000000044,,-447.0000000000067
2021.10.11,-189.00000000000716,-305.9999999999974,119.00000000000244,,-376.0000000000021
2021.10.11,-208.00000000001262,-301.00000000000193,104.00000000000409,,-405.00000000001046
2021.10.11,-187.00000000001182,-318.9999999999884,60.99999999999994,,-445.0000000000003
2021.10.11,-201.00000000000762,-328.9999999999935,33.000000000005244,,-496.9999999999959
2021.10.11,-268.0000000000007,-376.99999999999534,0.0,,-644.999999999996
2021.10.11,-307.00000000000216,-424.99999999999716,-41.9999999999976,,-773.9999999999969
2021.10.11,-353.00000000000864,-408.9999999999918,-27.999999999994696,,-789.9999999999951
2021.10.11,-451.0000000000076,-458.999999999989,-25.999999999992696,,-935.9999999999893
2021.10.11,-600.0000000000085,-603.9999999999992,-24.999999999997247,,-1229.000000000005
2021.10.11,-621.0000000000093,-616.9999999999902,-21.999999999999797,,-1259.9999999999993
2021.10.11,-617.0000000000044,-623.9999999999952,21.00000000000435,,-1219.9999999999952
2021.10.11,-588.0000000000081,-626.9999999999953,8.000000000008,,-1206.9999999999955
2021.10.11,-597.999999999999,-637.0000000000005,-5.999999999994898,,-1240.9999999999945
2021.10.11,-648.0000000000103,-710.9999999999985,-72.99999999998974,,-1431.9999999999986
2021.10.11,-637.0000000000005,-780.9999999999917,-85.99999999999719,,-1503.9999999999895
2021.10.11,-626.0000000000048,-858.9999999999947,-101.99999999999099,,-1586.9999999999905
2021.10.11,-740.9999999999997,-1018.9999999999912,-95.99999999999609,,-1855.999999999987
2021.10.11,-740.9999999999997,-1027.000000000001,-71.99999999999429,,-1839.9999999999948
2021.10.11,-835.9999999999985,-1176.9999999999925,-78.00000000000028,,-2090.9999999999914
2021.10.11,-850.0000000000085,-1134.0000000000005,-59.99999999999339,,-2044.0000000000025
2021.10.11,-897.0000000000056,-1098.9999999999895,-64.99999999999284,,-2060.9999999999877
2021.10.11,-934.0000000000117,-1052.9999999999973,-5.999999999994898,,-1993.000000000004
2021.10.11,-882.000000000005,-1025.9999999999964,8.000000000008,,-1899.9999999999934
2021.10.11,-882.000000000005,-1125.0,12.000000000000899,,-1995.000000000004
2021.10.11,-862.000000000009,-1149.9999999999914,-6.999999999990347,,-2018.999999999991
2021.10.11,-830.0000000000125,-1125.0,25.00000000000835,,-1930.000000000004
2021.10.11,-987.000000000009,-1283.9999999999918,17.000000000000348,,-2254.0000000000005
2021.10.11,-1137.0000000000005,-1414.0000000000014,17.000000000000348,,-2534.0000000000014
2021.10.11,-1088.9999999999986,-1345.9999999999895,36.0000000000027,,-2398.9999999999854
2021.10.11,-1074.0000000000123,-1549.9999999999973,9.00000000000345,,-2615.000000000006
2021.10.11,-1103.999999999999,-1555.9999999999973,3.0000000000085514,,-2656.9999999999877
2021.10.11,-1239.0000000000043,-1574.9999999999886,66.00000000001049,,-2747.9999999999823
2021.10.11,-1197.0000000000027,-1515.9999999999911,60.00000000000449,,-2652.999999999989
2021.10.11,-1275.0000000000057,-1568.9999999999884,62.000000000006494,,-2781.9999999999877
2021.10.11,-1310.0000000000023,-1582.9999999999984,109.00000000000354,,-2783.9999999999973
2021.10.11,-1305.0000000000068,-1548.0000000000018,108.00000000000809,,-2745.0000000000005
2021.10.11,-1299.0000000000066,-1519.999999999996,129.00000000000134,,-2690.0000000000014
2021.10.11,-1245.0000000000045,-1467.9999999999893,101.00000000000664,,-2611.999999999987
2021.10.11,-1236.000000000004,-1440.9999999999882,90.0000000000012,,-2586.999999999991
