date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2018.07.16,-53.999999999998494,-91.99999999998099,-79.00000000000773,-75.00000000000284,-43.999999999999595,-12.999999999996348,-51.99999999998539,-42.0000000000087,-54.00000000000959,-68.00000000000139,-62.99999999999084,-25.000000000005684,-107.99999999997567,-187.00000000000384,-87.0000000000033,-99.00000000000375,-3.0000000000001137,-9.999999999998899,,-1154.999999999973
2018.07.16,-36.999999999998145,-79.99999999999119,-167.0000000000016,-59.000000000009045,-29.999999999996696,18.0000000000069,-53.999999999998494,-91.00000000000774,-43.999999999999595,-79.00000000000685,-29.999999999996696,50.00000000001137,30.000000000001137,-174.00000000000747,-200.00000000000284,-102.00000000000387,31.00000000000591,-130.99999999999224,,-1148.9999999999873
2018.07.16,-102.99999999998644,-81.9999999999821,-224.00000000000375,-107.99999999999699,9.00000000000345,11.00000000000545,-45.99999999999049,-131.00000000000333,-45.000000000006146,-152.00000000000767,-51.000000000001044,143.00000000000068,42.00000000000159,-201.99999999999108,-230.99999999999454,-121.99999999999989,64.99999999999773,-97.9999999999981,,-1324.9999999999527
2018.07.16,-114.99999999999844,-78.99999999998464,-227.00000000000387,-87.99999999999919,-39.00000000000014,21.999999999999797,34.000000000000696,-148.0000000000037,-101.00000000000664,-153.99999999999858,-35.999999999991594,239.00000000000432,111.00000000001842,-180.0000000000024,-246.9999999999999,-189.00000000000716,138.00000000000523,-42.999999999993044,,-1101.999999999961
2018.07.16,-131.99999999999878,-87.99999999999919,-266.00000000000534,-66.00000000001049,-48.99999999999905,43.999999999999595,38.0000000000047,-172.00000000000549,-128.00000000000588,-157.00000000000713,-45.99999999999049,252.00000000000955,98.00000000001319,-167.9999999999904,-292.99999999999216,-250.0,144.00000000000546,-26.999999999999247,,-1265.9999999999711
2018.07.16,-127.99999999999478,-76.99999999999375,-251.00000000000477,-63.000000000013046,-34.99999999999615,42.0000000000087,18.0000000000069,-165.00000000000404,-111.00000000000554,-160.00000000000458,-36.999999999998145,256.0000000000002,96.00000000000364,-205.99999999999508,-277.000000000001,-221.00000000000364,153.99999999999636,-31.999999999998696,,-1196.9999999999973
2018.07.16,-126.99999999998823,-84.99999999997954,-256.0000000000002,-87.99999999999919,-68.00000000000139,24.000000000001798,11.00000000000545,-153.00000000000313,-123.00000000000644,-182.99999999999983,-59.99999999999339,257.000000000005,94.00000000002251,-279.99999999999136,-272.99999999999613,-245.00000000000455,140.00000000000057,-57.99999999999139,,-1472.9999999999195
2018.07.16,-112.000000000001,-131.99999999999878,-317.0000000000073,-53.00000000001415,-122.99999999999534,103.00000000000864,23.00000000001745,-180.0000000000024,-175.00000000000293,-246.00000000000176,-52.99999999999194,338.99999999999864,161.00000000000136,-411.0000000000058,-376.99999999999534,-375.0,251.99999999999534,28.000000000005798,,-1647.9999999999895
2018.07.16,-92.00000000000318,-158.99999999999804,-320.0000000000074,-39.999999999995595,-126.0000000000039,119.00000000000244,10.000000000021103,-168.00000000000148,-159.00000000000912,-236.99999999999832,-56.0000000000005,420.99999999999227,219.99999999999886,-387.000000000004,-370.00000000000455,-349.00000000000375,296.99999999999704,18.0000000000069,,-1378.0000000000111
2018.07.16,-93.99999999999409,-147.99999999999258,-362.000000000009,-31.000000000003247,-180.0000000000024,77.00000000000485,16.000000000016,-191.00000000000784,-197.00000000000273,-221.99999999999997,-51.99999999999649,423.0000000000018,224.00000000001796,-354.9999999999942,-435.0000000000023,-454.9999999999983,231.99999999999932,-35.999999999991594,,-1785.9999999999545
2018.07.16,-100.99999999999554,-167.9999999999904,-322.00000000000273,-77.00000000001594,-95.00000000000064,20.0000000000089,19.00000000001345,-155.00000000000514,-128.00000000000588,-187.9999999999993,-70.99999999999883,426.9999999999925,211.00000000001273,-255.00000000000523,-361.99999999999477,-319.0000000000026,189.00000000000716,-110.99999999999443,,-1485.9999999999768
