,names,week,needed_features,accuracy
0,USDCHF,10,['EURGBP'],80.0
1,GBPUSD,10,['EURNZD'],80.0
2,EURUSD,20,"['EURGBP', 'AUDUSD', 'EURUSD', 'NZDUSD', 'GBPUSD']",80.0
3,USDJPY,10,"['AUDCHF', 'USDCHF', 'AUDCAD', 'EURUSD', 'USDCAD', 'AUDUSD']",80.0
4,USDCAD,10,['EURGBP'],80.0
5,NZDUSD,10,['EURNZD'],80.0
6,EURCHF,10,['EURNZD'],80.0
7,CADCHF,10,"['AUDCHF', 'EURNZD', 'NZDCAD', 'NZDCHF', 'EURAUD']",100.0
8,GBPJPY,10,['EURNZD'],100.0
9,GBPAUD,15,"['EURGBP', 'GBPCAD', 'GBPCHF', 'EURCAD', 'CHFJPY']",100.0
10,EURAUD,10,"['GBPCAD', 'GBPCHF', 'EURGBP']",80.0
11,NZDJPY,10,['EURNZD'],100.0
