date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,NZDCHF,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,NZDCAD,AUDNZD,empty,sum
2015.12.14,-66.99999999999484,102.00000000000209,-28.999999999990145,-25.000000000005684,-197.99999999999818,-24.999999999997247,-72.0000000000054,-46.0000000000127,15.999999999991132,-12.000000000000899,89.99999999999008,-464.9999999999821,145.00000000001023,100.99999999999554,461.0000000000003,-69.9999999999923,-316.99999999999307,-7.9999999999968985,119.00000000000244,,-299.9999999999776
2015.12.14,-80.00000000000229,331.0000000000146,-89.99999999999008,-31.00000000000591,-168.99999999999693,-57.99999999999139,69.9999999999923,-22.0000000000109,34.99999999999659,11.00000000000545,49.99999999999449,-46.999999999997044,217.9999999999893,13.999999999980695,309.0000000000037,103.00000000000864,-287.9999999999967,-9.999999999998899,130.99999999999224,,476.99999999998784
2015.12.14,-97.9999999999981,363.0000000000022,-119.00000000000244,-132.000000000005,-292.00000000000335,-39.00000000000014,110.00000000001009,22.999999999995246,146.99999999999136,24.999999999997247,69.9999999999923,-394.9999999999676,361.99999999999477,-11.00000000000545,538.0000000000163,69.9999999999923,-506.9999999999908,-14.000000000002899,275.000000000003,,376.000000000019
2015.12.14,-104.99999999999955,299.00000000000483,4.000000000004,-213.99999999999864,-373.99999999999653,-107.99999999999699,45.99999999999049,-100.0000000000112,228.9999999999992,12.000000000000899,-10.000000000010001,-731.9999999999993,304.00000000000205,201.99999999999108,880.0000000000141,65.99999999998829,-668.9999999999969,107.00000000000153,509.00000000000387,,345.9999999999913
2015.12.14,-121.99999999999989,304.00000000001535,-68.00000000000139,-171.00000000000648,-339.0000000000004,-46.999999999997044,18.999999999991246,-53.999999999998494,203.99999999999352,-3.999999999992898,41.9999999999976,-625.999999999971,346.00000000000364,147.99999999999258,704.0000000000157,26.999999999999247,-592.9999999999893,53.00000000000304,350.9999999999902,,174.00000000004516
2015.12.14,-51.99999999999649,266.0000000000107,22.0000000000109,-326.9999999999982,-302.0000000000023,-47.9999999999925,93.99999999999409,-56.99999999999594,277.9999999999916,-90.0000000000012,83.9999999999952,-576.9999999999609,402.9999999999916,356.9999999999851,763.0000000000026,-116.00000000000499,-658.9999999999918,105.99999999999498,299.00000000000483,,444.00000000003735
2015.12.14,-73.00000000000084,225.00000000000853,-41.99999999998649,-165.99999999999682,-273.000000000001,-8.999999999992347,24.000000000001798,-25.00000000000835,143.00000000000068,-53.00000000000304,119.99999999999788,-544.9999999999733,308.9999999999975,228.99999999999034,612.0000000000125,-120.00000000000898,-510.9999999999957,-9.999999999998899,194.0000000000053,,29.000000000048686
2015.12.14,-165.9999999999995,266.0000000000107,-98.99999999998244,-149.0000000000009,-253.99999999999866,30.000000000007798,-75.00000000000284,-62.000000000006494,227.00000000000387,18.0000000000069,89.99999999999008,-436.9999999999763,360.99999999999,136.99999999998712,485.0000000000021,-130.0000000000079,-475.9999999999991,-33.000000000005244,104.99999999999955,,-161.9999999999813
2015.12.14,-161.99999999999548,354.0000000000099,-119.99999999998678,-157.0000000000107,-261.0000000000001,126.99999999999933,12.999999999996348,-41.000000000002146,241.99999999999022,-12.000000000000899,189.99999999999017,-325.99999999995964,390.99999999999113,171.99999999999437,476.0000000000098,-334.00000000001205,-487.99999999999955,-160.00000000000458,-38.0000000000047,,-133.9999999999954
2015.12.14,-183.99999999999528,348.9999999999993,-141.99999999999767,-35.0000000000108,-180.99999999999784,41.000000000002146,-15.999999999993797,-41.000000000002146,138.9999999999958,21.999999999999797,89.99999999999008,-100.99999999999554,284.9999999999966,97.9999999999981,277.00000000001614,-89.00000000000574,-307.9999999999927,-80.00000000000229,-19.999999999997797,,104.00000000000634
2015.12.14,-212.99999999999653,341.99999999999784,-195.9999999999962,-32.00000000001069,-97.9999999999981,23.00000000000635,-78.00000000000028,-22.999999999995246,179.9999999999926,65.99999999999939,49.99999999999449,132.00000000002098,342.9999999999893,-20.000000000020002,22.999999999995246,25.999999999992696,-197.9999999999933,-46.00000000000159,-120.99999999999334,,159.9999999999837
2015.12.14,-249.99999999999466,358.9999999999982,-220.99999999998232,64.99999999999773,-53.00000000000304,-40.99999999999105,-112.000000000001,-35.00000000000725,125.99999999999056,131.99999999999878,-40.00000000000669,299.00000000000483,275.0000000000057,-140.0000000000068,-107.99999999999699,229.99999999999687,-77.99999999998875,-4.999999999999449,-80.99999999999774,,322.00000000001694
2015.12.14,-256.99999999999613,398.00000000000944,-217.99999999998488,15.000000000000568,-117.99999999999588,25.00000000000835,-85.00000000000173,-46.999999999997044,177.99999999999727,136.99999999999824,19.999999999997797,154.0000000000319,322.00000000000273,-133.00000000000534,36.0000000000138,69.00000000000794,-192.99999999999784,-119.99999999999788,-87.00000000001484,,96.00000000007645
2015.12.14,-197.00000000000273,290.00000000001245,-197.00000000000273,45.000000000001705,-56.99999999999594,8.000000000008,-99.99999999998899,-1.0000000000065512,75.9999999999934,112.000000000001,49.99999999999449,187.00000000002603,260.9999999999957,-144.0000000000108,-68.99999999998573,69.9999999999923,-94.99999999999886,-129.9999999999968,-153.00000000000313,,-43.99999999996717
2015.12.14,-173.9999999999964,345.0000000000175,-150.99999999999002,-14.000000000010004,-21.00000000000435,-28.999999999990145,-21.999999999988695,-25.00000000000835,108.99999999999466,129.00000000000134,23.999999999990695,370.00000000002586,271.000000000015,-149.00000000002134,-82.00000000000429,82.00000000000429,-93.99999999999409,-119.99999999999788,-150.00000000000568,,299.000000000038
