date,GBPUSD,USDJPY,AUDUSD,NZDUSD,EURGBP,GBPAUD,EURCAD,EURAUD,EURNZD,AUDJPY,empty,sum
2016.11.07,-192.00000000001438,-60.000000000002274,-168.00000000000148,-484.00000000000665,0.0,-668.9999999999862,-75.00000000000284,-737.9999999999942,-978.0000000000122,-46.999999999997044,,-3411.0000000000173
2016.11.07,-186.0000000000195,-7.000000000005002,-131.00000000000333,-243.00000000000432,104.00000000000409,-682.0000000000048,463.9999999999977,-670.9999999999993,-910.0000000000108,81.00000000000307,,-2181.000000000042
2016.11.07,-216.00000000001617,-207.00000000000784,-55.000000000005045,-207.00000000000162,126.99999999999933,-636.9999999999986,356.00000000000074,-617.0000000000009,-931.9999999999995,-131.00000000000023,,-2519.00000000003
2016.11.07,-309.0000000000037,-512.0000000000005,-70.0000000000034,-218.00000000000708,107.99999999999699,-685.9999999999866,458.9999999999872,-731.9999999999993,-1058.0000000000034,-338.99999999999864,,-3357.000000000018
2016.11.07,-409.0000000000149,-237.00000000000898,-39.999999999995595,-221.99999999999997,73.00000000000084,-804.9999999999891,608.9999999999928,-872.0000000000061,-1247.0000000000202,-224.99999999999432,,-3375.0000000000355
2016.11.07,-285.00000000000193,-91.00000000000819,-70.99999999999883,-232.00000000000998,180.99999999999784,-804.0000000000047,907.9999999999977,-903.9999999999937,-1241.0000000000032,-65.99999999998829,,-2605.000000000013
2016.11.07,-317.0000000000117,-32.00000000001069,31.000000000003247,-182.00000000000438,185.99999999999727,-601.000000000007,957.9999999999922,-645.0000000000067,-1041.000000000003,-58.9999999999975,,-1702.0000000000484
2016.11.07,-251.00000000000122,-180.00000000000682,-26.999999999999247,-187.00000000000384,156.99999999999602,-628.9999999999907,825.9999999999934,-648.0000000000041,-1009.0000000000155,-161.99999999999193,,-2110.000000000024
2016.11.07,-226.00000000001506,-216.00000000000819,-9.999999999998899,-198.00000000000927,182.99999999999983,-591.9999999999925,701.9999999999804,-635.0000000000077,-921.0000000000163,-229.99999999998977,,-2143.0000000000573
2016.11.07,-78.00000000000028,-322.00000000000273,-7.9999999999968985,-250.00000000000577,129.9999999999968,-380.9999999999869,609.9999999999994,-390.0000000000015,-866.0000000000113,-262.00000000000045,,-1817.0000000000095
2016.11.07,-60.99999999999994,-315.00000000001194,-17.000000000000348,-271.0000000000101,151.00000000000114,-354.9999999999942,626.9999999999998,-402.0000000000135,-907.0000000000133,-248.99999999999523,,-1799.0000000000375
2016.11.07,-57.00000000001815,-317.0000000000073,21.00000000000435,-257.0000000000072,156.00000000000057,-292.9999999999877,626.9999999999998,-370.00000000000364,-898.000000000021,-271.99999999999136,,-1660.0000000000316
