date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,NZDCHF,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,empty,sum
2015.08.31,-87.00000000000374,55.99999999998939,-38.99999999998904,-24.00000000000091,-31.000000000003247,-44.99999999999504,26.999999999999247,100.99999999999554,-93.99999999999409,130.0000000000079,-180.99999999999784,-90.00000000000341,64.0000000000196,-4.9999999999954525,-14.000000000002899,-151.9999999999966,,-383.99999999997056
2015.08.31,-204.00000000000418,45.99999999999049,0.0,-70.00000000000739,-55.000000000005045,-105.99999999999498,-70.0000000000145,269.00000000000813,-33.00000000000125,-18.999999999991246,29.000000000001247,-143.00000000000068,34.000000000000696,7.000000000005002,78.00000000000028,-171.99999999999437,,-409.00000000000784
2015.08.31,-156.00000000000057,-8.000000000008,66.00000000001049,-246.9999999999999,-151.9999999999966,114.00000000000298,-22.0000000000109,296.0000000000074,-73.0000000000075,40.00000000000669,-204.99999999999963,-350.9999999999991,-182.99999999999983,-134.9999999999909,278.00000000000045,449.9999999999948,,-287.99999999999017
2015.08.31,-70.99999999999883,-36.999999999998145,207.00000000000162,-362.000000000009,-252.99999999999213,124.00000000000189,78.99999999998464,334.9999999999964,-79.9999999999983,162.0000000000066,-193.99999999999417,-490.0000000000091,-391.9999999999924,-88.99999999999864,588.9999999999951,683.9999999999957,,211.99999999999125
2015.08.31,-25.00000000000835,-24.000000000001798,285.00000000000193,-303.0000000000115,-249.99999999999466,9.999999999998899,158.99999999999804,354.0000000000099,43.99999999999693,189.00000000000583,-114.99999999999844,-411.00000000000136,-369.0000000000193,69.99999999999318,687.9999999999998,539.999999999985,,841.9999999999541
2015.08.31,-14.000000000002899,-36.999999999998145,341.99999999999784,-341.0000000000082,-333.9999999999899,121.99999999999989,157.99999999999147,398.00000000000944,22.999999999996135,240.00000000000688,-95.99999999999609,-454.00000000000773,-511.99999999997914,97.00000000000841,851.0000000000017,862.9999999999916,,1306.0000000000214
2015.08.31,17.000000000000348,-96.00000000000719,463.9999999999977,-405.00000000000114,-229.99999999999687,163.99999999999747,156.00000000000057,485.0000000000021,0.0,208.00000000000819,-122.99999999999534,-486.99999999999477,-421.0000000000047,174.0000000000066,896.000000000008,1126.0000000000048,,1928.0000000000257
2015.08.31,135.99999999999167,-104.99999999999955,462.0000000000068,-463.0000000000081,-256.99999999999613,128.00000000000588,325.99999999998187,346.0000000000019,90.99999999999397,312.00000000000114,-317.0000000000006,-563.999999999993,-487.99999999999955,105.99999999999454,929.000000000002,1051.0000000000018,,1692.9999999999848
2015.08.31,-6.0000000000060005,-156.00000000000057,394.00000000000546,-399.0000000000009,-269.00000000000813,39.00000000000014,60.99999999999994,441.0000000000025,-28.000000000005798,214.99999999999852,-470.00000000000375,-400.0000000000057,-572.9999999999791,96.00000000000364,851.0000000000017,751.9999999999972,,547.9999999999991
2015.08.31,39.00000000000014,-202.00000000001327,527.9999999999951,-475.9999999999991,-378.999999999996,134.0000000000008,78.99999999998464,522.0000000000002,-49.000000000006594,304.00000000000426,-500.00000000000045,-466.0000000000082,-798.9999999999942,171.99999999999704,1151.0000000000132,1144.999999999996,,1202.9999999999734
