date,USDCHF,EURUSD,USDCAD,AUDUSD,NZDUSD,EURJPY,EURCAD,empty,sum
2018.08.13,-82.99999999999974,-144.99999999999514,-29.999999999996696,-75.00000000000284,-113.99999999999189,0.0,-76.0000000000094,,-522.9999999999957
2018.08.13,-44.99999999999504,-144.99999999999514,-175.99999999999838,-100.00000000000009,-164.99999999999292,150.99999999999625,-110.99999999999443,,-590.9999999999798
2018.08.13,-27.999999999994696,-238.0000000000049,-154.99999999999403,-156.00000000000057,-170.99999999999892,183.9999999999975,-82.99999999998863,,-646.9999999999843
2018.08.13,-17.000000000000348,-279.99999999999136,-174.99999999999181,-182.00000000000438,-269.9999999999925,368.9999999999998,53.999999999998494,,-500.99999999998215
2018.08.13,-24.000000000001798,-397.99999999998727,-234.99999999998522,-248.99999999999923,-285.9999999999974,448.0000000000075,55.000000000005045,,-688.9999999999584
2018.08.13,56.0000000000005,-347.9999999999928,-198.99999999999363,-233.00000000000543,-265.99999999999955,388.00000000000523,45.000000000006146,,-556.9999999999795
2018.08.13,103.00000000000864,-278.00000000000045,-130.99999999999224,-148.99999999999915,-207.99999999999707,393.0000000000007,78.00000000000028,,-191.99999999997937
2018.08.13,100.00000000000009,-215.99999999999397,-143.99999999998857,-76.0000000000094,-206.99999999999054,108.99999999999466,-53.999999999998494,,-487.99999999998624
2018.08.13,70.99999999999883,-129.99999999998568,-90.99999999999665,-57.00000000000705,-243.99999999999977,-69.99999999999318,-147.99999999999258,,-668.9999999999761
2018.08.13,19.00000000000235,-127.99999999999478,-92.00000000000318,-4.000000000004,-226.99999999999943,-340.999999999994,-141.99999999999767,,-914.9999999999907
2018.08.13,-7.0000000000014495,-106.00000000000608,-80.99999999999774,-31.000000000003247,-240.99999999999122,-352.00000000000387,-124.99999999999733,,-943.0000000000009
2018.08.13,-48.99999999999905,-124.99999999999733,-43.999999999999595,-23.00000000000635,-226.99999999999943,-278.0000000000058,-19.999999999997797,,-766.0000000000053
2018.08.13,-56.99999999999594,-117.99999999999588,-29.999999999996696,8.999999999992347,-219.99999999999798,-278.0000000000058,-11.999999999989797,,-705.9999999999898
2018.08.13,-31.999999999998696,-160.99999999998892,-99.99999999998899,-87.00000000000374,-208.99999999999253,-210.99999999999852,-26.999999999999247,,-826.9999999999706
2018.08.13,-13.999999999991797,-121.99999999999989,-80.99999999999774,-57.00000000000705,-200.99999999999562,-349.9999999999943,-120.00000000000898,,-944.9999999999953
2018.08.13,-63.00000000000195,-42.999999999993044,-22.999999999995246,23.999999999990695,-128.99999999999022,-456.00000000000307,-112.000000000001,,-801.9999999999939
2018.08.13,-121.99999999999989,-246.99999999999721,-133.99999999998968,-134.0000000000008,-205.99999999999508,-394.999999999996,-102.00000000000209,,-1339.9999999999807
2018.08.13,-47.9999999999925,-174.99999999999181,-146.99999999998602,-54.00000000000959,-179.99999999999127,-224.99999999999432,-75.00000000000284,,-903.9999999999684
2018.08.13,-12.999999999996348,-331.999999999999,-151.9999999999966,-148.0000000000037,-185.99999999999727,-132.000000000005,-52.000000000007596,,-1015.0000000000056
2018.08.13,62.000000000006494,-347.9999999999928,-173.99999999998528,-174.00000000000747,-209.9999999999991,-13.00000000000523,36.999999999998145,,-819.9999999999852
2018.08.13,28.000000000005798,-266.999999999995,-167.9999999999904,-135.00000000000733,-214.99999999999852,-120.00000000000455,-62.000000000006494,,-938.9999999999965
2018.08.13,125.00000000000844,-102.99999999998644,-68.99999999998573,-35.00000000000725,-180.99999999999784,-332.9999999999984,-163.00000000000205,,-758.9999999999693
2018.08.13,112.000000000001,-129.00000000000134,-56.99999999999594,-46.00000000000159,-168.99999999999693,-394.999999999996,-113.00000000000753,,-796.9999999999983
2018.08.13,64.0000000000085,-167.9999999999904,-81.9999999999821,-24.000000000001798,-193.99999999999417,-87.0000000000033,-72.0000000000054,,-562.9999999999686
2018.08.13,148.99999999999915,-140.99999999999113,-109.00000000000354,-4.000000000004,-185.99999999999727,-34.99999999999659,-76.99999999999375,,-402.99999999998715
2018.08.13,129.00000000000134,-188.9999999999947,-160.99999999998892,-36.0000000000027,-176.99999999999383,9.000000000000341,-87.99999999999919,,-512.9999999999777
2018.08.13,96.00000000000719,-190.99999999998562,-165.9999999999995,-21.00000000000435,-153.99999999999858,-15.000000000000568,-89.99999999999008,,-540.9999999999715
